Date,Open,High,Low,Close,Currency
2001-01-02,0.559,0.5598,0.5562,0.5596,USD
2001-01-03,0.5599,0.5655,0.5544,0.5557,USD
2001-01-04,0.556,0.5677,0.5553,0.5664,USD
2001-01-05,0.5664,0.5726,0.5646,0.5724,USD
2001-01-08,0.5713,0.5723,0.5648,0.5688,USD
2001-01-09,0.5676,0.569,0.559,0.5638,USD
2001-01-10,0.5631,0.5637,0.555,0.556,USD
2001-01-11,0.555,0.5628,0.552,0.5612,USD
2001-01-12,0.5605,0.5623,0.5539,0.5569,USD
2001-01-15,0.5567,0.5572,0.55,0.552,USD
2001-01-16,0.5522,0.5586,0.5522,0.5551,USD
2001-01-17,0.555,0.557,0.549,0.5533,USD
2001-01-18,0.5533,0.5594,0.552,0.5591,USD
2001-01-19,0.558,0.5625,0.5554,0.5571,USD
2001-01-22,0.5558,0.5576,0.5518,0.5565,USD
2001-01-23,0.5562,0.5577,0.5515,0.5524,USD
2001-01-24,0.5508,0.5553,0.5419,0.543,USD
2001-01-25,0.5424,0.5466,0.5417,0.546,USD
2001-01-26,0.5458,0.5467,0.5411,0.5443,USD
2001-01-29,0.5433,0.5453,0.5415,0.5432,USD
2001-01-30,0.5432,0.549,0.5405,0.549,USD
2001-01-31,0.548,0.5513,0.544,0.5512,USD
2001-02-01,0.5507,0.5557,0.5492,0.5533,USD
2001-02-02,0.5526,0.5567,0.5508,0.5528,USD
2001-02-05,0.5507,0.5534,0.548,0.5499,USD
2001-02-06,0.5501,0.5514,0.547,0.5482,USD
2001-02-07,0.5484,0.5511,0.5444,0.5455,USD
2001-02-08,0.5459,0.5464,0.5325,0.5353,USD
2001-02-09,0.5362,0.5385,0.5319,0.5366,USD
2001-02-12,0.5362,0.5398,0.5353,0.539,USD
2001-02-13,0.5385,0.5409,0.532,0.5338,USD
2001-02-14,0.5338,0.5343,0.5267,0.5294,USD
2001-02-15,0.5287,0.529,0.52,0.5238,USD
2001-02-16,0.5233,0.5312,0.5231,0.5282,USD
2001-02-19,0.5289,0.5308,0.5269,0.5302,USD
2001-02-20,0.5298,0.5318,0.521,0.5242,USD
2001-02-21,0.5236,0.5285,0.5222,0.5241,USD
2001-02-22,0.5247,0.5264,0.5205,0.525,USD
2001-02-23,0.524,0.5265,0.5206,0.5263,USD
2001-02-26,0.5255,0.5276,0.5205,0.5232,USD
2001-02-27,0.5222,0.5265,0.521,0.5257,USD
2001-02-28,0.5253,0.5275,0.5222,0.5262,USD
2001-03-01,0.5259,0.5292,0.5249,0.5282,USD
2001-03-02,0.5272,0.5299,0.5251,0.5295,USD
2001-03-05,0.5292,0.5298,0.52,0.5213,USD
2001-03-06,0.5215,0.5227,0.5162,0.5193,USD
2001-03-07,0.52,0.5207,0.5075,0.5092,USD
2001-03-08,0.5095,0.5117,0.5061,0.5111,USD
2001-03-09,0.5113,0.5138,0.5073,0.5091,USD
2001-03-12,0.5093,0.5113,0.5069,0.5092,USD
2001-03-13,0.5092,0.5104,0.5018,0.5044,USD
2001-03-14,0.5031,0.5047,0.4935,0.4956,USD
2001-03-15,0.4961,0.4978,0.49,0.4919,USD
2001-03-16,0.4915,0.4968,0.4912,0.4949,USD
2001-03-19,0.4945,0.5045,0.4935,0.4987,USD
2001-03-20,0.498,0.5025,0.497,0.5014,USD
2001-03-21,0.5012,0.5042,0.492,0.4943,USD
2001-03-22,0.4934,0.4948,0.4887,0.4939,USD
2001-03-23,0.4934,0.4988,0.4912,0.4966,USD
2001-03-26,0.5,0.5019,0.4886,0.5007,USD
2001-03-27,0.5002,0.501,0.4945,0.4996,USD
2001-03-28,0.4987,0.5008,0.4919,0.4937,USD
2001-03-29,0.4933,0.4961,0.49,0.4941,USD
2001-03-30,0.4942,0.4948,0.4845,0.4854,USD
2001-04-02,0.4858,0.4889,0.4773,0.4792,USD
2001-04-03,0.4786,0.4878,0.4782,0.4872,USD
2001-04-04,0.4869,0.492,0.4825,0.4893,USD
2001-04-05,0.4893,0.4945,0.4875,0.4906,USD
2001-04-06,0.4899,0.4994,0.4898,0.4984,USD
2001-04-09,0.4982,0.5,0.49,0.4913,USD
2001-04-10,0.4909,0.4972,0.4905,0.496,USD
2001-04-11,0.4963,0.5041,0.4953,0.5031,USD
2001-04-12,0.5036,0.5109,0.5025,0.5106,USD
2001-04-13,0.5098,0.5102,0.5033,0.5091,USD
2001-04-16,0.507,0.5121,0.5054,0.5113,USD
2001-04-17,0.5108,0.5113,0.5015,0.5037,USD
2001-04-18,0.5036,0.505,0.4924,0.5035,USD
2001-04-19,0.503,0.5171,0.5,0.5171,USD
2001-04-20,0.5152,0.5191,0.5118,0.515,USD
2001-04-23,0.5128,0.5197,0.5035,0.5071,USD
2001-04-24,0.5071,0.5091,0.5012,0.5068,USD
2001-04-25,0.5061,0.5069,0.5023,0.5061,USD
2001-04-26,0.5068,0.5112,0.5024,0.5112,USD
2001-04-27,0.5135,0.5142,0.5072,0.5094,USD
2001-04-30,0.5079,0.5132,0.5065,0.5123,USD
2001-05-01,0.5125,0.5192,0.5104,0.5171,USD
2001-05-02,0.5169,0.523,0.5165,0.5213,USD
2001-05-03,0.5203,0.5248,0.5175,0.5188,USD
2001-05-04,0.518,0.5226,0.5145,0.5192,USD
2001-05-07,0.5193,0.5198,0.5165,0.5177,USD
2001-05-08,0.518,0.5212,0.5144,0.5163,USD
2001-05-09,0.5161,0.5253,0.5146,0.5248,USD
2001-05-10,0.5249,0.5268,0.522,0.5236,USD
2001-05-11,0.5234,0.5252,0.5186,0.5217,USD
2001-05-14,0.5224,0.5227,0.5157,0.5192,USD
2001-05-15,0.5189,0.5217,0.5153,0.5217,USD
2001-05-16,0.5213,0.5245,0.5185,0.5237,USD
2001-05-17,0.5246,0.5295,0.5231,0.5276,USD
2001-05-18,0.5278,0.5302,0.524,0.5302,USD
2001-05-21,0.5291,0.5322,0.5255,0.5268,USD
2001-05-22,0.5267,0.5279,0.5213,0.5234,USD
2001-05-23,0.5231,0.5233,0.5155,0.5168,USD
2001-05-24,0.5159,0.5202,0.5085,0.5182,USD
2001-05-25,0.521,0.5225,0.5177,0.5206,USD
2001-05-28,0.5197,0.5214,0.5177,0.5208,USD
2001-05-29,0.5205,0.5212,0.5142,0.5171,USD
2001-05-30,0.5173,0.5207,0.511,0.513,USD
2001-05-31,0.5121,0.5132,0.5029,0.5059,USD
2001-06-01,0.5065,0.5101,0.5035,0.5087,USD
2001-06-04,0.508,0.5115,0.5056,0.508,USD
2001-06-05,0.5076,0.5109,0.5046,0.5101,USD
2001-06-06,0.51,0.5174,0.5087,0.5162,USD
2001-06-07,0.5152,0.5205,0.5128,0.5195,USD
2001-06-08,0.5206,0.5261,0.5183,0.5251,USD
2001-06-11,0.5246,0.5275,0.5203,0.5217,USD
2001-06-12,0.5218,0.5259,0.5198,0.5256,USD
2001-06-13,0.5246,0.5305,0.5232,0.5296,USD
2001-06-14,0.5283,0.5289,0.5225,0.5275,USD
2001-06-15,0.528,0.5285,0.5225,0.5238,USD
2001-06-18,0.5237,0.5281,0.5208,0.5238,USD
2001-06-19,0.5216,0.5238,0.5188,0.5205,USD
2001-06-20,0.521,0.5214,0.5164,0.5194,USD
2001-06-21,0.5196,0.5223,0.5157,0.5175,USD
2001-06-22,0.5157,0.5178,0.5143,0.5158,USD
2001-06-25,0.5167,0.5185,0.5149,0.5171,USD
2001-06-26,0.5165,0.5228,0.516,0.5214,USD
2001-06-27,0.5215,0.5222,0.5164,0.5192,USD
2001-06-28,0.518,0.5192,0.5052,0.5075,USD
2001-06-29,0.5057,0.5118,0.5044,0.5114,USD
2001-07-02,0.511,0.5116,0.5078,0.5114,USD
2001-07-03,0.5109,0.5193,0.5101,0.5172,USD
2001-07-04,0.517,0.5202,0.5158,0.5182,USD
2001-07-05,0.5181,0.5192,0.513,0.5145,USD
2001-07-06,0.5141,0.5143,0.5038,0.5091,USD
2001-07-09,0.5085,0.5115,0.5044,0.5108,USD
2001-07-10,0.511,0.5134,0.5074,0.5097,USD
2001-07-11,0.5099,0.5127,0.5043,0.5052,USD
2001-07-12,0.5054,0.5072,0.5009,0.5053,USD
2001-07-13,0.5057,0.5086,0.5046,0.5081,USD
2001-07-16,0.5104,0.5112,0.5065,0.5075,USD
2001-07-17,0.5068,0.51,0.505,0.5095,USD
2001-07-18,0.5095,0.5158,0.508,0.5156,USD
2001-07-19,0.5155,0.5187,0.5118,0.5131,USD
2001-07-20,0.5122,0.5148,0.504,0.5056,USD
2001-07-23,0.5063,0.5085,0.5053,0.5081,USD
2001-07-24,0.5082,0.5101,0.5066,0.5094,USD
2001-07-25,0.5097,0.51,0.5055,0.5082,USD
2001-07-26,0.508,0.5119,0.506,0.5094,USD
2001-07-27,0.5089,0.5093,0.5038,0.5085,USD
2001-07-30,0.508,0.5084,0.5041,0.5062,USD
2001-07-31,0.5058,0.5103,0.5017,0.5097,USD
2001-08-01,0.5095,0.5196,0.5076,0.5182,USD
2001-08-02,0.5174,0.5213,0.5147,0.5203,USD
2001-08-03,0.5197,0.521,0.5142,0.5169,USD
2001-08-06,0.5162,0.5181,0.5152,0.5174,USD
2001-08-07,0.5179,0.5183,0.514,0.5152,USD
2001-08-08,0.5155,0.5202,0.514,0.5191,USD
2001-08-09,0.5191,0.5202,0.5088,0.5121,USD
2001-08-10,0.5123,0.517,0.5103,0.5131,USD
2001-08-13,0.5134,0.5194,0.5131,0.5174,USD
2001-08-14,0.5175,0.5229,0.5148,0.5218,USD
2001-08-15,0.5216,0.5294,0.5209,0.529,USD
2001-08-16,0.528,0.5315,0.5226,0.5242,USD
2001-08-17,0.5239,0.5374,0.5225,0.5357,USD
2001-08-20,0.536,0.5377,0.5311,0.5329,USD
2001-08-21,0.533,0.5363,0.5289,0.5351,USD
2001-08-22,0.5351,0.5393,0.5324,0.5336,USD
2001-08-23,0.5328,0.5363,0.5312,0.5342,USD
2001-08-24,0.5338,0.5359,0.5287,0.5344,USD
2001-08-27,0.534,0.5357,0.5265,0.5286,USD
2001-08-28,0.5285,0.5309,0.5242,0.5309,USD
2001-08-29,0.5304,0.5338,0.5265,0.5293,USD
2001-08-30,0.5289,0.5338,0.5278,0.5322,USD
2001-08-31,0.5316,0.5352,0.5251,0.5294,USD
2001-09-03,0.528,0.5288,0.5255,0.5269,USD
2001-09-04,0.5272,0.5278,0.5182,0.5209,USD
2001-09-05,0.5203,0.5245,0.5159,0.5206,USD
2001-09-06,0.5207,0.5231,0.518,0.5222,USD
2001-09-07,0.5221,0.5244,0.517,0.5193,USD
2001-09-10,0.5182,0.5193,0.511,0.5132,USD
2001-09-11,0.5133,0.5233,0.5118,0.5222,USD
2001-09-12,0.5196,0.5208,0.513,0.5167,USD
2001-09-13,0.5164,0.5174,0.5135,0.5165,USD
2001-09-14,0.5157,0.5182,0.512,0.515,USD
2001-09-17,0.5163,0.5166,0.4985,0.5025,USD
2001-09-18,0.5023,0.5031,0.4927,0.497,USD
2001-09-19,0.4973,0.4981,0.4889,0.4933,USD
2001-09-20,0.4939,0.4958,0.49,0.4926,USD
2001-09-21,0.4916,0.4935,0.4814,0.4847,USD
2001-09-24,0.4855,0.494,0.482,0.4916,USD
2001-09-25,0.4926,0.4949,0.4906,0.4929,USD
2001-09-26,0.493,0.4978,0.4885,0.4912,USD
2001-09-27,0.4911,0.4915,0.4846,0.4879,USD
2001-09-28,0.4861,0.4967,0.485,0.4912,USD
2001-10-01,0.4925,0.4963,0.49,0.4954,USD
2001-10-02,0.4952,0.4957,0.4915,0.4953,USD
2001-10-03,0.495,0.4993,0.493,0.4958,USD
2001-10-04,0.4954,0.5004,0.4952,0.4984,USD
2001-10-05,0.4993,0.508,0.499,0.507,USD
2001-10-08,0.5072,0.5083,0.5047,0.5081,USD
2001-10-09,0.5078,0.5081,0.4988,0.5007,USD
2001-10-10,0.4995,0.5029,0.4991,0.5017,USD
2001-10-11,0.502,0.5025,0.4959,0.5008,USD
2001-10-12,0.5011,0.5068,0.4975,0.5057,USD
2001-10-15,0.5113,0.5171,0.5113,0.5165,USD
2001-10-16,0.5144,0.515,0.51,0.5111,USD
2001-10-17,0.5115,0.5162,0.5084,0.5087,USD
2001-10-18,0.5094,0.5117,0.5046,0.5066,USD
2001-10-19,0.507,0.5097,0.5049,0.5091,USD
2001-10-22,0.5088,0.5108,0.506,0.5108,USD
2001-10-23,0.51,0.5106,0.5062,0.5077,USD
2001-10-24,0.5073,0.5091,0.5058,0.5077,USD
2001-10-25,0.5082,0.5089,0.5024,0.5034,USD
2001-10-26,0.5021,0.5041,0.5007,0.5027,USD
2001-10-29,0.5011,0.5065,0.4996,0.5055,USD
2001-10-30,0.5054,0.5095,0.5035,0.5044,USD
2001-10-31,0.5044,0.5062,0.5019,0.5032,USD
2001-11-01,0.503,0.513,0.5023,0.5088,USD
2001-11-02,0.5088,0.5112,0.5055,0.5085,USD
2001-11-05,0.5078,0.5097,0.5058,0.5088,USD
2001-11-06,0.5089,0.515,0.5082,0.5137,USD
2001-11-07,0.5131,0.5168,0.5125,0.5153,USD
2001-11-08,0.5151,0.5177,0.513,0.5147,USD
2001-11-09,0.5149,0.516,0.5103,0.5142,USD
2001-11-12,0.518,0.5221,0.5166,0.5208,USD
2001-11-13,0.5199,0.5225,0.5154,0.5208,USD
2001-11-14,0.5202,0.524,0.518,0.5202,USD
2001-11-15,0.5196,0.5212,0.5168,0.5183,USD
2001-11-16,0.518,0.5253,0.5158,0.5225,USD
2001-11-19,0.5221,0.5234,0.5195,0.5222,USD
2001-11-20,0.5218,0.5231,0.5178,0.5199,USD
2001-11-21,0.52,0.5208,0.5152,0.5166,USD
2001-11-22,0.5145,0.5177,0.5145,0.5167,USD
2001-11-23,0.5167,0.5188,0.5157,0.5178,USD
2001-11-26,0.518,0.5202,0.5162,0.5189,USD
2001-11-27,0.5184,0.524,0.517,0.5225,USD
2001-11-28,0.5224,0.524,0.5191,0.5215,USD
2001-11-29,0.5212,0.5218,0.5165,0.5178,USD
2001-11-30,0.5176,0.5218,0.5173,0.5218,USD
2001-12-03,0.5218,0.5222,0.5158,0.5171,USD
2001-12-04,0.5168,0.5177,0.5128,0.5147,USD
2001-12-05,0.5141,0.5182,0.5126,0.5181,USD
2001-12-06,0.5179,0.52,0.5159,0.5191,USD
2001-12-07,0.5188,0.5194,0.5138,0.5141,USD
2001-12-10,0.5151,0.5171,0.5135,0.5145,USD
2001-12-11,0.5144,0.5167,0.5134,0.5156,USD
2001-12-12,0.5153,0.5211,0.5151,0.5198,USD
2001-12-13,0.5196,0.5211,0.5168,0.5189,USD
2001-12-14,0.5188,0.5202,0.5168,0.5194,USD
2001-12-17,0.5194,0.5196,0.5166,0.5174,USD
2001-12-18,0.5169,0.5187,0.5135,0.5153,USD
2001-12-19,0.5148,0.5157,0.5102,0.5111,USD
2001-12-20,0.5109,0.5121,0.5039,0.5052,USD
2001-12-21,0.5045,0.5087,0.504,0.5077,USD
2001-12-24,0.5082,0.5097,0.5061,0.5091,USD
2001-12-25,0.5081,0.5083,0.5072,0.5081,USD
2001-12-26,0.5084,0.5091,0.506,0.5073,USD
2001-12-27,0.5065,0.5088,0.504,0.5076,USD
2001-12-28,0.5073,0.5122,0.5055,0.5117,USD
2001-12-31,0.5108,0.5121,0.509,0.5109,USD
2002-01-01,0.5099,0.5104,0.5099,0.5101,USD
2002-01-02,0.5099,0.516,0.5083,0.5151,USD
2002-01-03,0.5146,0.516,0.5134,0.5146,USD
2002-01-04,0.5145,0.5213,0.5136,0.5203,USD
2002-01-07,0.5203,0.521,0.517,0.5177,USD
2002-01-08,0.5179,0.5245,0.5172,0.524,USD
2002-01-09,0.5239,0.5268,0.5218,0.5248,USD
2002-01-10,0.5237,0.5273,0.5215,0.5227,USD
2002-01-11,0.5226,0.5237,0.52,0.5202,USD
2002-01-14,0.5175,0.5195,0.516,0.5186,USD
2002-01-15,0.5188,0.52,0.517,0.5178,USD
2002-01-16,0.517,0.518,0.513,0.5154,USD
2002-01-17,0.5141,0.5156,0.511,0.5146,USD
2002-01-18,0.5145,0.5163,0.5132,0.5145,USD
2002-01-21,0.5146,0.519,0.514,0.5175,USD
2002-01-22,0.5173,0.5204,0.5166,0.5193,USD
2002-01-23,0.5194,0.5221,0.517,0.5182,USD
2002-01-24,0.5178,0.5202,0.5158,0.5196,USD
2002-01-25,0.5196,0.5206,0.514,0.5163,USD
