Date,Price,Open,High,Low,Change %
2001/1/15,0.552,0.5567,0.5572,0.55,-0.88%
2001/1/16,0.5551,0.5522,0.5586,0.5522,0.56%
2001/1/17,0.5533,0.555,0.557,0.549,-0.32%
2001/1/18,0.5591,0.5533,0.5594,0.552,1.05%
2001/1/19,0.5571,0.558,0.5625,0.5554,-0.36%
2001/1/22,0.5565,0.5558,0.5576,0.5518,-0.11%
2001/1/23,0.5524,0.5562,0.5577,0.5515,-0.74%
2001/1/24,0.543,0.5508,0.5553,0.5419,-1.70%
2001/1/25,0.546,0.5424,0.5466,0.5417,0.55%
2001/1/26,0.5443,0.5458,0.5467,0.5411,-0.31%
2001/1/29,0.5432,0.5433,0.5453,0.5415,-0.20%
2001/1/30,0.549,0.5432,0.549,0.5405,1.07%
2001/1/31,0.5512,0.548,0.5513,0.544,0.40%
2001/2/1,0.5533,0.5507,0.5557,0.5492,0.38%
2001/2/2,0.5528,0.5526,0.5567,0.5508,-0.09%
2001/2/5,0.5499,0.5507,0.5534,0.548,-0.52%
2001/2/6,0.5482,0.5501,0.5514,0.547,-0.31%
2001/2/7,0.5455,0.5484,0.5511,0.5444,-0.49%
2001/2/8,0.5353,0.5459,0.5464,0.5325,-1.87%
2001/2/9,0.5366,0.5362,0.5385,0.5319,0.24%
2001/2/12,0.539,0.5362,0.5398,0.5353,0.45%
2001/2/13,0.5338,0.5385,0.5409,0.532,-0.96%
2001/2/14,0.5294,0.5338,0.5343,0.5267,-0.82%
2001/2/15,0.5238,0.5287,0.529,0.52,-1.06%
2001/2/16,0.5282,0.5233,0.5312,0.5231,0.84%
2001/2/19,0.5302,0.5289,0.5308,0.5269,0.38%
2001/2/20,0.5242,0.5298,0.5318,0.521,-1.13%
2001/2/21,0.5241,0.5236,0.5285,0.5222,-0.02%
2001/2/22,0.525,0.5247,0.5264,0.5205,0.17%
2001/2/23,0.5263,0.524,0.5265,0.5206,0.25%
2001/2/26,0.5232,0.5255,0.5276,0.5205,-0.59%
2001/2/27,0.5257,0.5222,0.5265,0.521,0.48%
2001/2/28,0.5262,0.5253,0.5275,0.5222,0.10%
2001/3/1,0.5282,0.5259,0.5292,0.5249,0.38%
2001/3/2,0.5295,0.5272,0.5299,0.5251,0.25%
2001/3/5,0.5213,0.5292,0.5298,0.52,-1.55%
2001/3/6,0.5193,0.5215,0.5227,0.5162,-0.38%
2001/3/7,0.5092,0.52,0.5207,0.5075,-1.94%
2001/3/8,0.5111,0.5095,0.5117,0.5061,0.37%
2001/3/9,0.5091,0.5113,0.5138,0.5073,-0.39%
2001/3/12,0.5092,0.5093,0.5113,0.5069,0.02%
2001/3/13,0.5044,0.5092,0.5104,0.5018,-0.94%
2001/3/14,0.4956,0.5031,0.5047,0.4935,-1.74%
2001/3/15,0.4919,0.4961,0.4978,0.49,-0.75%
2001/3/16,0.4949,0.4915,0.4968,0.4912,0.61%
2001/3/19,0.4987,0.4945,0.5045,0.4935,0.77%
2001/3/20,0.5014,0.498,0.5025,0.497,0.54%
2001/3/21,0.4943,0.5012,0.5042,0.492,-1.42%
2001/3/22,0.4939,0.4934,0.4948,0.4887,-0.08%
2001/3/23,0.4966,0.4934,0.4988,0.4912,0.55%
2001/3/26,0.5007,0.5,0.5019,0.4886,0.83%
2001/3/27,0.4996,0.5002,0.501,0.4945,-0.22%
2001/3/28,0.4937,0.4987,0.5008,0.4919,-1.18%
2001/3/29,0.4941,0.4933,0.4961,0.49,0.08%
2001/3/30,0.4854,0.4942,0.4948,0.4845,-1.76%
2001/4/2,0.4792,0.4858,0.4889,0.4773,-1.28%
2001/4/3,0.4872,0.4786,0.4878,0.4782,1.67%
2001/4/4,0.4893,0.4869,0.492,0.4825,0.43%
2001/4/5,0.4906,0.4893,0.4945,0.4875,0.27%
2001/4/6,0.4984,0.4899,0.4994,0.4898,1.59%
2001/4/9,0.4913,0.4982,0.5,0.49,-1.42%
2001/4/10,0.496,0.4909,0.4972,0.4905,0.96%
2001/4/11,0.5031,0.4963,0.5041,0.4953,1.43%
2001/4/12,0.5106,0.5036,0.5109,0.5025,1.49%
2001/4/13,0.5091,0.5098,0.5102,0.5033,-0.29%
2001/4/16,0.5113,0.507,0.5121,0.5054,0.43%
2001/4/17,0.5037,0.5108,0.5113,0.5015,-1.49%
2001/4/18,0.5035,0.5036,0.505,0.4924,-0.04%
2001/4/19,0.5171,0.503,0.5171,0.5,2.70%
2001/4/20,0.515,0.5152,0.5191,0.5118,-0.41%
2001/4/23,0.5071,0.5128,0.5197,0.5035,-1.53%
2001/4/24,0.5068,0.5071,0.5091,0.5012,-0.06%
2001/4/25,0.5061,0.5061,0.5069,0.5023,-0.14%
2001/4/26,0.5112,0.5068,0.5112,0.5024,1.01%
2001/4/27,0.5094,0.5135,0.5142,0.5072,-0.35%
2001/4/30,0.5123,0.5079,0.5132,0.5065,0.57%
2001/5/1,0.5171,0.5125,0.5192,0.5104,0.94%
2001/5/2,0.5213,0.5169,0.523,0.5165,0.81%
2001/5/3,0.5188,0.5203,0.5248,0.5175,-0.48%
2001/5/4,0.5192,0.518,0.5226,0.5145,0.08%
