Date,Open,High,Low,Close,Currency
2001-01-02,0.9425,0.9514,0.9363,0.9498,USD
2001-01-03,0.9508,0.9572,0.9274,0.9283,USD
2001-01-04,0.9275,0.9523,0.9264,0.9493,USD
2001-01-05,0.9499,0.9597,0.9465,0.958,USD
2001-01-08,0.9576,0.9594,0.9465,0.9478,USD
2001-01-09,0.9471,0.948,0.9381,0.9456,USD
2001-01-10,0.9442,0.9468,0.9364,0.9367,USD
2001-01-11,0.9364,0.9554,0.9364,0.9531,USD
2001-01-12,0.9527,0.9584,0.9469,0.952,USD
2001-01-15,0.9519,0.9532,0.9409,0.9425,USD
2001-01-16,0.9422,0.9442,0.9371,0.9416,USD
2001-01-17,0.9425,0.9449,0.9289,0.9355,USD
2001-01-18,0.9358,0.9468,0.9354,0.9444,USD
2001-01-19,0.9427,0.9507,0.9339,0.934,USD
2001-01-22,0.9341,0.9405,0.927,0.9395,USD
2001-01-23,0.9387,0.9453,0.9371,0.9379,USD
2001-01-24,0.9374,0.9375,0.9213,0.9214,USD
2001-01-25,0.9218,0.9254,0.9113,0.9245,USD
2001-01-26,0.924,0.9321,0.9198,0.9242,USD
2001-01-29,0.9246,0.9264,0.9159,0.9165,USD
2001-01-30,0.9173,0.9281,0.9144,0.9267,USD
2001-01-31,0.9263,0.9373,0.9252,0.9365,USD
2001-02-01,0.9374,0.9448,0.9359,0.9391,USD
2001-02-02,0.9385,0.9423,0.9318,0.9364,USD
2001-02-05,0.9346,0.9446,0.9343,0.9384,USD
2001-02-06,0.9378,0.9389,0.9281,0.9309,USD
2001-02-07,0.9315,0.9356,0.9257,0.9282,USD
2001-02-08,0.9284,0.93,0.9147,0.9188,USD
2001-02-09,0.9179,0.9278,0.9125,0.9247,USD
2001-02-12,0.9254,0.9334,0.9248,0.9314,USD
2001-02-13,0.9318,0.9334,0.9171,0.9209,USD
2001-02-14,0.9196,0.9223,0.9164,0.9183,USD
2001-02-15,0.9183,0.9199,0.9026,0.9047,USD
2001-02-16,0.9052,0.9181,0.9047,0.9131,USD
2001-02-19,0.9133,0.9238,0.9121,0.922,USD
2001-02-20,0.9214,0.9242,0.9049,0.9123,USD
2001-02-21,0.9123,0.9184,0.9058,0.9096,USD
2001-02-22,0.9092,0.9133,0.9016,0.9052,USD
2001-02-23,0.9047,0.9214,0.9027,0.9176,USD
2001-02-26,0.9174,0.919,0.908,0.9118,USD
2001-02-27,0.9109,0.9215,0.9083,0.9178,USD
2001-02-28,0.9187,0.9259,0.9161,0.9234,USD
2001-03-01,0.9239,0.9325,0.9224,0.9298,USD
2001-03-02,0.9299,0.9383,0.9285,0.9347,USD
2001-03-05,0.9365,0.9367,0.9281,0.9296,USD
2001-03-06,0.9289,0.9354,0.9252,0.9344,USD
2001-03-07,0.9344,0.9373,0.9264,0.9296,USD
2001-03-08,0.9297,0.9343,0.9267,0.9324,USD
2001-03-09,0.9325,0.9377,0.929,0.9329,USD
2001-03-12,0.9326,0.9345,0.9258,0.9287,USD
2001-03-13,0.9286,0.9304,0.9127,0.9147,USD
2001-03-14,0.9155,0.9218,0.9078,0.9109,USD
2001-03-15,0.912,0.9133,0.8953,0.8984,USD
2001-03-16,0.8973,0.9006,0.8915,0.8976,USD
2001-03-19,0.8975,0.9021,0.8932,0.899,USD
2001-03-20,0.8995,0.9101,0.8987,0.9096,USD
2001-03-21,0.9093,0.9128,0.8931,0.8962,USD
2001-03-22,0.8961,0.8968,0.883,0.8883,USD
2001-03-23,0.8891,0.8969,0.8852,0.89,USD
2001-03-26,0.8911,0.8977,0.8884,0.896,USD
2001-03-27,0.8958,0.8993,0.8898,0.8932,USD
2001-03-28,0.8935,0.8948,0.8845,0.8858,USD
2001-03-29,0.8859,0.8887,0.8796,0.8827,USD
2001-03-30,0.8836,0.8879,0.8752,0.8778,USD
2001-04-02,0.8745,0.8839,0.8744,0.8798,USD
2001-04-03,0.8797,0.8999,0.8792,0.8981,USD
2001-04-04,0.8976,0.9052,0.8934,0.9013,USD
2001-04-05,0.9012,0.9094,0.8936,0.8967,USD
2001-04-06,0.8969,0.9054,0.8924,0.9042,USD
2001-04-09,0.9028,0.9049,0.8962,0.897,USD
2001-04-10,0.897,0.8997,0.8869,0.8889,USD
2001-04-11,0.8891,0.892,0.8808,0.8883,USD
2001-04-12,0.888,0.8945,0.8835,0.8926,USD
2001-04-13,0.8928,0.8935,0.8878,0.8882,USD
2001-04-16,0.8887,0.8906,0.8827,0.8888,USD
2001-04-17,0.8884,0.8912,0.8776,0.8839,USD
2001-04-18,0.8834,0.8902,0.8696,0.8822,USD
2001-04-19,0.8838,0.899,0.8806,0.898,USD
2001-04-20,0.8976,0.9049,0.8947,0.9022,USD
2001-04-23,0.9018,0.9084,0.8942,0.8964,USD
2001-04-24,0.8963,0.9022,0.8931,0.8942,USD
2001-04-25,0.8948,0.9004,0.8906,0.8976,USD
2001-04-26,0.8977,0.9046,0.8947,0.9032,USD
2001-04-27,0.9036,0.9057,0.8886,0.8922,USD
2001-04-30,0.8916,0.8925,0.885,0.8881,USD
2001-05-01,0.889,0.8943,0.8856,0.893,USD
2001-05-02,0.8937,0.8954,0.8884,0.8939,USD
2001-05-03,0.8939,0.898,0.8881,0.8897,USD
2001-05-04,0.8896,0.901,0.8894,0.8927,USD
2001-05-07,0.8927,0.8935,0.8896,0.8901,USD
2001-05-08,0.8905,0.8914,0.8823,0.8853,USD
2001-05-09,0.8854,0.8864,0.881,0.886,USD
2001-05-10,0.8864,0.8923,0.8779,0.8815,USD
2001-05-11,0.8816,0.8827,0.8733,0.8753,USD
2001-05-14,0.8757,0.8761,0.8723,0.8743,USD
2001-05-15,0.874,0.8803,0.873,0.8782,USD
2001-05-16,0.8784,0.8869,0.8743,0.8834,USD
2001-05-17,0.8834,0.8883,0.8792,0.8827,USD
2001-05-18,0.8829,0.883,0.8753,0.8814,USD
2001-05-21,0.88,0.882,0.874,0.8767,USD
2001-05-22,0.8769,0.8777,0.8627,0.865,USD
2001-05-23,0.8658,0.8664,0.8547,0.8565,USD
2001-05-24,0.8557,0.8615,0.85,0.8569,USD
