Date,Open,High,Low,Close,Currency
2001-01-02,1.4966,1.5018,1.4885,1.5005,USD
2001-01-03,1.5035,1.51,1.4892,1.4911,USD
2001-01-04,1.4894,1.5044,1.4881,1.5016,USD
2001-01-05,1.5023,1.5081,1.4944,1.5029,USD
2001-01-08,1.5031,1.5105,1.4932,1.4963,USD
2001-01-09,1.4962,1.4993,1.4871,1.4905,USD
2001-01-10,1.4884,1.4949,1.4854,1.4875,USD
2001-01-11,1.4871,1.502,1.4867,1.4985,USD
2001-01-12,1.4989,1.5038,1.4753,1.4771,USD
2001-01-15,1.4781,1.4808,1.4708,1.4775,USD
2001-01-16,1.4771,1.479,1.4661,1.4718,USD
2001-01-17,1.4728,1.4763,1.4691,1.4733,USD
2001-01-18,1.4739,1.4775,1.4688,1.4739,USD
2001-01-19,1.4734,1.4768,1.4629,1.4631,USD
2001-01-22,1.4637,1.4671,1.4514,1.4661,USD
2001-01-23,1.4654,1.4743,1.4642,1.4704,USD
2001-01-24,1.4701,1.4707,1.4529,1.4539,USD
2001-01-25,1.4534,1.4636,1.4463,1.4597,USD
2001-01-26,1.4594,1.4688,1.4554,1.461,USD
2001-01-29,1.4617,1.465,1.4563,1.4585,USD
2001-01-30,1.4583,1.4642,1.4555,1.4627,USD
2001-01-31,1.4629,1.4653,1.4576,1.4637,USD
2001-02-01,1.4642,1.4833,1.4627,1.4775,USD
2001-02-02,1.4778,1.4838,1.4649,1.4705,USD
2001-02-05,1.4692,1.4791,1.4685,1.4749,USD
2001-02-06,1.4741,1.4762,1.4571,1.4596,USD
2001-02-07,1.4594,1.4646,1.4517,1.4519,USD
2001-02-08,1.4519,1.4557,1.4419,1.4441,USD
2001-02-09,1.4446,1.4501,1.4369,1.4432,USD
2001-02-12,1.4454,1.4557,1.4446,1.4529,USD
2001-02-13,1.4523,1.4582,1.4481,1.4527,USD
2001-02-14,1.4522,1.4617,1.4512,1.4563,USD
2001-02-15,1.4556,1.4609,1.4447,1.4497,USD
2001-02-16,1.4492,1.4579,1.4442,1.4445,USD
2001-02-19,1.4473,1.4551,1.4428,1.4469,USD
2001-02-20,1.4471,1.4485,1.4317,1.4475,USD
2001-02-21,1.447,1.4484,1.4375,1.4444,USD
2001-02-22,1.4427,1.4524,1.4392,1.4469,USD
2001-02-23,1.4474,1.4557,1.4419,1.4537,USD
2001-02-26,1.4543,1.4567,1.4402,1.4461,USD
2001-02-27,1.4448,1.4479,1.4392,1.4429,USD
2001-02-28,1.4437,1.4501,1.4391,1.4446,USD
2001-03-01,1.445,1.4583,1.4442,1.4547,USD
2001-03-02,1.4553,1.4768,1.4539,1.4711,USD
2001-03-05,1.4693,1.4729,1.4659,1.4672,USD
2001-03-06,1.4663,1.4694,1.4634,1.4672,USD
2001-03-07,1.4671,1.473,1.4577,1.4607,USD
2001-03-08,1.4611,1.471,1.4593,1.4693,USD
2001-03-09,1.4693,1.4754,1.4617,1.4697,USD
2001-03-12,1.4678,1.4698,1.462,1.464,USD
2001-03-13,1.4648,1.4665,1.4472,1.4495,USD
2001-03-14,1.4495,1.4579,1.4434,1.4449,USD
2001-03-15,1.4455,1.4518,1.4341,1.4349,USD
2001-03-16,1.4351,1.4418,1.4253,1.4301,USD
2001-03-19,1.4325,1.4341,1.4212,1.4262,USD
2001-03-20,1.4256,1.4365,1.4235,1.4359,USD
2001-03-21,1.4349,1.4398,1.4255,1.4307,USD
2001-03-22,1.431,1.4315,1.4176,1.4213,USD
2001-03-23,1.4215,1.4316,1.4194,1.4245,USD
2001-03-26,1.4264,1.4357,1.4243,1.4344,USD
2001-03-27,1.4352,1.439,1.4281,1.4331,USD
2001-03-28,1.4335,1.4385,1.4274,1.4375,USD
2001-03-29,1.4371,1.4427,1.4257,1.4274,USD
2001-03-30,1.4277,1.43,1.4153,1.4161,USD
2001-04-02,1.4143,1.424,1.4137,1.419,USD
2001-04-03,1.4188,1.4345,1.4183,1.4329,USD
2001-04-04,1.4331,1.4369,1.4295,1.4329,USD
2001-04-05,1.4326,1.4403,1.4246,1.4277,USD
2001-04-06,1.4274,1.4413,1.4255,1.44,USD
2001-04-09,1.4409,1.4505,1.4381,1.4447,USD
2001-04-10,1.444,1.4466,1.4305,1.4323,USD
