Date,Price,Open,High,Low,Change %
2001/1/15,1.4775,1.4781,1.4808,1.4708,0.03%
2001/1/16,1.4718,1.4771,1.479,1.4661,-0.39%
2001/1/17,1.4733,1.4728,1.4763,1.4691,0.10%
2001/1/18,1.4739,1.4739,1.4775,1.4688,0.04%
2001/1/19,1.4631,1.4734,1.4768,1.4629,-0.73%
2001/1/22,1.4661,1.4637,1.4671,1.4514,0.21%
2001/1/23,1.4704,1.4654,1.4743,1.4642,0.29%
2001/1/24,1.4539,1.4701,1.4707,1.4529,-1.12%
2001/1/25,1.4597,1.4534,1.4636,1.4463,0.40%
2001/1/26,1.461,1.4594,1.4688,1.4554,0.09%
2001/1/29,1.4585,1.4617,1.465,1.4563,-0.17%
2001/1/30,1.4627,1.4583,1.4642,1.4555,0.29%
2001/1/31,1.4637,1.4629,1.4653,1.4576,0.07%
2001/2/1,1.4775,1.4642,1.4833,1.4627,0.94%
2001/2/2,1.4705,1.4778,1.4838,1.4649,-0.47%
2001/2/5,1.4749,1.4692,1.4791,1.4685,0.30%
2001/2/6,1.4596,1.4741,1.4762,1.4571,-1.04%
2001/2/7,1.4519,1.4594,1.4646,1.4517,-0.53%
2001/2/8,1.4441,1.4519,1.4557,1.4419,-0.54%
2001/2/9,1.4432,1.4446,1.4501,1.4369,-0.06%
2001/2/12,1.4529,1.4454,1.4557,1.4446,0.67%
2001/2/13,1.4527,1.4523,1.4582,1.4481,-0.01%
2001/2/14,1.4563,1.4522,1.4617,1.4512,0.25%
2001/2/15,1.4497,1.4556,1.4609,1.4447,-0.45%
2001/2/16,1.4445,1.4492,1.4579,1.4442,-0.36%
2001/2/19,1.4469,1.4473,1.4551,1.4428,0.17%
2001/2/20,1.4475,1.4471,1.4485,1.4317,0.04%
2001/2/21,1.4444,1.447,1.4484,1.4375,-0.21%
2001/2/22,1.4469,1.4427,1.4524,1.4392,0.17%
2001/2/23,1.4537,1.4474,1.4557,1.4419,0.47%
2001/2/26,1.4461,1.4543,1.4567,1.4402,-0.52%
2001/2/27,1.4429,1.4448,1.4479,1.4392,-0.22%
2001/2/28,1.4446,1.4437,1.4501,1.4391,0.12%
2001/3/1,1.4547,1.445,1.4583,1.4442,0.70%
2001/3/2,1.4711,1.4553,1.4768,1.4539,1.13%
