Date,Open,High,Low,Close,Currency
2001-01-02,0.4435,0.4458,0.4391,0.4447,USD
2001-01-03,0.4452,0.4491,0.437,0.438,USD
2001-01-04,0.4379,0.4474,0.4379,0.4456,USD
2001-01-05,0.4456,0.4543,0.4454,0.4529,USD
2001-01-08,0.4525,0.455,0.4495,0.4526,USD
2001-01-09,0.4516,0.4524,0.4435,0.4481,USD
2001-01-10,0.448,0.4499,0.443,0.4447,USD
2001-01-11,0.4441,0.4524,0.4433,0.4516,USD
2001-01-12,0.4511,0.4524,0.4448,0.4466,USD
2001-01-15,0.4464,0.4473,0.4409,0.4413,USD
2001-01-16,0.4412,0.4476,0.4408,0.4441,USD
2001-01-17,0.4445,0.4481,0.441,0.4449,USD
2001-01-18,0.4451,0.4494,0.4442,0.4491,USD
2001-01-19,0.4484,0.4525,0.4462,0.4471,USD
2001-01-22,0.4465,0.4494,0.445,0.4485,USD
2001-01-23,0.4479,0.4491,0.4453,0.4464,USD
2001-01-24,0.4458,0.4485,0.4368,0.4383,USD
2001-01-25,0.4365,0.4386,0.432,0.4367,USD
2001-01-26,0.4369,0.4384,0.4334,0.4367,USD
2001-01-29,0.4359,0.4377,0.4326,0.4334,USD
2001-01-30,0.4337,0.4424,0.433,0.4413,USD
2001-01-31,0.4409,0.4454,0.4385,0.4451,USD
2001-02-01,0.4439,0.4493,0.443,0.4465,USD
2001-02-02,0.4461,0.4518,0.4437,0.4456,USD
2001-02-05,0.4448,0.4469,0.4408,0.4421,USD
2001-02-06,0.4422,0.4438,0.441,0.4424,USD
2001-02-07,0.4422,0.4449,0.4395,0.443,USD
2001-02-08,0.443,0.4436,0.4332,0.4344,USD
2001-02-09,0.434,0.4388,0.4323,0.4363,USD
2001-02-12,0.4352,0.4387,0.4347,0.4375,USD
2001-02-13,0.4374,0.4397,0.433,0.434,USD
2001-02-14,0.4337,0.4348,0.4275,0.4294,USD
2001-02-15,0.4288,0.4296,0.424,0.4254,USD
2001-02-16,0.4247,0.4311,0.4247,0.4293,USD
2001-02-19,0.43,0.4323,0.4288,0.4316,USD
2001-02-20,0.4313,0.432,0.425,0.4294,USD
2001-02-21,0.4283,0.4335,0.4269,0.4289,USD
2001-02-22,0.4296,0.4318,0.4262,0.4316,USD
2001-02-23,0.4304,0.4358,0.428,0.4348,USD
2001-02-26,0.4352,0.4374,0.4264,0.4304,USD
2001-02-27,0.4298,0.4344,0.4293,0.4328,USD
2001-02-28,0.4315,0.4324,0.428,0.4306,USD
2001-03-01,0.4301,0.4345,0.43,0.4337,USD
2001-03-02,0.433,0.4382,0.4323,0.4358,USD
2001-03-05,0.4357,0.4363,0.4304,0.4315,USD
2001-03-06,0.4331,0.4337,0.427,0.4326,USD
2001-03-07,0.433,0.4334,0.422,0.4224,USD
2001-03-08,0.4233,0.4239,0.4175,0.4229,USD
2001-03-09,0.4227,0.4259,0.4186,0.4204,USD
2001-03-12,0.4195,0.4209,0.4174,0.4199,USD
2001-03-13,0.42,0.4218,0.4145,0.4166,USD
2001-03-14,0.4171,0.4196,0.414,0.4148,USD
2001-03-15,0.4144,0.4151,0.4095,0.4101,USD
2001-03-16,0.4095,0.4156,0.4068,0.4155,USD
2001-03-19,0.4151,0.4228,0.4151,0.4179,USD
2001-03-20,0.4176,0.4219,0.4132,0.4215,USD
2001-03-21,0.4214,0.4228,0.4137,0.415,USD
2001-03-22,0.4139,0.4163,0.411,0.4162,USD
2001-03-23,0.4145,0.4198,0.413,0.4156,USD
2001-03-26,0.4168,0.4172,0.404,0.4158,USD
2001-03-27,0.4138,0.4151,0.4086,0.4131,USD
2001-03-28,0.4125,0.4137,0.408,0.4098,USD
2001-03-29,0.4095,0.413,0.4062,0.4093,USD
2001-03-30,0.4093,0.4099,0.4,0.4029,USD
2001-04-02,0.4028,0.4041,0.3947,0.3972,USD
2001-04-03,0.3966,0.4057,0.3966,0.4052,USD
2001-04-04,0.405,0.4076,0.4003,0.4068,USD
2001-04-05,0.4065,0.4093,0.4017,0.403,USD
2001-04-06,0.403,0.407,0.402,0.407,USD
2001-04-09,0.4075,0.4081,0.399,0.4012,USD
2001-04-10,0.3996,0.405,0.3987,0.4027,USD
2001-04-11,0.4031,0.4066,0.4019,0.4052,USD
2001-04-12,0.4034,0.4095,0.4034,0.408,USD
2001-04-13,0.4079,0.4096,0.407,0.4075,USD
2001-04-16,0.4069,0.4114,0.4058,0.4106,USD
2001-04-17,0.4105,0.4111,0.4023,0.4034,USD
2001-04-18,0.403,0.4068,0.4,0.4044,USD
2001-04-19,0.4037,0.4113,0.4029,0.4112,USD
2001-04-20,0.4105,0.417,0.4084,0.4122,USD
2001-04-23,0.4114,0.4167,0.406,0.4116,USD
2001-04-24,0.4113,0.4125,0.4041,0.4115,USD
2001-04-25,0.4109,0.4115,0.4068,0.4112,USD
2001-04-26,0.4106,0.413,0.4077,0.4123,USD
2001-04-27,0.413,0.4145,0.4108,0.413,USD
2001-04-30,0.4114,0.4143,0.4088,0.4138,USD
2001-05-01,0.4134,0.4214,0.4128,0.4187,USD
2001-05-02,0.4186,0.4238,0.4186,0.4229,USD
2001-05-03,0.4224,0.4245,0.4208,0.4212,USD
2001-05-04,0.4204,0.4241,0.4195,0.4215,USD
2001-05-07,0.4218,0.4224,0.4199,0.4207,USD
2001-05-08,0.4205,0.4231,0.418,0.4191,USD
2001-05-09,0.4184,0.4286,0.4179,0.4271,USD
2001-05-10,0.4266,0.4279,0.4234,0.4244,USD
2001-05-11,0.4241,0.4261,0.4202,0.4224,USD
2001-05-14,0.422,0.4226,0.4178,0.4199,USD
2001-05-15,0.4193,0.4196,0.415,0.419,USD
2001-05-16,0.418,0.4234,0.4178,0.4222,USD
2001-05-17,0.4225,0.4274,0.4218,0.4262,USD
2001-05-18,0.4262,0.4286,0.4243,0.4286,USD
2001-05-21,0.428,0.4294,0.4255,0.4264,USD
2001-05-22,0.4259,0.4274,0.4233,0.4242,USD
2001-05-23,0.4241,0.4247,0.4181,0.4194,USD
2001-05-24,0.4195,0.4243,0.4144,0.4234,USD
2001-05-25,0.4234,0.4257,0.4222,0.4243,USD
2001-05-28,0.4243,0.4266,0.4229,0.4235,USD
2001-05-29,0.4228,0.4234,0.4198,0.4206,USD
2001-05-30,0.4205,0.4219,0.416,0.4172,USD
2001-05-31,0.4166,0.417,0.4069,0.4093,USD
2001-06-01,0.4087,0.4125,0.4083,0.4093,USD
2001-06-04,0.4092,0.4131,0.408,0.4108,USD
2001-06-05,0.4101,0.4123,0.4089,0.4115,USD
2001-06-06,0.4113,0.4155,0.4105,0.4136,USD
2001-06-07,0.4132,0.4187,0.4101,0.4158,USD
2001-06-08,0.416,0.4201,0.4152,0.4201,USD
2001-06-11,0.4191,0.4204,0.4163,0.4173,USD
2001-06-12,0.417,0.4193,0.4161,0.4185,USD
2001-06-13,0.4183,0.4236,0.418,0.4234,USD
2001-06-14,0.4225,0.4229,0.413,0.4189,USD
2001-06-15,0.4183,0.4193,0.4152,0.4161,USD
2001-06-18,0.4157,0.417,0.413,0.4146,USD
2001-06-19,0.4138,0.4162,0.412,0.4145,USD
2001-06-20,0.415,0.4153,0.4113,0.4138,USD
2001-06-21,0.4136,0.4151,0.4117,0.4131,USD
2001-06-22,0.412,0.4141,0.4111,0.4129,USD
2001-06-25,0.414,0.4145,0.4114,0.4133,USD
2001-06-26,0.4129,0.4182,0.4127,0.4173,USD
2001-06-27,0.4171,0.4197,0.4133,0.4171,USD
2001-06-28,0.4161,0.4168,0.4055,0.4072,USD
2001-06-29,0.4063,0.4071,0.4007,0.4063,USD
2001-07-02,0.4061,0.4076,0.4039,0.4073,USD
2001-07-03,0.4069,0.4093,0.4058,0.4081,USD
2001-07-04,0.4072,0.4097,0.4055,0.4078,USD
2001-07-05,0.4071,0.4075,0.4032,0.4035,USD
2001-07-06,0.403,0.4065,0.3998,0.405,USD
2001-07-09,0.4054,0.4081,0.4032,0.4073,USD
2001-07-10,0.4069,0.409,0.4048,0.4059,USD
2001-07-11,0.406,0.409,0.4038,0.4042,USD
2001-07-12,0.4045,0.4067,0.4019,0.4053,USD
2001-07-13,0.4056,0.4077,0.4044,0.4067,USD
2001-07-16,0.4072,0.4085,0.4057,0.4066,USD
2001-07-17,0.4056,0.408,0.4044,0.4071,USD
2001-07-18,0.4067,0.4148,0.4065,0.4143,USD
2001-07-19,0.4136,0.4172,0.4123,0.4136,USD
2001-07-20,0.4128,0.4148,0.4073,0.4093,USD
2001-07-23,0.4087,0.4109,0.4078,0.4091,USD
2001-07-24,0.4089,0.413,0.408,0.4123,USD
2001-07-25,0.4119,0.4137,0.4102,0.4123,USD
2001-07-26,0.4117,0.4142,0.4108,0.4123,USD
2001-07-27,0.4116,0.413,0.4102,0.4122,USD
2001-07-30,0.4129,0.4134,0.4106,0.4131,USD
2001-07-31,0.4123,0.4138,0.4092,0.4136,USD
2001-08-01,0.4131,0.419,0.4116,0.4178,USD
2001-08-02,0.4174,0.4199,0.416,0.4196,USD
2001-08-03,0.4185,0.4221,0.4155,0.4181,USD
2001-08-06,0.4176,0.4202,0.416,0.4199,USD
2001-08-07,0.4194,0.4217,0.4171,0.4184,USD
2001-08-08,0.4186,0.4248,0.4185,0.4234,USD
2001-08-09,0.4231,0.4274,0.4217,0.4255,USD
2001-08-10,0.4253,0.4272,0.4237,0.4255,USD
2001-08-13,0.425,0.4291,0.4241,0.428,USD
2001-08-14,0.4274,0.4317,0.4255,0.4306,USD
2001-08-15,0.4306,0.4358,0.429,0.4342,USD
2001-08-16,0.4338,0.4374,0.4314,0.4326,USD
2001-08-17,0.432,0.4415,0.4317,0.4393,USD
2001-08-20,0.439,0.4414,0.436,0.4378,USD
2001-08-21,0.4363,0.4398,0.4347,0.4394,USD
2001-08-22,0.439,0.445,0.4385,0.442,USD
2001-08-23,0.4413,0.4425,0.439,0.4414,USD
2001-08-24,0.4404,0.4427,0.4374,0.4412,USD
2001-08-27,0.4417,0.442,0.4373,0.4382,USD
2001-08-28,0.4378,0.4412,0.4345,0.4408,USD
2001-08-29,0.4406,0.4427,0.4392,0.44,USD
2001-08-30,0.439,0.4428,0.438,0.442,USD
2001-08-31,0.4421,0.4435,0.4367,0.4396,USD
2001-09-03,0.439,0.4393,0.435,0.4364,USD
2001-09-04,0.4369,0.4374,0.4304,0.4323,USD
2001-09-05,0.4316,0.4336,0.4275,0.4323,USD
2001-09-06,0.432,0.4365,0.4304,0.4347,USD
2001-09-07,0.4349,0.437,0.431,0.4346,USD
2001-09-10,0.4335,0.4339,0.4279,0.4309,USD
2001-09-11,0.4307,0.4355,0.425,0.4335,USD
2001-09-12,0.4311,0.4318,0.424,0.4271,USD
2001-09-13,0.4265,0.4268,0.4195,0.4241,USD
2001-09-14,0.4233,0.4244,0.4202,0.4239,USD
2001-09-17,0.423,0.4234,0.4093,0.4108,USD
2001-09-18,0.4111,0.4133,0.408,0.4133,USD
2001-09-19,0.4133,0.4137,0.409,0.4118,USD
2001-09-20,0.4116,0.4135,0.4098,0.4115,USD
2001-09-21,0.4117,0.4122,0.4011,0.4022,USD
2001-09-24,0.4031,0.4078,0.397,0.4023,USD
2001-09-25,0.4021,0.4095,0.4016,0.4062,USD
2001-09-26,0.4068,0.4103,0.4035,0.4044,USD
2001-09-27,0.404,0.4052,0.3983,0.4015,USD
2001-09-28,0.4009,0.4086,0.3995,0.4064,USD
2001-10-01,0.4068,0.4082,0.4018,0.4066,USD
2001-10-02,0.4061,0.4072,0.4033,0.4054,USD
2001-10-03,0.4049,0.4108,0.403,0.4088,USD
2001-10-04,0.4071,0.4108,0.406,0.4085,USD
2001-10-05,0.4087,0.4175,0.4084,0.4145,USD
2001-10-08,0.4138,0.4175,0.4136,0.417,USD
2001-10-09,0.4165,0.4173,0.4116,0.4128,USD
2001-10-10,0.4118,0.415,0.411,0.4133,USD
2001-10-11,0.4128,0.4153,0.4102,0.4146,USD
2001-10-12,0.4143,0.4163,0.412,0.4153,USD
2001-10-15,0.4195,0.4228,0.4182,0.4216,USD
2001-10-16,0.4203,0.4212,0.417,0.4184,USD
2001-10-17,0.4184,0.4226,0.4165,0.4189,USD
2001-10-18,0.4177,0.4184,0.4135,0.4161,USD
2001-10-19,0.4155,0.4173,0.4138,0.4168,USD
2001-10-22,0.4171,0.419,0.4143,0.4187,USD
2001-10-23,0.4184,0.4196,0.4163,0.4184,USD
2001-10-24,0.419,0.4195,0.4168,0.418,USD
2001-10-25,0.4178,0.4191,0.4123,0.4133,USD
2001-10-26,0.4124,0.4143,0.4112,0.4125,USD
2001-10-29,0.4109,0.416,0.4094,0.4143,USD
2001-10-30,0.4138,0.4178,0.413,0.4134,USD
2001-10-31,0.4132,0.4148,0.4098,0.4111,USD
2001-11-01,0.411,0.4185,0.4106,0.4155,USD
