Date,Price,Open,High,Low,Change %
2001/1/15,0.4413,0.4464,0.4473,0.4409,-1.19%
2001/1/16,0.4441,0.4412,0.4476,0.4408,0.63%
2001/1/17,0.4449,0.4445,0.4481,0.441,0.18%
2001/1/18,0.4491,0.4451,0.4494,0.4442,0.94%
2001/1/19,0.4471,0.4484,0.4525,0.4462,-0.45%
2001/1/22,0.4485,0.4465,0.4494,0.445,0.31%
2001/1/23,0.4464,0.4479,0.4491,0.4453,-0.47%
2001/1/24,0.4383,0.4458,0.4485,0.4368,-1.81%
2001/1/25,0.4367,0.4365,0.4386,0.432,-0.37%
2001/1/26,0.4367,0.4369,0.4384,0.4334,0.00%
2001/1/29,0.4334,0.4359,0.4377,0.4326,-0.76%
2001/1/30,0.4413,0.4337,0.4424,0.433,1.82%
2001/1/31,0.4451,0.4409,0.4454,0.4385,0.86%
2001/2/1,0.4465,0.4439,0.4493,0.443,0.31%
2001/2/2,0.4456,0.4461,0.4518,0.4437,-0.20%
2001/2/5,0.4421,0.4448,0.4469,0.4408,-0.79%
2001/2/6,0.4424,0.4422,0.4438,0.441,0.07%
2001/2/7,0.443,0.4422,0.4449,0.4395,0.14%
2001/2/8,0.4344,0.443,0.4436,0.4332,-1.94%
2001/2/9,0.4363,0.434,0.4388,0.4323,0.44%
2001/2/12,0.4375,0.4352,0.4387,0.4347,0.28%
2001/2/13,0.434,0.4374,0.4397,0.433,-0.80%
2001/2/14,0.4294,0.4337,0.4348,0.4275,-1.06%
2001/2/15,0.4254,0.4288,0.4296,0.424,-0.93%
2001/2/16,0.4293,0.4247,0.4311,0.4247,0.92%
2001/2/19,0.4316,0.43,0.4323,0.4288,0.54%
2001/2/20,0.4294,0.4313,0.432,0.425,-0.51%
2001/2/21,0.4289,0.4283,0.4335,0.4269,-0.12%
2001/2/22,0.4316,0.4296,0.4318,0.4262,0.63%
2001/2/23,0.4348,0.4304,0.4358,0.428,0.74%
2001/2/26,0.4304,0.4352,0.4374,0.4264,-1.01%
2001/2/27,0.4328,0.4298,0.4344,0.4293,0.56%
2001/2/28,0.4306,0.4315,0.4324,0.428,-0.51%
2001/3/1,0.4337,0.4301,0.4345,0.43,0.72%
2001/3/2,0.4358,0.433,0.4382,0.4323,0.48%
2001/3/5,0.4315,0.4357,0.4363,0.4304,-0.99%
2001/3/6,0.4326,0.4331,0.4337,0.427,0.25%
2001/3/7,0.4224,0.433,0.4334,0.422,-2.36%
2001/3/8,0.4229,0.4233,0.4239,0.4175,0.12%
2001/3/9,0.4204,0.4227,0.4259,0.4186,-0.59%
2001/3/12,0.4199,0.4195,0.4209,0.4174,-0.12%
2001/3/13,0.4166,0.42,0.4218,0.4145,-0.79%
2001/3/14,0.4148,0.4171,0.4196,0.414,-0.43%
2001/3/15,0.4101,0.4144,0.4151,0.4095,-1.13%
2001/3/16,0.4155,0.4095,0.4156,0.4068,1.32%
2001/3/19,0.4179,0.4151,0.4228,0.4151,0.58%
2001/3/20,0.4215,0.4176,0.4219,0.4132,0.86%
2001/3/21,0.415,0.4214,0.4228,0.4137,-1.54%
2001/3/22,0.4162,0.4139,0.4163,0.411,0.29%
2001/3/23,0.4156,0.4145,0.4198,0.413,-0.14%
2001/3/26,0.4158,0.4168,0.4172,0.404,0.05%
2001/3/27,0.4131,0.4138,0.4151,0.4086,-0.65%
2001/3/28,0.4098,0.4125,0.4137,0.408,-0.80%
2001/3/29,0.4093,0.4095,0.413,0.4062,-0.12%
2001/3/30,0.4029,0.4093,0.4099,0.4,-1.56%
2001/4/2,0.3972,0.4028,0.4041,0.3947,-1.41%
2001/4/3,0.4052,0.3966,0.4057,0.3966,2.01%
2001/4/4,0.4068,0.405,0.4076,0.4003,0.39%
2001/4/5,0.403,0.4065,0.4093,0.4017,-0.93%
2001/4/6,0.407,0.403,0.407,0.402,0.99%
2001/4/9,0.4012,0.4075,0.4081,0.399,-1.43%
2001/4/10,0.4027,0.3996,0.405,0.3987,0.37%
2001/4/11,0.4052,0.4031,0.4066,0.4019,0.62%
2001/4/12,0.408,0.4034,0.4095,0.4034,0.69%
2001/4/13,0.4075,0.4079,0.4096,0.407,-0.12%
2001/4/16,0.4106,0.4069,0.4114,0.4058,0.76%
2001/4/17,0.4034,0.4105,0.4111,0.4023,-1.75%
2001/4/18,0.4044,0.403,0.4068,0.4,0.25%
2001/4/19,0.4112,0.4037,0.4113,0.4029,1.68%
2001/4/20,0.4122,0.4105,0.417,0.4084,0.24%
2001/4/23,0.4116,0.4114,0.4167,0.406,-0.15%
2001/4/24,0.4115,0.4113,0.4125,0.4041,-0.02%
2001/4/25,0.4112,0.4109,0.4115,0.4068,-0.07%
2001/4/26,0.4123,0.4106,0.413,0.4077,0.27%
2001/4/27,0.413,0.413,0.4145,0.4108,0.17%
2001/4/30,0.4138,0.4114,0.4143,0.4088,0.19%
2001/5/1,0.4187,0.4134,0.4214,0.4128,1.18%
2001/5/2,0.4229,0.4186,0.4238,0.4186,1.00%
2001/5/3,0.4212,0.4224,0.4245,0.4208,-0.40%
2001/5/4,0.4215,0.4204,0.4241,0.4195,0.07%
2001/5/7,0.4207,0.4218,0.4224,0.4199,-0.19%
2001/5/8,0.4191,0.4205,0.4231,0.418,-0.38%
2001/5/9,0.4271,0.4184,0.4286,0.4179,1.91%
2001/5/10,0.4244,0.4266,0.4279,0.4234,-0.63%
2001/5/11,0.4224,0.4241,0.4261,0.4202,-0.47%
2001/5/14,0.4199,0.422,0.4226,0.4178,-0.59%
2001/5/15,0.419,0.4193,0.4196,0.415,-0.21%
2001/5/16,0.4222,0.418,0.4234,0.4178,0.76%
2001/5/17,0.4262,0.4225,0.4274,0.4218,0.95%
2001/5/18,0.4286,0.4262,0.4286,0.4243,0.56%
2001/5/21,0.4264,0.428,0.4294,0.4255,-0.51%
2001/5/22,0.4242,0.4259,0.4274,0.4233,-0.52%
2001/5/23,0.4194,0.4241,0.4247,0.4181,-1.13%
2001/5/24,0.4234,0.4195,0.4243,0.4144,0.95%
2001/5/25,0.4243,0.4234,0.4257,0.4222,0.21%
