Date,Open,High,Low,Close,Currency
2001-01-02,1.9503,1.9503,1.9345,1.9425,BRL
2001-01-03,1.942,1.9475,1.93,1.93,BRL
2001-01-04,1.9303,1.9419,1.9295,1.9419,BRL
2001-01-05,1.9415,1.9575,1.9405,1.9549,BRL
2001-01-08,1.9555,1.958,1.9485,1.9495,BRL
2001-01-09,1.9495,1.951,1.941,1.943,BRL
2001-01-10,1.942,1.947,1.9395,1.943,BRL
2001-01-11,1.9435,1.958,1.943,1.955,BRL
2001-01-12,1.9545,1.9625,1.9455,1.95,BRL
2001-01-15,1.95,1.95,1.945,1.948,BRL
2001-01-16,1.948,1.957,1.948,1.952,BRL
2001-01-17,1.952,1.961,1.948,1.956,BRL
2001-01-18,1.956,1.9643,1.9505,1.9545,BRL
2001-01-19,1.9545,1.9605,1.9495,1.9575,BRL
2001-01-22,1.9565,1.9605,1.9555,1.9565,BRL
2001-01-23,1.957,1.962,1.954,1.961,BRL
2001-01-24,1.9618,1.9708,1.9578,1.9688,BRL
2001-01-25,1.9688,1.9798,1.9688,1.9737,BRL
2001-01-26,1.9745,1.9788,1.9695,1.9735,BRL
2001-01-29,1.974,1.978,1.971,1.974,BRL
2001-01-30,1.9745,1.981,1.964,1.965,BRL
2001-01-31,1.9655,1.977,1.965,1.971,BRL
2001-02-01,1.971,1.991,1.971,1.99,BRL
2001-02-02,1.989,1.997,1.985,1.99,BRL
2001-02-05,1.992,2.006,1.989,2.0,BRL
2001-02-06,1.9995,2.0055,1.9945,2.0025,BRL
2001-02-07,2.0025,2.0065,1.9985,2.0025,BRL
2001-02-08,2.0025,2.0095,1.9895,1.9915,BRL
2001-02-09,1.9895,1.9945,1.9775,1.9835,BRL
2001-02-12,1.9825,1.9835,1.9775,1.9825,BRL
2001-02-13,1.983,1.988,1.976,1.986,BRL
2001-02-14,1.985,1.994,1.976,1.986,BRL
2001-02-15,1.986,1.99,1.978,1.989,BRL
2001-02-16,1.987,2.007,1.987,2.003,BRL
2001-02-19,1.9945,2.0065,1.9945,2.003,BRL
2001-02-20,2.0035,2.0115,1.9945,2.0085,BRL
2001-02-21,2.0085,2.0475,2.0055,2.0465,BRL
2001-02-22,2.0435,2.0485,2.0265,2.0425,BRL
2001-02-23,2.0425,2.0505,2.0335,2.0375,BRL
2001-02-26,2.0375,2.0375,2.0285,2.0335,BRL
2001-02-27,2.0335,2.037,2.032,2.036,BRL
2001-02-28,2.0347,2.0467,2.0328,2.0463,BRL
2001-03-01,2.0465,2.0485,2.0375,2.0405,BRL
2001-03-02,2.034,2.045,2.023,2.0265,BRL
2001-03-05,2.031,2.0325,2.0175,2.0215,BRL
2001-03-06,2.0195,2.0395,2.0145,2.0335,BRL
2001-03-07,2.0385,2.0495,2.0325,2.0405,BRL
2001-03-08,2.04,2.061,2.03,2.053,BRL
2001-03-09,2.051,2.067,2.043,2.045,BRL
2001-03-12,2.046,2.068,2.046,2.066,BRL
2001-03-13,2.068,2.0715,2.053,2.062,BRL
2001-03-14,2.0605,2.0845,2.0605,2.0785,BRL
2001-03-15,2.077,2.106,2.073,2.103,BRL
2001-03-16,2.095,2.142,2.095,2.127,BRL
2001-03-19,2.1235,2.1765,2.1025,2.1145,BRL
2001-03-20,2.115,2.124,2.078,2.083,BRL
2001-03-21,2.0835,2.1305,2.0825,2.1215,BRL
2001-03-22,2.1165,2.1635,2.1165,2.1625,BRL
2001-03-23,2.161,2.178,2.149,2.172,BRL
2001-03-26,2.149,2.154,2.126,2.134,BRL
2001-03-27,2.1325,2.1325,2.1085,2.1205,BRL
2001-03-28,2.119,2.128,2.108,2.127,BRL
2001-03-29,2.125,2.155,2.124,2.153,BRL
2001-03-30,2.152,2.173,2.148,2.153,BRL
2001-04-02,2.152,2.171,2.15,2.167,BRL
2001-04-03,2.1645,2.1805,2.1645,2.1765,BRL
2001-04-04,2.18,2.18,2.159,2.174,BRL
2001-04-05,2.1725,2.1725,2.1465,2.1535,BRL
2001-04-06,2.1515,2.1695,2.1445,2.1655,BRL
2001-04-09,2.164,2.171,2.154,2.157,BRL
2001-04-10,2.1565,2.1565,2.1325,2.1375,BRL
2001-04-11,2.136,2.161,2.132,2.154,BRL
2001-04-12,2.1535,2.1725,2.1505,2.1545,BRL
2001-04-13,2.1545,2.1545,2.1545,2.1545,BRL
2001-04-16,2.1575,2.1955,2.1575,2.1945,BRL
2001-04-17,2.193,2.201,2.183,2.197,BRL
2001-04-18,2.196,2.196,2.166,2.181,BRL
2001-04-19,2.18,2.218,2.176,2.201,BRL
2001-04-20,2.187,2.272,2.187,2.235,BRL
2001-04-23,2.2345,2.279,2.2275,2.259,BRL
2001-04-24,2.256,2.27,2.247,2.27,BRL
2001-04-25,2.274,2.311,2.2735,2.288,BRL
2001-04-26,2.2868,2.2873,2.2378,2.2418,BRL
2001-04-27,2.2425,2.249,2.198,2.202,BRL
2001-04-30,2.201,2.205,2.175,2.201,BRL
2001-05-01,2.2005,2.2015,2.2005,2.2015,BRL
2001-05-02,2.215,2.24,2.212,2.24,BRL
2001-05-03,2.2415,2.2505,2.2055,2.2115,BRL
2001-05-04,2.2105,2.2305,2.1995,2.2125,BRL
2001-05-07,2.21,2.2185,2.1915,2.2145,BRL
2001-05-08,2.215,2.25,2.213,2.244,BRL
2001-05-09,2.243,2.267,2.24,2.263,BRL
2001-05-10,2.259,2.281,2.253,2.262,BRL
2001-05-11,2.262,2.297,2.252,2.283,BRL
2001-05-14,2.2815,2.3185,2.2795,2.3135,BRL
2001-05-15,2.3125,2.3435,2.3125,2.3375,BRL
2001-05-16,2.337,2.339,2.309,2.31,BRL
2001-05-17,2.3105,2.324,2.296,2.298,BRL
2001-05-18,2.304,2.307,2.286,2.304,BRL
2001-05-21,2.307,2.335,2.306,2.32,BRL
2001-05-22,2.318,2.33,2.295,2.325,BRL
2001-05-23,2.33,2.352,2.328,2.346,BRL
2001-05-24,2.3435,2.3705,2.3335,2.3535,BRL
2001-05-25,2.352,2.376,2.312,2.319,BRL
2001-05-28,2.3165,2.3405,2.3095,2.3385,BRL
2001-05-29,2.3385,2.3515,2.3305,2.3465,BRL
2001-05-30,2.3445,2.3645,2.3385,2.3445,BRL
2001-05-31,2.341,2.386,2.339,2.381,BRL
2001-06-01,2.3795,2.3935,2.3705,2.3805,BRL
2001-06-04,2.376,2.387,2.354,2.385,BRL
2001-06-05,2.384,2.393,2.378,2.389,BRL
2001-06-06,2.377,2.393,2.371,2.387,BRL
2001-06-07,2.3855,2.3965,2.3585,2.3615,BRL
2001-06-08,2.36,2.375,2.353,2.359,BRL
2001-06-11,2.359,2.383,2.359,2.382,BRL
2001-06-12,2.3805,2.4055,2.3805,2.4035,BRL
2001-06-13,2.4085,2.4265,2.3975,2.4235,BRL
2001-06-14,2.4235,2.4235,2.4235,2.4235,BRL
2001-06-15,2.414,2.418,2.401,2.418,BRL
2001-06-18,2.4135,2.4765,2.4105,2.4645,BRL
2001-06-19,2.456,2.485,2.453,2.479,BRL
2001-06-20,2.479,2.485,2.462,2.474,BRL
2001-06-21,2.458,2.458,2.369,2.369,BRL
2001-06-22,2.371,2.372,2.296,2.296,BRL
2001-06-25,2.281,2.32,2.281,2.299,BRL
2001-06-26,2.299,2.3355,2.2985,2.3335,BRL
2001-06-27,2.332,2.337,2.267,2.277,BRL
2001-06-28,2.3025,2.3145,2.2745,2.3145,BRL
2001-06-29,2.3125,2.3205,2.2975,2.3105,BRL
2001-07-02,2.318,2.337,2.309,2.329,BRL
2001-07-03,2.3325,2.3525,2.3305,2.3495,BRL
2001-07-04,2.3475,2.4225,2.3475,2.4185,BRL
2001-07-05,2.421,2.5025,2.3885,2.5025,BRL
2001-07-06,2.472,2.556,2.421,2.43,BRL
2001-07-09,2.4335,2.4705,2.4335,2.4475,BRL
2001-07-10,2.4505,2.5065,2.4425,2.4985,BRL
2001-07-11,2.5395,2.5695,2.4925,2.5015,BRL
2001-07-12,2.5875,2.6045,2.5225,2.5525,BRL
2001-07-13,2.5235,2.6015,2.5235,2.5565,BRL
