Date,Open,High,Low,Close,Currency
2001-01-02,573.15,575.55,573.0,575.3,CLP
2001-01-03,576.3,576.95,573.0,573.55,CLP
2001-01-04,570.2,572.5,570.0,571.25,CLP
2001-01-05,571.15,573.61,571.1,573.6,CLP
2001-01-08,573.55,575.32,573.1,575.0,CLP
2001-01-09,574.66,575.49,573.9,574.5,CLP
2001-01-10,574.21,575.28,573.5,573.95,CLP
2001-01-11,573.86,574.01,572.1,572.95,CLP
2001-01-12,572.8,573.37,571.4,573.33,CLP
2001-01-15,573.7,574.05,572.8,573.05,CLP
2001-01-16,572.95,573.38,572.3,572.7,CLP
2001-01-17,572.2,572.85,571.5,572.05,CLP
2001-01-18,571.95,572.45,571.0,571.95,CLP
2001-01-19,571.8,572.75,570.0,570.35,CLP
2001-01-22,570.25,570.5,566.7,567.25,CLP
2001-01-23,567.2,567.65,565.8,566.65,CLP
2001-01-24,566.48,568.56,566.48,567.46,CLP
2001-01-25,568.1,568.68,566.3,566.76,CLP
2001-01-26,566.5,567.06,565.4,566.55,CLP
2001-01-29,565.8,566.15,564.6,564.95,CLP
2001-01-30,564.3,565.05,561.7,561.95,CLP
2001-01-31,561.2,562.65,560.6,561.35,CLP
2001-02-01,561.1,563.15,561.1,562.55,CLP
2001-02-02,562.4,564.45,562.4,563.85,CLP
2001-02-05,563.5,565.05,563.5,564.55,CLP
2001-02-06,564.2,564.5,561.6,562.15,CLP
2001-02-07,560.35,562.75,560.2,562.35,CLP
2001-02-08,562.25,562.4,559.5,559.95,CLP
2001-02-09,558.5,559.85,558.5,558.95,CLP
2001-02-12,558.9,560.05,556.8,557.05,CLP
2001-02-13,556.95,557.95,555.9,557.05,CLP
2001-02-14,556.9,559.95,556.8,559.65,CLP
2001-02-15,559.5,562.85,559.5,562.75,CLP
2001-02-16,562.65,564.15,562.3,564.05,CLP
2001-02-19,563.9,564.06,562.5,563.16,CLP
2001-02-20,563.0,563.27,561.3,562.38,CLP
2001-02-21,562.25,566.75,562.25,566.75,CLP
2001-02-22,566.55,569.88,566.55,569.33,CLP
2001-02-23,568.85,573.65,568.85,571.45,CLP
2001-02-26,571.35,571.58,567.15,567.42,CLP
2001-02-27,567.15,568.88,565.6,568.67,CLP
2001-02-28,569.1,574.42,569.0,574.22,CLP
2001-03-01,574.14,575.9,571.8,572.55,CLP
2001-03-02,572.45,579.42,572.4,579.08,CLP
2001-03-05,579.25,590.75,579.2,587.95,CLP
2001-03-06,587.8,589.05,586.5,587.45,CLP
2001-03-07,587.35,590.25,586.1,587.35,CLP
2001-03-08,587.2,590.85,585.8,589.85,CLP
2001-03-09,589.7,596.25,589.7,593.05,CLP
2001-03-12,592.9,595.75,592.6,592.75,CLP
2001-03-13,592.75,593.45,586.8,587.25,CLP
2001-03-14,587.1,590.75,585.6,586.65,CLP
2001-03-15,586.5,588.75,583.7,588.25,CLP
2001-03-16,588.1,592.45,587.9,589.55,CLP
2001-03-19,589.4,591.1,587.8,588.35,CLP
2001-03-20,588.2,588.45,584.0,585.25,CLP
2001-03-21,585.1,587.45,585.1,587.35,CLP
2001-03-22,587.2,592.55,587.2,591.95,CLP
2001-03-23,591.8,596.95,591.8,595.25,CLP
2001-03-26,595.1,595.25,588.3,590.45,CLP
2001-03-27,590.3,592.05,589.2,590.95,CLP
2001-03-28,590.8,592.5,590.4,591.35,CLP
2001-03-29,591.2,593.45,591.2,593.05,CLP
2001-03-30,592.9,596.35,592.9,595.55,CLP
2001-04-02,595.4,597.15,594.35,596.95,CLP
2001-04-03,596.8,599.35,596.8,597.65,CLP
2001-04-04,597.5,597.65,596.6,597.45,CLP
2001-04-05,597.3,597.45,594.7,595.45,CLP
2001-04-06,595.3,595.75,594.35,595.65,CLP
2001-04-09,595.5,596.25,594.9,596.25,CLP
2001-04-10,596.1,596.3,594.3,594.55,CLP
2001-04-11,594.4,596.95,593.8,596.65,CLP
2001-04-12,598.2,599.35,597.6,597.75,CLP
2001-04-13,597.6,597.75,597.6,597.75,CLP
2001-04-16,599.4,601.75,599.1,600.55,CLP
2001-04-17,600.4,601.6,600.0,600.15,CLP
2001-04-18,600.0,600.15,596.7,597.35,CLP
2001-04-19,597.2,598.15,595.35,598.15,CLP
2001-04-20,598.0,602.85,598.0,601.2,CLP
2001-04-23,601.0,604.25,601.0,602.7,CLP
2001-04-24,602.5,603.75,601.15,602.7,CLP
2001-04-25,602.6,606.85,602.5,606.15,CLP
2001-04-26,606.05,606.25,601.45,601.85,CLP
2001-04-27,601.6,602.05,598.5,600.65,CLP
2001-04-30,600.45,600.85,597.4,600.85,CLP
2001-05-01,600.7,600.85,600.7,600.85,CLP
2001-05-02,600.7,603.55,600.7,602.35,CLP
2001-05-03,602.2,603.45,601.2,601.85,CLP
2001-05-04,601.7,602.4,600.15,602.05,CLP
2001-05-07,601.9,602.1,599.4,600.55,CLP
2001-05-08,600.4,602.35,600.4,602.15,CLP
2001-05-09,602.0,605.15,602.0,602.45,CLP
2001-05-10,602.5,603.25,601.6,602.65,CLP
2001-05-11,602.5,604.35,602.4,604.2,CLP
2001-05-14,604.1,605.95,604.1,604.45,CLP
2001-05-15,604.3,606.5,604.1,605.95,CLP
