Date,Open,High,Low,Close,Currency
2013-07-18,6.1352,6.1443,6.1352,6.1405,CNH
2013-07-19,6.139,6.1443,6.133,6.1346,CNH
2013-07-22,6.134,6.139,6.132,6.1355,CNH
2013-07-23,6.1348,6.1389,6.1329,6.1344,CNH
2013-07-24,6.1334,6.1367,6.1322,6.1352,CNH
2013-07-25,6.1342,6.1385,6.1333,6.1361,CNH
2013-07-26,6.1355,6.1364,6.1322,6.1357,CNH
2013-07-29,6.134,6.1375,6.132,6.1348,CNH
2013-07-30,6.1333,6.1391,6.1315,6.135,CNH
2013-07-31,6.134,6.1372,6.1308,6.1323,CNH
2013-08-01,6.1309,6.1339,6.1278,6.1338,CNH
2013-08-02,6.1331,6.134,6.1268,6.1295,CNH
2013-08-05,6.128,6.129,6.1192,6.122,CNH
2013-08-06,6.121,6.1241,6.1165,6.1195,CNH
2013-08-07,6.119,6.1217,6.1155,6.1178,CNH
2013-08-08,6.117,6.1191,6.1109,6.1135,CNH
2013-08-09,6.1115,6.1198,6.1113,6.1192,CNH
2013-08-12,6.118,6.122,6.116,6.118,CNH
2013-08-13,6.117,6.1238,6.1159,6.119,CNH
2013-08-14,6.118,6.122,6.1138,6.1162,CNH
2013-08-15,6.1141,6.1162,6.107,6.109,CNH
2013-08-16,6.1075,6.1101,6.105,6.1098,CNH
2013-08-19,6.1095,6.1185,6.1073,6.1167,CNH
2013-08-20,6.1153,6.1222,6.1108,6.1147,CNH
2013-08-21,6.113,6.1208,6.112,6.119,CNH
2013-08-22,6.1175,6.1215,6.1127,6.1155,CNH
2013-08-23,6.1145,6.1184,6.1094,6.1114,CNH
2013-08-26,6.111,6.1163,6.11,6.113,CNH
2013-08-27,6.111,6.1174,6.1105,6.1161,CNH
2013-08-28,6.115,6.1205,6.1124,6.1166,CNH
2013-08-29,6.1151,6.119,6.1143,6.1181,CNH
2013-08-30,6.1169,6.1193,6.1142,6.1165,CNH
2013-09-02,6.1153,6.1182,6.1119,6.1142,CNH
2013-09-03,6.1132,6.1163,6.112,6.115,CNH
2013-09-04,6.1135,6.1181,6.1106,6.1129,CNH
2013-09-05,6.112,6.1162,6.1105,6.1152,CNH
2013-09-06,6.1125,6.1173,6.1102,6.114,CNH
2013-09-09,6.1108,6.1143,6.105,6.1067,CNH
2013-09-10,6.1055,6.1135,6.1049,6.1102,CNH
2013-09-11,6.1095,6.1152,6.1069,6.1087,CNH
2013-09-12,6.1078,6.1116,6.1059,6.1086,CNH
2013-09-13,6.1079,6.1151,6.1069,6.1129,CNH
2013-09-16,6.111,6.1142,6.1059,6.109,CNH
2013-09-17,6.1093,6.1143,6.1074,6.1093,CNH
2013-09-18,6.1082,6.1123,6.1032,6.1057,CNH
2013-09-19,6.1052,6.1112,6.103,6.1103,CNH
2013-09-20,6.1075,6.1117,6.1073,6.111,CNH
2013-09-23,6.109,6.115,6.1048,6.1123,CNH
2013-09-24,6.1109,6.1201,6.1104,6.1181,CNH
2013-09-25,6.1173,6.1204,6.1145,6.1179,CNH
2013-09-26,6.1163,6.12,6.1143,6.1188,CNH
2013-09-27,6.1183,6.1221,6.1146,6.1168,CNH
2013-09-30,6.116,6.1196,6.1147,6.1168,CNH
2013-10-01,6.1153,6.1188,6.1124,6.1145,CNH
2013-10-02,6.1138,6.1167,6.1095,6.1115,CNH
2013-10-03,6.1103,6.113,6.1064,6.1079,CNH
2013-10-04,6.1075,6.1108,6.1044,6.1072,CNH
2013-10-07,6.1064,6.1112,6.1055,6.1098,CNH
2013-10-08,6.1088,6.1138,6.1065,6.1115,CNH
2013-10-09,6.1104,6.1136,6.109,6.1129,CNH
2013-10-10,6.1123,6.1159,6.1027,6.1052,CNH
