Date,Open,High,Low,Close,Currency
2001-01-02,2233.5,2235.0,2210.0,2214.5,COP
2001-01-03,2213.0,2231.5,2211.63,2228.5,COP
2001-01-04,2227.0,2263.75,2226.0,2248.0,COP
2001-01-05,2245.5,2252.5,2236.25,2243.0,COP
2001-01-08,2240.0,2247.5,2240.0,2246.0,COP
2001-01-09,2244.0,2247.0,2224.5,2230.5,COP
2001-01-10,2229.0,2236.25,2221.5,2236.0,COP
2001-01-11,2234.0,2255.0,2233.0,2252.0,COP
2001-01-12,2252.0,2256.5,2248.0,2252.5,COP
2001-01-15,2249.0,2254.0,2245.0,2252.0,COP
2001-01-16,2250.0,2251.75,2237.5,2240.25,COP
2001-01-17,2237.0,2243.0,2228.0,2242.0,COP
2001-01-18,2239.5,2257.5,2228.0,2252.5,COP
2001-01-19,2248.5,2251.75,2226.5,2239.5,COP
2001-01-22,2238.0,2250.5,2234.28,2244.5,COP
2001-01-23,2242.0,2268.0,2239.5,2260.0,COP
2001-01-24,2258.0,2262.0,2248.0,2255.0,COP
2001-01-25,2254.0,2257.25,2239.5,2249.25,COP
2001-01-26,2248.0,2251.0,2239.0,2240.0,COP
2001-01-29,2237.5,2243.0,2234.5,2243.0,COP
2001-01-30,2241.0,2244.5,2236.75,2241.0,COP
2001-01-31,2239.0,2251.75,2236.0,2241.75,COP
2001-02-01,2240.0,2250.0,2234.5,2242.5,COP
2001-02-02,2241.0,2249.25,2236.0,2241.25,COP
2001-02-05,2239.0,2240.5,2233.0,2237.0,COP
2001-02-06,2235.0,2238.75,2229.7,2238.75,COP
2001-02-07,2236.5,2245.75,2234.0,2244.75,COP
2001-02-08,2240.0,2248.5,2234.5,2242.5,COP
2001-02-09,2240.0,2241.0,2232.0,2235.0,COP
2001-02-12,2233.0,2237.25,2224.0,2234.75,COP
2001-02-13,2233.0,2243.0,2232.5,2235.5,COP
2001-02-14,2233.0,2245.5,2231.0,2242.5,COP
2001-02-15,2241.0,2243.0,2235.0,2241.0,COP
2001-02-16,2237.0,2242.0,2236.0,2242.0,COP
2001-02-19,2241.0,2249.0,2241.0,2249.0,COP
2001-02-20,2248.5,2253.0,2244.0,2253.0,COP
2001-02-21,2251.5,2256.25,2248.5,2251.75,COP
2001-02-22,2251.0,2258.5,2247.0,2256.0,COP
2001-02-23,2253.5,2260.5,2253.5,2256.5,COP
2001-02-26,2256.5,2259.0,2252.9,2258.0,COP
2001-02-27,2256.5,2261.5,2254.0,2259.5,COP
2001-02-28,2257.8,2264.3,2256.5,2263.5,COP
2001-03-01,2262.0,2268.0,2259.5,2266.0,COP
2001-03-02,2265.5,2268.75,2255.0,2257.75,COP
2001-03-05,2266.0,2273.0,2254.0,2260.0,COP
2001-03-06,2256.5,2263.5,2256.5,2262.0,COP
2001-03-07,2261.0,2264.5,2259.25,2263.5,COP
2001-03-08,2263.5,2265.5,2259.5,2262.5,COP
2001-03-09,2260.0,2269.5,2259.0,2268.5,COP
2001-03-12,2267.0,2282.25,2264.5,2278.75,COP
2001-03-13,2276.0,2284.0,2274.0,2280.0,COP
2001-03-14,2280.0,2288.0,2275.0,2281.0,COP
2001-03-15,2279.0,2287.5,2277.0,2286.0,COP
