Date,Open,High,Low,Close,Currency
2001-01-02,37.255,37.389,36.894,36.991,CZK
2001-01-03,36.918,38.007,36.805,37.978,CZK
2001-01-04,37.988,38.048,36.853,37.053,CZK
2001-01-05,37.011,37.242,36.62,36.771,CZK
2001-01-08,36.76,37.132,36.66,37.108,CZK
2001-01-09,37.124,37.383,37.024,37.109,CZK
2001-01-10,37.125,37.465,36.957,37.426,CZK
2001-01-11,37.435,37.45,36.904,36.99,CZK
2001-01-12,36.995,37.287,36.737,37.078,CZK
2001-01-15,37.059,37.567,37.051,37.434,CZK
2001-01-16,37.419,37.787,37.34,37.619,CZK
2001-01-17,37.56,38.255,37.393,38.014,CZK
2001-01-18,37.906,37.983,37.217,37.447,CZK
2001-01-19,37.403,37.7505,37.1,37.7085,CZK
2001-01-22,37.696,38.004,37.423,37.482,CZK
2001-01-23,37.525,37.603,37.45,37.485,CZK
2001-01-24,37.487,37.935,37.4,37.916,CZK
2001-01-25,37.872,38.325,37.653,37.684,CZK
2001-01-26,37.71,37.875,37.347,37.681,CZK
2001-01-29,37.654,38.01,37.593,38.002,CZK
2001-01-30,37.962,38.063,37.421,37.486,CZK
2001-01-31,37.472,37.498,37.037,37.076,CZK
2001-02-01,37.037,37.16,36.821,37.106,CZK
2001-02-02,37.121,37.394,36.94,37.148,CZK
2001-02-05,37.192,37.223,36.892,37.12,CZK
2001-02-06,37.136,37.388,36.934,37.28,CZK
2001-02-07,37.245,37.481,37.245,37.312,CZK
2001-02-08,37.297,37.813,37.219,37.64,CZK
2001-02-09,37.662,37.902,37.274,37.397,CZK
2001-02-12,37.223,37.362,37.091,37.11,CZK
2001-02-13,37.107,37.73,37.063,37.579,CZK
2001-02-14,37.468,37.672,37.41,37.572,CZK
2001-02-15,37.557,38.184,37.478,38.08,CZK
2001-02-16,38.04,38.078,37.564,37.834,CZK
2001-02-19,37.835,37.941,37.455,37.571,CZK
2001-02-20,37.576,38.225,37.473,37.928,CZK
2001-02-21,37.908,38.346,37.669,38.198,CZK
2001-02-22,38.192,38.588,38.03,38.372,CZK
2001-02-23,38.399,38.4935,37.597,37.7285,CZK
2001-02-26,37.714,38.132,37.673,37.94,CZK
2001-02-27,37.971,38.048,37.565,37.74,CZK
2001-02-28,37.684,37.806,37.4,37.533,CZK
2001-03-01,37.497,37.581,37.198,37.301,CZK
2001-03-02,37.302,37.44,36.99,37.306,CZK
2001-03-05,37.228,37.618,37.224,37.512,CZK
2001-03-06,37.517,37.72,37.199,37.246,CZK
2001-03-07,37.223,37.601,37.108,37.463,CZK
2001-03-08,37.448,37.565,37.129,37.211,CZK
2001-03-09,37.172,37.292,36.949,37.152,CZK
2001-03-12,37.141,37.443,37.077,37.288,CZK
2001-03-13,37.293,37.867,37.241,37.776,CZK
2001-03-14,37.728,38.045,37.241,37.945,CZK
2001-03-15,37.88,38.492,37.789,38.406,CZK
2001-03-16,38.391,38.835,38.305,38.546,CZK
2001-03-19,38.525,38.766,38.318,38.454,CZK
2001-03-20,38.409,38.4565,38.136,38.2665,CZK
2001-03-21,38.016,38.678,37.949,38.549,CZK
2001-03-22,38.547,38.908,38.48,38.656,CZK
2001-03-23,38.598,38.794,38.308,38.716,CZK
2001-03-26,38.645,38.777,38.054,38.146,CZK
2001-03-27,38.135,38.632,37.96,38.48,CZK
2001-03-28,38.457,38.96,38.382,38.804,CZK
2001-03-29,38.834,39.185,38.584,39.066,CZK
2001-03-30,39.02,39.446,38.977,39.401,CZK
2001-04-02,39.512,39.608,39.07,39.347,CZK
2001-04-03,39.328,39.347,38.575,38.59,CZK
2001-04-04,38.575,38.817,38.278,38.459,CZK
2001-04-05,38.449,38.852,38.12,38.669,CZK
2001-04-06,38.65,38.826,38.179,38.241,CZK
2001-04-09,38.277,38.596,38.175,38.561,CZK
2001-04-10,38.559,39.236,38.428,39.148,CZK
2001-04-11,39.124,39.423,38.85,38.93,CZK
2001-04-12,38.915,39.059,38.476,38.645,CZK
2001-04-13,38.621,38.893,38.569,38.831,CZK
2001-04-16,38.781,39.468,38.711,38.805,CZK
2001-04-17,38.794,39.244,38.657,38.983,CZK
2001-04-18,38.968,39.443,38.566,38.925,CZK
2001-04-19,38.839,39.029,38.372,38.429,CZK
2001-04-20,38.432,38.563,38.075,38.206,CZK
2001-04-23,38.212,38.44,37.934,38.314,CZK
2001-04-24,38.295,38.623,38.113,38.559,CZK
2001-04-25,38.523,38.787,38.421,38.585,CZK
2001-04-26,38.565,38.743,38.274,38.34,CZK
2001-04-27,38.304,38.854,38.192,38.679,CZK
2001-04-30,38.713,39.034,38.669,38.898,CZK
2001-05-01,38.848,39.034,38.618,38.689,CZK
2001-05-02,38.64,39.003,38.592,38.772,CZK
2001-05-03,38.744,39.015,38.58,38.941,CZK
2001-05-04,38.943,38.967,38.424,38.819,CZK
2001-05-07,38.795,38.875,38.656,38.754,CZK
2001-05-08,38.778,39.095,38.734,38.962,CZK
2001-05-09,39.001,39.091,38.808,38.868,CZK
2001-05-10,38.836,39.163,38.556,39.017,CZK
2001-05-11,38.993,39.349,38.949,39.277,CZK
2001-05-14,39.249,39.418,39.162,39.328,CZK
2001-05-15,39.326,39.386,39.08,39.211,CZK
2001-05-16,39.18,39.379,38.72,38.855,CZK
2001-05-17,38.857,39.105,38.534,38.927,CZK
2001-05-18,38.92,39.276,38.903,39.011,CZK
2001-05-21,39.063,39.291,38.957,39.144,CZK
2001-05-22,39.147,39.757,39.005,39.646,CZK
2001-05-23,39.622,40.088,39.475,40.003,CZK
2001-05-24,40.03,40.309,39.747,39.987,CZK
2001-05-25,40.04,40.193,39.708,39.825,CZK
2001-05-28,39.731,40.03,39.731,39.856,CZK
2001-05-29,39.888,40.204,39.786,39.953,CZK
2001-05-30,39.91,40.056,39.707,39.85,CZK
2001-05-31,39.882,40.4515,39.84,40.3225,CZK
2001-06-01,40.321,40.41,40.026,40.132,CZK
2001-06-04,40.065,40.443,39.801,40.265,CZK
2001-06-05,40.272,40.359,39.803,39.837,CZK
2001-06-06,39.813,40.335,39.69,40.173,CZK
2001-06-07,40.186,40.314,39.998,40.074,CZK
2001-06-08,40.002,40.348,39.958,40.104,CZK
2001-06-11,40.1,40.3675,39.871,40.2235,CZK
2001-06-12,40.241,40.29,39.864,40.002,CZK
2001-06-13,39.898,39.913,39.642,39.657,CZK
2001-06-14,39.607,39.963,39.317,39.351,CZK
2001-06-15,39.34,39.508,39.146,39.408,CZK
2001-06-18,39.369,39.614,39.22,39.491,CZK
2001-06-19,39.495,39.8615,39.384,39.7515,CZK
2001-06-20,39.685,40.04,39.665,39.885,CZK
2001-06-21,39.838,40.044,39.597,39.913,CZK
2001-06-22,39.893,40.054,39.525,39.56,CZK
2001-06-25,39.378,39.604,39.241,39.376,CZK
2001-06-26,39.308,39.452,39.116,39.296,CZK
2001-06-27,39.236,39.432,39.097,39.226,CZK
2001-06-28,39.258,40.036,39.256,39.93,CZK
2001-06-29,39.954,40.0455,39.755,39.8845,CZK
2001-07-02,39.879,40.095,39.783,39.857,CZK
2001-07-03,39.837,39.986,39.683,39.8,CZK
2001-07-04,39.795,40.039,39.692,39.859,CZK
2001-07-05,39.863,40.388,39.802,40.297,CZK
2001-07-06,40.306,40.672,40.143,40.314,CZK
2001-07-09,40.24,40.383,39.755,39.951,CZK
2001-07-10,39.946,40.027,39.506,39.645,CZK
2001-07-11,39.616,39.891,39.242,39.501,CZK
2001-07-12,39.541,39.79,39.486,39.633,CZK
2001-07-13,39.599,39.787,39.407,39.57,CZK
2001-07-16,39.57,39.648,39.236,39.648,CZK
2001-07-17,39.636,39.863,39.223,39.288,CZK
2001-07-18,39.287,39.524,38.742,38.793,CZK
2001-07-19,38.751,39.094,38.522,38.942,CZK
2001-07-20,38.882,38.977,38.52,38.927,CZK
2001-07-23,38.939,39.113,38.773,38.89,CZK
2001-07-24,38.87,38.964,38.607,38.777,CZK
2001-07-25,38.779,38.872,38.399,38.517,CZK
2001-07-26,38.446,38.75,38.358,38.59,CZK
2001-07-27,38.601,38.881,38.434,38.593,CZK
2001-07-30,38.627,38.827,38.582,38.73,CZK
2001-07-31,38.728,38.941,38.561,38.784,CZK
2001-08-01,38.761,38.783,38.421,38.532,CZK
