Date,Open,High,Low,Close,Currency
2001-01-02,281.21,283.02,277.61,278.87,HUF
2001-01-03,278.15,285.38,276.45,285.06,HUF
2001-01-04,285.2,285.74,277.89,278.87,HUF
2001-01-05,278.75,279.7,275.6,276.62,HUF
2001-01-08,276.26,279.8,275.76,279.47,HUF
2001-01-09,279.65,282.48,279.31,280.39,HUF
2001-01-10,280.79,283.26,279.85,282.88,HUF
2001-01-11,282.98,283.21,277.09,278.03,HUF
2001-01-12,278.22,279.84,276.46,278.41,HUF
2001-01-15,278.3,281.65,278.1,281.28,HUF
2001-01-16,281.26,282.89,280.46,281.48,HUF
2001-01-17,281.05,285.55,280.26,283.26,HUF
2001-01-18,282.95,283.56,279.45,280.81,HUF
2001-01-19,281.05,284.05,278.7,284.05,HUF
2001-01-22,283.72,285.86,281.51,282.02,HUF
2001-01-23,282.15,282.96,280.14,282.54,HUF
2001-01-24,282.74,287.97,282.52,287.65,HUF
2001-01-25,287.24,291.05,286.07,286.77,HUF
2001-01-26,286.81,288.33,284.42,286.86,HUF
2001-01-29,286.73,289.4,286.13,289.24,HUF
2001-01-30,288.91,289.98,285.57,286.24,HUF
2001-01-31,286.07,286.64,282.76,283.14,HUF
2001-02-01,282.96,283.54,280.64,282.38,HUF
2001-02-02,282.65,284.79,281.41,283.3,HUF
2001-02-05,283.86,284.0,280.88,282.72,HUF
2001-02-06,282.97,286.25,282.24,285.31,HUF
2001-02-07,284.79,286.57,283.55,285.8,HUF
2001-02-08,285.82,290.17,285.01,288.95,HUF
2001-02-09,289.07,290.75,286.05,287.0,HUF
2001-02-12,286.91,287.09,284.19,285.21,HUF
2001-02-13,284.75,289.66,284.1,288.39,HUF
2001-02-14,288.64,289.83,287.86,289.28,HUF
2001-02-15,289.24,294.27,288.57,293.51,HUF
2001-02-16,293.37,293.57,289.34,290.81,HUF
2001-02-19,291.12,291.29,287.53,288.37,HUF
2001-02-20,288.38,293.68,287.34,291.38,HUF
2001-02-21,291.08,293.78,289.49,292.56,HUF
2001-02-22,292.6,295.54,291.45,293.89,HUF
2001-02-23,294.09,294.79,288.73,289.92,HUF
2001-02-26,289.81,293.26,289.38,291.96,HUF
2001-02-27,292.19,293.21,288.83,290.23,HUF
2001-02-28,289.45,290.8,287.35,288.5,HUF
2001-03-01,288.2,288.75,285.44,286.5,HUF
2001-03-02,286.31,286.88,283.79,284.97,HUF
2001-03-05,284.38,287.06,284.16,286.68,HUF
2001-03-06,286.5,287.82,284.5,284.88,HUF
2001-03-07,284.89,287.5,283.95,286.16,HUF
2001-03-08,286.07,287.27,284.87,285.56,HUF
2001-03-09,285.31,286.52,283.92,285.23,HUF
2001-03-12,285.25,287.67,284.76,286.67,HUF
2001-03-13,286.69,291.67,285.83,291.24,HUF
2001-03-14,290.79,293.57,289.0,292.5,HUF
2001-03-15,292.17,297.75,291.66,296.59,HUF
2001-03-16,296.99,299.06,295.75,296.89,HUF
2001-03-19,296.73,298.46,295.31,296.45,HUF
2001-03-20,296.03,296.65,292.67,293.06,HUF
2001-03-21,292.88,298.48,291.79,297.42,HUF
2001-03-22,297.25,301.91,296.82,300.09,HUF
2001-03-23,299.65,301.17,297.07,299.55,HUF
2001-03-26,299.08,300.12,296.89,297.6,HUF
2001-03-27,297.49,300.5,296.43,298.49,HUF
2001-03-28,298.27,301.5,297.79,301.09,HUF
2001-03-29,300.76,303.12,300.01,302.21,HUF
2001-03-30,301.84,304.79,300.64,303.92,HUF
2001-04-02,304.98,305.2,301.68,303.21,HUF
2001-04-03,303.16,303.39,296.31,296.98,HUF
2001-04-04,297.06,300.86,294.55,295.9,HUF
2001-04-05,295.95,298.74,293.38,297.66,HUF
2001-04-06,297.42,299.1,294.67,295.28,HUF
2001-04-09,295.24,297.88,294.81,297.51,HUF
2001-04-10,297.46,300.99,296.43,300.29,HUF
2001-04-11,300.09,303.15,299.13,300.67,HUF
2001-04-12,300.38,302.19,298.18,298.94,HUF
2001-04-13,298.92,300.72,298.48,300.59,HUF
2001-04-16,300.27,302.31,299.6,300.38,HUF
2001-04-17,300.21,304.37,299.3,302.17,HUF
2001-04-18,301.87,306.83,299.88,302.66,HUF
2001-04-19,302.12,303.25,296.96,297.38,HUF
2001-04-20,297.33,298.42,294.99,295.93,HUF
2001-04-23,296.1,298.67,293.63,297.93,HUF
2001-04-24,298.04,299.28,296.02,298.79,HUF
