Date,Open,High,Low,Close,Currency
2016-09-19,13161.0,13176.0,13151.0,13156.0,IDR
2016-09-20,13142.5,13157.5,13137.5,13152.5,IDR
2016-09-21,13131.5,13161.5,13131.5,13135.5,IDR
2016-09-22,13090.0,13110.0,13080.0,13090.0,IDR
2016-09-23,13061.5,13101.5,13051.5,13076.5,IDR
2016-09-26,13075.0,13085.0,13030.0,13030.0,IDR
2016-09-27,13023.0,13050.0,12935.0,12955.0,IDR
2016-09-28,12932.5,12957.5,12917.5,12947.5,IDR
2016-09-29,12940.0,12985.0,12930.0,12975.0,IDR
2016-09-30,12984.0,13054.0,12984.0,13051.0,IDR
2016-10-03,13022.5,13022.5,12967.5,12982.5,IDR
2016-10-04,12981.5,12999.5,12971.5,12981.5,IDR
2016-10-05,13002.5,13013.5,12982.5,12997.5,IDR
2016-10-06,12991.0,12996.0,12981.0,12987.0,IDR
2016-10-07,13002.0,13007.0,12980.0,12985.0,IDR
2016-10-10,12952.5,12982.5,12952.5,12977.5,IDR
2016-10-11,12977.5,13017.5,12977.5,13012.5,IDR
2016-10-12,13001.5,13026.5,13001.5,13018.5,IDR
2016-10-13,13022.5,13077.5,13017.5,13077.5,IDR
2016-10-14,13052.5,13072.5,13032.5,13044.5,IDR
2016-10-17,13036.5,13071.5,13036.5,13068.5,IDR
2016-10-18,13022.0,13054.0,13022.0,13032.0,IDR
2016-10-19,13017.5,13017.5,12997.5,13007.5,IDR
2016-10-20,12982.5,13010.5,12982.5,13007.5,IDR
2016-10-21,13015.0,13045.0,13010.0,13045.0,IDR
2016-10-24,13031.0,13051.0,13006.0,13013.0,IDR
2016-10-25,13019.0,13029.0,13004.0,13006.0,IDR
2016-10-26,12992.5,13009.5,12982.5,13007.5,IDR
2016-10-27,13011.0,13033.0,13011.0,13033.0,IDR
2016-10-28,13027.5,13052.5,13027.5,13050.5,IDR
2016-10-31,13051.0,13053.0,13040.0,13048.0,IDR
2016-11-01,13026.5,13041.5,13026.5,13041.5,IDR
2016-11-02,13041.0,13066.0,13040.0,13056.0,IDR
2016-11-03,13045.0,13075.0,13045.0,13075.0,IDR
2016-11-04,13080.0,13115.0,13065.0,13070.0,IDR
2016-11-07,13072.0,13088.0,13071.0,13088.0,IDR
2016-11-08,13070.0,13091.0,13066.0,13084.0,IDR
2016-11-09,13051.0,13176.0,13050.0,13099.0,IDR
2016-11-10,13112.5,13137.5,13107.5,13137.5,IDR
2016-11-11,13177.5,13492.5,13177.5,13287.5,IDR
2016-11-14,13302.5,13377.5,13302.5,13357.5,IDR
2016-11-15,13332.5,13392.5,13302.5,13362.5,IDR
2016-11-16,13352.5,13382.5,13332.5,13377.5,IDR
2016-11-17,13382.5,13399.5,13367.5,13372.5,IDR
2016-11-18,13377.5,13431.5,13372.5,13427.5,IDR
2016-11-21,13430.0,13450.0,13425.0,13425.0,IDR
2016-11-22,13402.5,13450.5,13402.5,13442.5,IDR
2016-11-23,13447.5,13487.5,13447.5,13482.5,IDR
2016-11-24,13502.5,13559.5,13501.5,13557.5,IDR
2016-11-25,13562.5,13577.5,13492.5,13517.5,IDR
2016-11-28,13480.0,13545.0,13458.0,13530.0,IDR
2016-11-29,13502.5,13576.5,13502.5,13572.5,IDR
2016-11-30,13532.5,13572.5,13515.5,13552.5,IDR
2016-12-01,13575.0,13590.0,13545.0,13545.0,IDR
2016-12-02,13505.0,13535.0,13465.0,13525.0,IDR
2016-12-05,13512.5,13522.5,13402.5,13432.5,IDR
2016-12-06,13387.5,13419.5,13357.5,13382.5,IDR
2016-12-07,13355.0,13360.0,13315.0,13325.0,IDR
2016-12-08,13291.5,13311.5,13271.5,13286.5,IDR
2016-12-09,13322.5,13342.5,13317.5,13327.5,IDR
2016-12-12,13327.5,13327.5,13327.5,13327.5,IDR
2016-12-13,13302.5,13315.5,13297.5,13307.5,IDR
2016-12-14,13284.0,13296.0,13274.0,13296.0,IDR
2016-12-15,13302.5,13397.5,13302.5,13397.5,IDR
2016-12-16,13405.0,13435.0,13365.0,13390.0,IDR
2016-12-19,13384.0,13389.0,13374.0,13384.0,IDR
2016-12-20,13372.5,13427.5,13372.5,13427.5,IDR
2016-12-21,13431.0,13486.0,13431.0,13469.0,IDR
2016-12-22,13452.5,13452.5,13427.5,13452.5,IDR
2016-12-23,13455.0,13479.0,13435.0,13450.0,IDR
2016-12-26,13450.0,13450.0,13450.0,13450.0,IDR
2016-12-27,13432.5,13447.5,13422.5,13447.5,IDR
2016-12-28,13412.5,13462.5,13412.5,13442.5,IDR
2016-12-29,13447.5,13482.5,13447.5,13462.5,IDR
2016-12-30,13447.5,13472.5,13422.5,13472.5,IDR
2017-01-02,13472.5,13472.5,13472.5,13472.5,IDR
2017-01-03,13461.5,13486.5,13461.5,13479.5,IDR
2017-01-04,13470.0,13485.0,13435.0,13440.0,IDR
2017-01-05,13405.0,13405.0,13315.0,13375.0,IDR
2017-01-06,13340.0,13365.0,13334.0,13365.0,IDR
2017-01-09,13390.0,13398.0,13365.0,13365.0,IDR
2017-01-10,13325.0,13335.0,13285.0,13315.0,IDR
2017-01-11,13311.0,13331.0,13301.0,13329.0,IDR
