Date,Open,High,Low,Close,Currency
2001-01-02,4.046,4.0836,4.0455,4.079,ILS
2001-01-03,4.078,4.0965,4.077,4.083,ILS
2001-01-04,4.0825,4.0875,4.057,4.0827,ILS
2001-01-05,4.0827,4.105,4.0765,4.0997,ILS
2001-01-08,4.11,4.134,4.1075,4.121,ILS
2001-01-09,4.122,4.124,4.106,4.1121,ILS
2001-01-10,4.1135,4.121,4.0995,4.119,ILS
2001-01-11,4.1165,4.119,4.105,4.1125,ILS
2001-01-12,4.1095,4.1125,4.0975,4.1125,ILS
2001-01-15,4.106,4.122,4.1025,4.11,ILS
2001-01-16,4.1075,4.1165,4.098,4.1115,ILS
2001-01-17,4.11,4.1175,4.105,4.11,ILS
2001-01-18,4.109,4.1325,4.1,4.1325,ILS
2001-01-19,4.1225,4.136,4.1225,4.128,ILS
2001-01-22,4.1345,4.1497,4.1275,4.144,ILS
2001-01-23,4.147,4.1475,4.1318,4.1383,ILS
2001-01-24,4.1466,4.164,4.143,4.149,ILS
2001-01-25,4.1475,4.1475,4.1285,4.134,ILS
2001-01-26,4.1355,4.143,4.1305,4.136,ILS
2001-01-29,4.146,4.1595,4.134,4.1452,ILS
2001-01-30,4.152,4.159,4.1414,4.148,ILS
2001-01-31,4.149,4.1499,4.1349,4.1455,ILS
2001-02-01,4.14,4.1532,4.139,4.14,ILS
2001-02-02,4.14,4.148,4.1376,4.145,ILS
2001-02-05,4.147,4.1475,4.1235,4.125,ILS
2001-02-06,4.125,4.125,4.1225,4.125,ILS
2001-02-07,4.129,4.147,4.1272,4.1396,ILS
2001-02-08,4.1445,4.1445,4.1275,4.133,ILS
2001-02-09,4.132,4.132,4.113,4.12,ILS
2001-02-12,4.116,4.12,4.108,4.115,ILS
2001-02-13,4.103,4.113,4.0965,4.1,ILS
2001-02-14,4.1015,4.1095,4.0945,4.098,ILS
2001-02-15,4.0955,4.104,4.0897,4.098,ILS
2001-02-16,4.101,4.1132,4.0961,4.108,ILS
2001-02-19,4.114,4.121,4.111,4.118,ILS
2001-02-20,4.1155,4.1253,4.1132,4.122,ILS
2001-02-21,4.123,4.1275,4.121,4.123,ILS
2001-02-22,4.127,4.1432,4.123,4.1432,ILS
2001-02-23,4.136,4.1432,4.123,4.134,ILS
2001-02-26,4.136,4.138,4.1243,4.1243,ILS
2001-02-27,4.132,4.132,4.108,4.115,ILS
2001-02-28,4.116,4.1192,4.1078,4.118,ILS
2001-03-01,4.114,4.1238,4.108,4.1238,ILS
2001-03-02,4.12,4.1238,4.1104,4.1153,ILS
2001-03-05,4.1195,4.1295,4.1128,4.123,ILS
2001-03-06,4.123,4.125,4.1129,4.118,ILS
2001-03-07,4.123,4.1362,4.117,4.1362,ILS
2001-03-08,4.128,4.1362,4.115,4.125,ILS
2001-03-09,4.125,4.125,4.125,4.125,ILS
2001-03-12,4.1275,4.134,4.1178,4.133,ILS
2001-03-13,4.137,4.1404,4.13,4.133,ILS
2001-03-14,4.1295,4.1505,4.1214,4.146,ILS
2001-03-15,4.147,4.1825,4.143,4.171,ILS
2001-03-16,4.174,4.183,4.17,4.183,ILS
2001-03-19,4.1715,4.1805,4.1602,4.175,ILS
2001-03-20,4.173,4.2,4.17,4.1953,ILS
2001-03-21,4.1953,4.215,4.1923,4.205,ILS
2001-03-22,4.205,4.23,4.203,4.23,ILS
2001-03-23,4.227,4.2425,4.202,4.207,ILS
2001-03-26,4.203,4.203,4.166,4.177,ILS
2001-03-27,4.175,4.2025,4.169,4.193,ILS
2001-03-28,4.196,4.225,4.188,4.225,ILS
2001-03-29,4.215,4.2338,4.2045,4.206,ILS
2001-03-30,4.204,4.207,4.1885,4.202,ILS
2001-04-02,4.207,4.2255,4.1995,4.2195,ILS
2001-04-03,4.22,4.237,4.2177,4.233,ILS
2001-04-04,4.231,4.236,4.1999,4.208,ILS
2001-04-05,4.209,4.209,4.176,4.185,ILS
2001-04-06,4.187,4.196,4.1809,4.186,ILS
2001-04-09,4.186,4.195,4.18,4.185,ILS
2001-04-10,4.185,4.185,4.1568,4.1648,ILS
2001-04-11,4.1645,4.1815,4.1565,4.169,ILS
2001-04-12,4.168,4.176,4.1628,4.171,ILS
2001-04-13,4.17,4.172,4.163,4.164,ILS
2001-04-16,4.168,4.184,4.1666,4.182,ILS
2001-04-17,4.185,4.2045,4.183,4.186,ILS
2001-04-18,4.178,4.1785,4.16,4.16,ILS
2001-04-19,4.162,4.174,4.152,4.163,ILS
2001-04-20,4.172,4.172,4.1485,4.156,ILS
2001-04-23,4.1535,4.1625,4.1447,4.155,ILS
2001-04-24,4.1525,4.159,4.1425,4.1523,ILS
2001-04-25,4.1485,4.1612,4.1455,4.157,ILS
2001-04-26,4.1582,4.1582,4.1562,4.1562,ILS
2001-04-27,4.154,4.1585,4.149,4.155,ILS
2001-04-30,4.152,4.154,4.1298,4.1375,ILS
2001-05-01,4.135,4.144,4.1312,4.142,ILS
2001-05-02,4.142,4.1502,4.1366,4.1502,ILS
2001-05-03,4.142,4.1553,4.139,4.1424,ILS
2001-05-04,4.15,4.1563,4.1463,4.151,ILS
2001-05-07,4.15,4.1532,4.1432,4.1532,ILS
2001-05-08,4.148,4.1545,4.144,4.146,ILS
2001-05-09,4.148,4.1539,4.1393,4.1393,ILS
2001-05-10,4.147,4.149,4.1366,4.146,ILS
2001-05-11,4.147,4.152,4.144,4.147,ILS
2001-05-14,4.145,4.154,4.142,4.15,ILS
2001-05-15,4.1465,4.1551,4.1452,4.148,ILS
2001-05-16,4.1465,4.149,4.1388,4.144,ILS
2001-05-17,4.1435,4.148,4.1325,4.1375,ILS
2001-05-18,4.139,4.1475,4.1325,4.143,ILS
2001-05-21,4.145,4.1515,4.138,4.139,ILS
2001-05-22,4.14,4.1463,4.135,4.135,ILS
2001-05-23,4.1335,4.137,4.1229,4.137,ILS
2001-05-24,4.1375,4.1385,4.1213,4.131,ILS
2001-05-25,4.132,4.141,4.126,4.141,ILS
2001-05-28,4.141,4.141,4.141,4.141,ILS
2001-05-29,4.131,4.1326,4.117,4.125,ILS
2001-05-30,4.127,4.1307,4.1203,4.1307,ILS
2001-05-31,4.124,4.1425,4.1164,4.138,ILS
2001-06-01,4.138,4.1495,4.1351,4.144,ILS
2001-06-04,4.1445,4.171,4.1431,4.1685,ILS
