Date,Open,High,Low,Close,Currency
2001-01-02,46.7,46.755,46.66,46.69,INR
2001-01-03,46.71,46.76,46.65,46.7,INR
2001-01-04,46.7,46.821,46.68,46.73,INR
2001-01-05,46.735,46.825,46.655,46.705,INR
2001-01-08,46.705,46.77,46.655,46.675,INR
2001-01-09,46.705,46.745,46.605,46.625,INR
2001-01-10,46.655,46.735,46.625,46.625,INR
2001-01-11,46.665,46.697,46.605,46.625,INR
2001-01-12,46.665,46.665,46.525,46.535,INR
2001-01-15,46.555,46.675,46.525,46.525,INR
2001-01-16,46.56,46.59,46.44,46.51,INR
2001-01-17,46.555,46.575,46.425,46.435,INR
2001-01-18,46.525,46.525,46.385,46.395,INR
2001-01-19,46.475,46.475,46.365,46.375,INR
2001-01-22,46.43,46.46,46.36,46.37,INR
2001-01-23,46.38,46.417,46.33,46.34,INR
2001-01-24,46.38,46.42,46.33,46.36,INR
2001-01-25,46.427,46.545,46.415,46.485,INR
2001-01-26,46.51,46.52,46.45,46.48,INR
2001-01-29,46.505,46.57,46.385,46.465,INR
2001-01-30,46.5,46.54,46.4,46.41,INR
2001-01-31,46.5,46.5,46.38,46.39,INR
2001-02-01,46.415,46.442,46.365,46.375,INR
2001-02-02,46.385,46.455,46.345,46.395,INR
2001-02-05,46.42,46.447,46.345,46.39,INR
2001-02-06,46.41,46.457,46.3,46.37,INR
2001-02-07,46.41,46.475,46.3,46.4,INR
2001-02-08,46.435,46.527,46.355,46.405,INR
2001-02-09,46.4,46.57,46.4,46.45,INR
2001-02-12,46.485,46.56,46.425,46.505,INR
2001-02-13,46.55,46.61,46.41,46.55,INR
2001-02-14,46.575,46.67,46.545,46.585,INR
2001-02-15,46.615,46.717,46.475,46.575,INR
2001-02-16,46.585,46.585,46.435,46.515,INR
2001-02-19,46.51,46.575,46.43,46.55,INR
2001-02-20,46.535,46.67,46.455,46.605,INR
2001-02-21,46.525,46.652,46.525,46.595,INR
2001-02-22,46.67,46.717,46.55,46.57,INR
2001-02-23,46.605,46.705,46.395,46.595,INR
2001-02-26,46.625,46.677,46.56,46.615,INR
2001-02-27,46.635,46.702,46.585,46.625,INR
2001-02-28,46.6,46.7,46.5,46.54,INR
2001-03-01,46.59,46.64,46.49,46.53,INR
2001-03-02,46.6,46.707,46.53,46.54,INR
2001-03-05,46.595,46.62,46.505,46.515,INR
2001-03-06,46.495,46.555,46.245,46.495,INR
2001-03-07,46.525,46.57,46.49,46.51,INR
2001-03-08,46.495,46.62,46.485,46.515,INR
2001-03-09,46.57,46.587,46.34,46.52,INR
2001-03-12,46.57,46.607,46.48,46.54,INR
2001-03-13,46.59,46.71,46.54,46.64,INR
2001-03-14,46.685,46.767,46.625,46.645,INR
2001-03-15,46.69,46.697,46.61,46.62,INR
2001-03-16,46.595,46.735,46.585,46.665,INR
2001-03-19,46.6,46.735,46.6,46.68,INR
2001-03-20,46.735,46.945,46.645,46.695,INR
2001-03-21,46.685,46.935,46.605,46.695,INR
2001-03-22,46.7,46.75,46.64,46.7,INR
2001-03-23,46.73,46.75,46.66,46.66,INR
2001-03-26,46.65,46.705,46.6,46.65,INR
2001-03-27,46.69,46.775,46.58,46.61,INR
2001-03-28,46.71,46.71,46.55,46.6,INR
2001-03-29,46.655,46.715,46.545,46.615,INR
2001-03-30,46.8,46.8,46.64,46.71,INR
2001-04-02,46.66,46.67,46.59,46.61,INR
2001-04-03,46.645,46.7,46.595,46.625,INR
2001-04-04,46.685,46.697,46.595,46.595,INR
2001-04-05,46.655,46.665,46.575,46.595,INR
2001-04-06,46.565,46.635,46.535,46.565,INR
2001-04-09,46.56,46.62,46.52,46.54,INR
2001-04-10,46.595,46.612,46.525,46.555,INR
2001-04-11,46.545,46.76,46.545,46.685,INR
2001-04-12,46.645,46.985,46.545,46.845,INR
2001-04-13,46.84,46.84,46.84,46.84,INR
2001-04-16,46.875,47.075,46.865,47.025,INR
2001-04-17,47.0,47.09,46.64,46.85,INR
2001-04-18,46.845,46.99,46.68,46.845,INR
2001-04-19,46.84,46.905,46.82,46.84,INR
2001-04-20,46.89,46.91,46.82,46.82,INR
2001-04-23,46.83,46.88,46.79,46.82,INR
2001-04-24,46.81,46.9,46.79,46.81,INR
2001-04-25,46.885,46.905,46.805,46.825,INR
2001-04-26,46.88,46.92,46.75,46.84,INR
2001-04-27,46.885,46.912,46.825,46.835,INR
2001-04-30,46.895,46.91,46.82,46.84,INR
2001-05-01,46.885,46.885,46.815,46.845,INR
2001-05-02,46.82,46.925,46.667,46.82,INR
2001-05-03,46.775,46.857,46.755,46.775,INR
2001-05-04,46.78,46.84,46.76,46.77,INR
2001-05-07,46.845,46.86,46.785,46.805,INR
2001-05-08,46.795,46.832,46.745,46.775,INR
2001-05-09,46.805,46.845,46.745,46.775,INR
2001-05-10,46.88,46.885,46.775,46.825,INR
2001-05-11,46.77,46.912,46.77,46.86,INR
2001-05-14,47.13,47.247,47.08,47.19,INR
2001-05-15,46.98,47.095,46.94,47.0,INR
2001-05-16,47.01,47.03,46.87,46.92,INR
2001-05-17,46.98,47.007,46.9,46.94,INR
2001-05-18,46.96,46.992,46.91,46.93,INR
2001-05-21,47.01,47.022,46.92,46.96,INR
2001-05-22,47.01,47.1,46.96,47.01,INR
2001-05-23,47.02,47.147,46.95,46.97,INR
2001-05-24,46.96,47.037,46.9,46.97,INR
2001-05-25,47.0,47.025,46.95,46.97,INR
2001-05-28,46.997,47.02,46.935,46.975,INR
2001-05-29,46.99,47.05,46.95,46.97,INR
2001-05-30,47.01,47.022,46.95,46.95,INR
2001-05-31,46.96,47.062,46.95,47.0,INR
2001-06-01,46.99,47.13,46.95,47.0,INR
2001-06-04,47.04,47.1,46.95,47.01,INR
2001-06-05,47.05,47.06,46.9,47.01,INR
2001-06-06,46.9,47.05,46.9,46.98,INR
2001-06-07,46.9,47.05,46.85,46.97,INR
2001-06-08,46.95,47.025,46.85,46.95,INR
2001-06-11,47.01,47.045,46.85,46.98,INR
2001-06-12,46.97,47.082,46.85,47.03,INR
2001-06-13,47.06,47.1,46.85,47.04,INR
2001-06-14,47.02,47.08,46.82,46.98,INR
2001-06-15,47.06,47.077,47.0,47.0,INR
2001-06-18,47.03,47.052,46.95,46.97,INR
2001-06-19,47.02,47.027,46.95,46.97,INR
2001-06-20,47.0,47.012,46.95,46.96,INR
2001-06-21,47.01,47.055,46.97,46.99,INR
2001-06-22,47.03,47.067,46.97,46.99,INR
2001-06-25,47.0,47.075,46.95,47.01,INR
2001-06-26,47.05,47.095,46.95,47.02,INR
2001-06-27,47.065,47.07,46.965,46.975,INR
2001-06-28,47.04,47.12,47.0,47.01,INR
2001-06-29,47.05,47.11,47.04,47.04,INR
2001-07-02,47.04,47.21,47.03,47.13,INR
2001-07-03,47.13,47.25,47.04,47.12,INR
2001-07-04,47.04,47.225,47.04,47.11,INR
2001-07-05,47.15,47.21,47.1,47.13,INR
2001-07-06,47.17,47.215,47.12,47.12,INR
2001-07-09,47.17,47.207,47.13,47.14,INR
2001-07-10,47.18,47.22,47.12,47.14,INR
2001-07-11,47.19,47.21,47.13,47.15,INR
2001-07-12,47.19,47.235,47.14,47.15,INR
2001-07-13,47.19,47.21,47.13,47.16,INR
2001-07-16,47.16,47.215,47.13,47.15,INR
2001-07-17,47.2,47.2,47.11,47.11,INR
2001-07-18,47.11,47.212,47.11,47.14,INR
2001-07-19,47.15,47.22,47.1,47.11,INR
2001-07-20,47.15,47.175,47.1,47.12,INR
2001-07-23,47.11,47.185,47.1,47.12,INR
2001-07-24,47.15,47.185,47.1,47.12,INR
2001-07-25,47.14,47.197,47.1,47.14,INR
2001-07-26,47.125,47.182,47.075,47.085,INR
2001-07-27,47.15,47.22,47.14,47.14,INR
2001-07-30,47.15,47.197,47.11,47.14,INR
2001-07-31,47.16,47.62,47.12,47.13,INR
2001-08-01,47.15,47.2,47.11,47.11,INR
2001-08-02,47.13,47.215,47.08,47.1,INR
2001-08-03,47.12,47.172,47.08,47.12,INR
2001-08-06,47.14,47.172,47.1,47.11,INR
2001-08-07,47.1,47.167,47.09,47.12,INR
2001-08-08,47.14,47.212,47.1,47.14,INR
2001-08-09,47.17,47.2,47.06,47.13,INR
2001-08-10,47.19,47.19,47.1,47.12,INR
2001-08-13,47.14,47.175,47.12,47.12,INR
2001-08-14,47.165,47.172,47.1,47.11,INR
2001-08-15,47.13,47.16,47.1,47.11,INR
2001-08-16,47.17,47.17,47.1,47.11,INR
2001-08-17,47.14,47.18,47.1,47.12,INR
2001-08-20,47.145,47.175,47.095,47.105,INR
2001-08-21,47.16,47.175,47.11,47.13,INR
2001-08-22,47.16,47.172,47.1,47.13,INR
2001-08-23,47.11,47.172,47.1,47.12,INR
2001-08-24,47.16,47.175,47.1,47.12,INR
2001-08-27,47.16,47.19,47.1,47.14,INR
2001-08-28,47.187,47.202,47.1,47.14,INR
2001-08-29,47.14,47.185,47.1,47.11,INR
2001-08-30,47.13,47.192,47.11,47.13,INR
2001-08-31,47.15,47.25,47.1,47.12,INR
2001-09-03,47.145,47.19,47.145,47.15,INR
2001-09-04,47.15,47.22,47.12,47.15,INR
2001-09-05,47.18,47.217,47.12,47.15,INR
2001-09-06,47.16,47.227,47.13,47.17,INR
2001-09-07,47.18,47.315,47.13,47.22,INR
2001-09-10,47.26,47.402,47.13,47.33,INR
2001-09-11,47.37,47.527,47.34,47.41,INR
2001-09-12,47.34,47.5,47.34,47.44,INR
2001-09-13,47.5,47.615,47.45,47.54,INR
2001-09-14,47.55,47.88,47.55,47.8,INR
2001-09-17,47.825,47.875,47.775,47.845,INR
2001-09-18,47.8,48.07,47.8,47.97,INR
2001-09-19,47.9,48.1,47.89,48.01,INR
2001-09-20,48.0,48.135,47.85,47.98,INR
2001-09-21,48.05,48.1,47.95,48.03,INR
2001-09-24,48.0,48.02,47.86,47.91,INR
2001-09-25,47.91,47.972,47.86,47.86,INR
2001-09-26,47.86,47.925,47.85,47.86,INR
2001-09-27,47.88,47.96,47.85,47.86,INR
2001-09-28,47.905,47.92,47.85,47.85,INR
2001-10-01,47.91,48.032,47.87,47.98,INR
2001-10-02,47.99,48.03,47.97,47.98,INR
2001-10-03,48.03,48.03,47.91,47.91,INR
2001-10-04,48.0,48.045,47.85,47.99,INR
2001-10-05,48.0,48.072,47.98,48.0,INR
2001-10-08,48.0,48.26,48.0,48.13,INR
2001-10-09,48.14,48.222,48.12,48.12,INR
2001-10-10,48.15,48.165,48.04,48.04,INR
