Date,Open,High,Low,Close,Currency
2001-01-02,9.64,9.806,9.615,9.806,MXN
2001-01-03,9.817,9.863,9.644,9.655,MXN
2001-01-04,9.6525,9.7435,9.5725,9.7405,MXN
2001-01-05,9.7525,9.8025,9.7075,9.7575,MXN
2001-01-08,9.765,9.7675,9.67,9.721,MXN
2001-01-09,9.7225,9.8015,9.6935,9.7765,MXN
2001-01-10,9.77,9.855,9.77,9.808,MXN
2001-01-11,9.818,9.911,9.809,9.875,MXN
2001-01-12,9.878,9.941,9.841,9.92,MXN
2001-01-15,9.8835,9.9335,9.8565,9.9125,MXN
2001-01-16,9.908,10.003,9.903,9.953,MXN
2001-01-17,9.954,9.962,9.857,9.863,MXN
2001-01-18,9.883,9.9125,9.793,9.823,MXN
2001-01-19,9.8185,9.8195,9.7655,9.7975,MXN
2001-01-22,9.79,9.828,9.736,9.786,MXN
2001-01-23,9.798,9.803,9.729,9.729,MXN
2001-01-24,9.737,9.746,9.648,9.681,MXN
2001-01-25,9.677,9.741,9.663,9.695,MXN
2001-01-26,9.692,9.733,9.6655,9.682,MXN
2001-01-29,9.663,9.695,9.618,9.62,MXN
2001-01-30,9.621,9.7,9.618,9.678,MXN
2001-01-31,9.6705,9.7055,9.6555,9.6595,MXN
2001-02-01,9.663,9.796,9.663,9.784,MXN
2001-02-02,9.782,9.799,9.737,9.778,MXN
2001-02-05,9.7705,9.7875,9.7405,9.7475,MXN
2001-02-06,9.751,9.7585,9.659,9.694,MXN
2001-02-07,9.703,9.718,9.654,9.684,MXN
2001-02-08,9.6895,9.6995,9.6245,9.6785,MXN
2001-02-09,9.6785,9.7925,9.6675,9.7425,MXN
2001-02-12,9.741,9.769,9.681,9.704,MXN
2001-02-13,9.709,9.74,9.663,9.712,MXN
2001-02-14,9.708,9.735,9.695,9.712,MXN
2001-02-15,9.7245,9.7275,9.6605,9.6905,MXN
2001-02-16,9.6925,9.7445,9.6895,9.6975,MXN
2001-02-19,9.6945,9.7245,9.6895,9.6895,MXN
2001-02-20,9.6935,9.716,9.6655,9.6935,MXN
2001-02-21,9.693,9.75,9.682,9.737,MXN
2001-02-22,9.751,9.774,9.696,9.699,MXN
2001-02-23,9.706,9.741,9.661,9.668,MXN
2001-02-26,9.676,9.6905,9.6385,9.6595,MXN
2001-02-27,9.6645,9.6955,9.6515,9.6815,MXN
2001-02-28,9.687,9.712,9.678,9.681,MXN
2001-03-01,9.6825,9.7265,9.6685,9.6715,MXN
2001-03-02,9.67,9.691,9.643,9.653,MXN
2001-03-05,9.635,9.635,9.63,9.63,MXN
2001-03-06,9.635,9.67,9.597,9.665,MXN
2001-03-07,9.654,9.667,9.626,9.637,MXN
2001-03-08,9.6425,9.6625,9.6365,9.6505,MXN
2001-03-09,9.652,9.689,9.632,9.649,MXN
2001-03-12,9.652,9.675,9.64,9.667,MXN
2001-03-13,9.667,9.683,9.566,9.582,MXN
2001-03-14,9.58,9.638,9.549,9.579,MXN
2001-03-15,9.5865,9.6155,9.5605,9.6065,MXN
2001-03-16,9.604,9.653,9.558,9.569,MXN
2001-03-19,9.585,9.585,9.523,9.534,MXN
2001-03-20,9.5415,9.5785,9.4955,9.5265,MXN
2001-03-21,9.522,9.536,9.508,9.524,MXN
2001-03-22,9.5265,9.6415,9.5265,9.6125,MXN
2001-03-23,9.625,9.675,9.549,9.568,MXN
2001-03-26,9.556,9.609,9.498,9.524,MXN
2001-03-27,9.524,9.564,9.499,9.534,MXN
2001-03-28,9.533,9.56,9.515,9.534,MXN
2001-03-29,9.531,9.548,9.508,9.528,MXN
2001-03-30,9.535,9.535,9.45,9.457,MXN
2001-04-02,9.461,9.475,9.406,9.417,MXN
2001-04-03,9.42,9.44,9.385,9.417,MXN
2001-04-04,9.402,9.447,9.402,9.42,MXN
2001-04-05,9.4345,9.4435,9.3785,9.4225,MXN
2001-04-06,9.423,9.435,9.388,9.39,MXN
2001-04-09,9.3875,9.4075,9.3425,9.3555,MXN
