Date,Open,High,Low,Close,Currency
2001-01-02,3.8003,3.8003,3.8,3.8,MYR
2001-01-03,3.8,3.8004,3.8,3.8,MYR
2001-01-04,3.8,3.8,3.8,3.8,MYR
2001-01-05,3.8,3.8,3.8,3.8,MYR
2001-01-08,3.8003,3.8003,3.8,3.8,MYR
2001-01-09,3.8002,3.8002,3.8,3.8,MYR
2001-01-10,3.8003,3.8003,3.8,3.8,MYR
2001-01-11,3.8,3.8,3.8,3.8,MYR
2001-01-12,3.8002,3.8003,3.8,3.8,MYR
2001-01-15,3.8,3.8002,3.8,3.8,MYR
2001-01-16,3.8,3.8,3.7997,3.8,MYR
2001-01-17,3.8,3.8004,3.762,3.8,MYR
2001-01-18,3.8003,3.8003,3.8,3.8,MYR
2001-01-19,3.8,3.8,3.8,3.8,MYR
2001-01-22,3.8,3.8,3.8,3.8,MYR
2001-01-23,3.8,3.8,3.8,3.8,MYR
2001-01-24,3.8,3.8,3.8,3.8,MYR
2001-01-25,3.8,3.8,3.8,3.8,MYR
2001-01-26,3.8,3.8,3.8,3.8,MYR
2001-01-29,3.8005,3.8005,3.7798,3.8,MYR
2001-01-30,3.8,3.8,3.8,3.8,MYR
2001-01-31,3.8002,3.8002,3.8,3.8,MYR
2001-02-01,3.8,3.8,3.8,3.8,MYR
2001-02-02,3.7997,3.8001,3.7997,3.8001,MYR
2001-02-05,3.8,3.8004,3.8,3.8,MYR
2001-02-06,3.8001,3.8001,3.7996,3.8,MYR
2001-02-07,3.8003,3.8005,3.8,3.8,MYR
2001-02-08,3.8004,3.8005,3.8,3.8,MYR
2001-02-09,3.8,3.8,3.7995,3.8,MYR
2001-02-12,3.7995,3.8,3.7995,3.8,MYR
2001-02-13,3.8,3.8004,3.8,3.8,MYR
2001-02-14,3.8005,3.8005,3.8,3.8,MYR
2001-02-15,3.8004,3.8004,3.7999,3.8,MYR
2001-02-16,3.8,3.8,3.7995,3.8,MYR
2001-02-19,3.8,3.8001,3.8,3.8,MYR
2001-02-20,3.8003,3.8003,3.8,3.8,MYR
2001-02-21,3.8,3.8,3.8,3.8,MYR
2001-02-22,3.8,3.8,3.7996,3.8,MYR
2001-02-23,3.8005,3.8005,3.8,3.8,MYR
2001-02-26,3.8,3.8,3.8,3.8,MYR
2001-02-27,3.8002,3.8002,3.8,3.8,MYR
2001-02-28,3.8004,3.8005,3.7999,3.8,MYR
2001-03-01,3.8004,3.8005,3.8,3.8,MYR
2001-03-02,3.8,3.8,3.7995,3.8,MYR
2001-03-05,3.8004,3.8005,3.8,3.8,MYR
2001-03-06,3.762,3.8,3.762,3.8,MYR
2001-03-07,3.8,3.8001,3.7996,3.8,MYR
2001-03-08,3.8,3.8005,3.8,3.8,MYR
2001-03-09,3.8,3.8001,3.7996,3.8,MYR
2001-03-12,3.8005,3.8005,3.8,3.8,MYR
2001-03-13,3.7999,3.8,3.7995,3.8,MYR
2001-03-14,3.8,3.8001,3.7996,3.8,MYR
2001-03-15,3.8,3.8003,3.8,3.8,MYR
2001-03-16,3.8001,3.8001,3.7996,3.8,MYR
2001-03-19,3.8004,3.8005,3.8,3.8,MYR
2001-03-20,3.8,3.8001,3.7996,3.8,MYR
2001-03-21,3.8004,3.8005,3.8,3.8,MYR
2001-03-22,3.8,3.8001,3.7996,3.8,MYR
2001-03-23,3.8001,3.8002,3.7997,3.8,MYR
2001-03-26,3.7999,3.7999,3.7999,3.7999,MYR
2001-03-27,3.8005,3.8005,3.8,3.8,MYR
2001-03-28,3.8001,3.8004,3.8,3.8,MYR
2001-03-29,3.8004,3.8004,3.8,3.8,MYR
2001-03-30,3.7999,3.7999,3.7999,3.7999,MYR
2001-04-02,3.7995,3.8,3.7995,3.8,MYR
2001-04-03,3.8004,3.8005,3.8,3.8,MYR
2001-04-04,3.8005,3.8005,3.8,3.8,MYR
2001-04-05,3.8,3.8,3.8,3.8,MYR
2001-04-06,3.7998,3.7999,3.7995,3.7999,MYR
2001-04-09,3.8005,3.8005,3.8,3.8,MYR
2001-04-10,3.7996,3.8,3.7996,3.8,MYR
2001-04-11,3.8,3.8,3.7995,3.7999,MYR
2001-04-12,3.8,3.8005,3.8,3.8,MYR
2001-04-13,3.8004,3.8005,3.8,3.8,MYR
2001-04-16,3.8005,3.8005,3.8,3.8,MYR
2001-04-17,3.8,3.8001,3.7996,3.8,MYR
2001-04-18,3.7996,3.8001,3.7996,3.8,MYR
2001-04-19,3.7995,3.7999,3.7995,3.7999,MYR
2001-04-20,3.8005,3.8005,3.8,3.8,MYR
2001-04-23,3.8003,3.8005,3.8,3.8,MYR
2001-04-24,3.8005,3.8005,3.8,3.8,MYR
2001-04-25,3.8001,3.8001,3.8,3.8,MYR
2001-04-26,3.8004,3.8005,3.8,3.8,MYR
2001-04-27,3.8,3.8005,3.8,3.8,MYR
2001-04-30,3.7995,3.8,3.7995,3.8,MYR
2001-05-01,3.8,3.8,3.8,3.8,MYR
2001-05-02,3.8,3.8,3.8,3.8,MYR
2001-05-03,3.8,3.8,3.8,3.8,MYR
2001-05-04,3.8,3.8,3.8,3.8,MYR
2001-05-07,3.8,3.8,3.8,3.8,MYR
2001-05-08,3.7999,3.8,3.7995,3.7999,MYR
2001-05-09,3.8,3.8,3.7995,3.8,MYR
2001-05-10,3.8004,3.8005,3.8,3.8,MYR
2001-05-11,3.8001,3.8002,3.7996,3.8,MYR
2001-05-14,3.8004,3.8005,3.8,3.8,MYR
2001-05-15,3.7999,3.8,3.7995,3.8,MYR
2001-05-16,3.8,3.8,3.7998,3.8,MYR
2001-05-17,3.8,3.8005,3.8,3.8,MYR
2001-05-18,3.7995,3.8,3.7995,3.8,MYR
2001-05-21,3.7997,3.8002,3.7997,3.8,MYR
2001-05-22,3.8004,3.8005,3.8,3.8,MYR
2001-05-23,3.8004,3.8005,3.8,3.8,MYR
2001-05-24,3.8004,3.8005,3.8,3.8,MYR
2001-05-25,3.8004,3.8005,3.7999,3.8,MYR
2001-05-28,3.8004,3.8005,3.8,3.8,MYR
