Date,Open,High,Low,Close,Currency
2001-01-02,8.77,8.8485,8.7062,8.7357,NOK
2001-01-03,8.7277,8.9416,8.6835,8.9255,NOK
2001-01-04,8.9309,8.9573,8.6855,8.7195,NOK
2001-01-05,8.7151,8.7535,8.6342,8.6493,NOK
2001-01-08,8.6578,8.7572,8.6375,8.7417,NOK
2001-01-09,8.7563,8.8099,8.7166,8.7231,NOK
2001-01-10,8.7543,8.7722,8.6776,8.7419,NOK
2001-01-11,8.7453,8.7603,8.5635,8.5917,NOK
2001-01-12,8.5945,8.6761,8.5439,8.6379,NOK
2001-01-15,8.6304,8.7385,8.6213,8.7215,NOK
2001-01-16,8.7203,8.7706,8.6994,8.7217,NOK
2001-01-17,8.7125,8.8307,8.6913,8.7615,NOK
2001-01-18,8.7617,8.7861,8.6785,8.7061,NOK
2001-01-19,8.7187,8.8005,8.6425,8.7973,NOK
2001-01-22,8.7867,8.8539,8.7441,8.7689,NOK
2001-01-23,8.7607,8.8264,8.7055,8.8187,NOK
2001-01-24,8.8205,8.9415,8.7997,8.9149,NOK
2001-01-25,8.9091,9.0223,8.8729,8.8801,NOK
2001-01-26,8.8885,8.9228,8.8125,8.8823,NOK
2001-01-29,8.8795,8.9471,8.8626,8.936,NOK
2001-01-30,8.9323,8.9551,8.823,8.8371,NOK
2001-01-31,8.8367,8.8599,8.7736,8.7813,NOK
2001-02-01,8.7565,8.78,8.7007,8.7431,NOK
2001-02-02,8.7463,8.7959,8.7063,8.7525,NOK
2001-02-05,8.7593,8.7687,8.6815,8.7235,NOK
2001-02-06,8.7303,8.8067,8.7146,8.7897,NOK
2001-02-07,8.7853,8.8231,8.7406,8.8041,NOK
2001-02-08,8.8049,8.9215,8.7837,8.8766,NOK
2001-02-09,8.893,8.9385,8.8327,8.8725,NOK
2001-02-12,8.8633,8.8699,8.8015,8.8183,NOK
2001-02-13,8.8126,8.9512,8.7904,8.9153,NOK
2001-02-14,8.927,8.9725,8.8919,8.9493,NOK
2001-02-15,8.9535,9.0815,8.9265,9.0474,NOK
2001-02-16,9.0465,9.0541,8.9209,8.9716,NOK
2001-02-19,8.9695,8.9936,8.8808,8.9078,NOK
2001-02-20,8.9251,9.0917,8.8885,9.0021,NOK
2001-02-21,9.0023,9.1135,8.9732,9.0491,NOK
2001-02-22,9.0517,9.1504,9.0019,9.1021,NOK
2001-02-23,9.1057,9.1355,8.933,8.9683,NOK
2001-02-26,8.9579,9.0667,8.9575,9.0069,NOK
2001-02-27,9.0197,9.0387,8.9315,8.9743,NOK
2001-02-28,8.9655,8.9861,8.8991,8.9101,NOK
2001-03-01,8.9072,8.9229,8.811,8.8545,NOK
2001-03-02,8.8288,8.8659,8.759,8.8072,NOK
2001-03-05,8.7907,8.8709,8.7783,8.8487,NOK
2001-03-06,8.8563,8.8935,8.7752,8.7827,NOK
2001-03-07,8.7825,8.8783,8.7528,8.8435,NOK
2001-03-08,8.8497,8.8633,8.7812,8.7907,NOK
2001-03-09,8.7992,8.8235,8.7465,8.7925,NOK
2001-03-12,8.7917,8.8868,8.781,8.8404,NOK
2001-03-13,8.8521,9.0023,8.8235,8.9835,NOK
2001-03-14,8.9743,9.0209,8.9247,8.9875,NOK
2001-03-15,8.9791,9.1415,8.9583,9.1144,NOK
2001-03-16,9.1337,9.1591,9.0747,9.0891,NOK
2001-03-19,9.0902,9.1194,9.0085,9.031,NOK
2001-03-20,9.0239,9.0338,8.9405,8.9451,NOK
2001-03-21,8.9469,9.0951,8.9083,9.0657,NOK
2001-03-22,9.0659,9.1671,9.0558,9.1111,NOK
2001-03-23,9.1055,9.1433,9.0152,9.0925,NOK
2001-03-26,9.0843,9.1083,9.0254,9.0373,NOK
2001-03-27,9.0409,9.1193,9.008,9.0481,NOK
2001-03-28,9.0453,9.1443,9.0365,9.1433,NOK
2001-03-29,9.1381,9.1697,9.0627,9.0837,NOK
2001-03-30,9.0809,9.1919,9.0765,9.1753,NOK
2001-04-02,9.2047,9.2066,9.1365,9.176,NOK
2001-04-03,9.1798,9.1822,9.0537,9.0537,NOK
2001-04-04,9.0559,9.1265,9.0398,9.0733,NOK
2001-04-05,9.0763,9.0958,9.0034,9.0599,NOK
2001-04-06,9.0593,9.106,8.9769,8.9983,NOK
2001-04-09,9.0155,9.084,8.9874,9.0689,NOK
2001-04-10,9.0759,9.1184,9.0365,9.0855,NOK
2001-04-11,9.0867,9.181,9.0475,9.0943,NOK
2001-04-12,9.0899,9.1437,9.0465,9.0739,NOK
2001-04-13,9.0698,9.1249,9.0618,9.1118,NOK
2001-04-16,9.1107,9.1793,9.0879,9.1131,NOK
2001-04-17,9.1203,9.191,9.0821,9.1117,NOK
2001-04-18,9.1133,9.2164,9.0863,9.095,NOK
2001-04-19,9.1197,9.1425,9.0139,9.0151,NOK
2001-04-20,9.0056,9.0665,8.9881,9.0153,NOK
2001-04-23,9.0256,9.0772,8.9752,9.0665,NOK
2001-04-24,9.0739,9.1217,9.0177,9.1072,NOK
2001-04-25,9.1021,9.1465,9.0645,9.1091,NOK
2001-04-26,9.1061,9.1203,9.018,9.0373,NOK
2001-04-27,9.0273,9.1313,9.0118,9.0897,NOK
2001-04-30,9.0889,9.1357,9.0725,9.0986,NOK
2001-05-01,9.0863,9.1265,9.0419,9.0515,NOK
2001-05-02,9.0434,9.1145,9.0349,9.0485,NOK
2001-05-03,9.045,9.1042,9.0165,9.0849,NOK
2001-05-04,9.083,9.0919,8.9865,9.0479,NOK
2001-05-07,9.0475,9.0791,9.0265,9.0667,NOK
2001-05-08,9.0646,9.1217,9.0531,9.0764,NOK
2001-05-09,9.0909,9.1305,9.0801,9.0957,NOK
2001-05-10,9.0917,9.1549,9.0536,9.1377,NOK
2001-05-11,9.1311,9.184,9.1165,9.1717,NOK
2001-05-14,9.1657,9.182,9.1215,9.1599,NOK
2001-05-15,9.1586,9.1699,9.1177,9.1259,NOK
2001-05-16,9.1351,9.16,9.0445,9.0706,NOK
2001-05-17,9.0635,9.0965,9.0349,9.0691,NOK
2001-05-18,9.0729,9.1094,9.0299,9.0473,NOK
2001-05-21,9.05,9.0915,9.0175,9.0699,NOK
2001-05-22,9.0685,9.197,9.0414,9.1609,NOK
2001-05-23,9.1669,9.2893,9.1525,9.2781,NOK
2001-05-24,9.2903,9.3453,9.1885,9.2355,NOK
2001-05-25,9.2323,9.253,9.1628,9.1719,NOK
2001-05-28,9.1877,9.2257,9.166,9.1955,NOK
2001-05-29,9.1946,9.2697,9.1843,9.2475,NOK
2001-05-30,9.245,9.2631,9.2068,9.2361,NOK
2001-05-31,9.2505,9.4103,9.2403,9.3876,NOK
2001-06-01,9.3967,9.4737,9.3439,9.4635,NOK
2001-06-04,9.4477,9.4625,9.3455,9.4307,NOK
2001-06-05,9.433,9.4637,9.3065,9.3175,NOK
2001-06-06,9.311,9.403,9.2983,9.3709,NOK
2001-06-07,9.3837,9.4175,9.3235,9.358,NOK
2001-06-08,9.3571,9.3973,9.3296,9.3487,NOK
2001-06-11,9.3619,9.4417,9.3203,9.4259,NOK
2001-06-12,9.4239,9.4405,9.3644,9.3771,NOK
2001-06-13,9.3789,9.4071,9.3131,9.3207,NOK
2001-06-14,9.3058,9.3759,9.2479,9.2596,NOK
2001-06-15,9.2542,9.2955,9.2075,9.2547,NOK
2001-06-18,9.224,9.2581,9.1697,9.1801,NOK
2001-06-19,9.1817,9.256,9.1428,9.1503,NOK
2001-06-20,9.1483,9.2749,9.1483,9.2159,NOK
2001-06-21,9.2073,9.2565,9.191,9.2123,NOK
2001-06-22,9.2132,9.2459,9.1861,9.194,NOK
2001-06-25,9.2005,9.2457,9.1755,9.2301,NOK
2001-06-26,9.229,9.2359,9.1391,9.1425,NOK
2001-06-27,9.151,9.2101,9.1446,9.2048,NOK
2001-06-28,9.215,9.3275,9.1861,9.3038,NOK
2001-06-29,9.3023,9.3445,9.2865,9.32,NOK
2001-07-02,9.3253,9.4213,9.3077,9.4037,NOK
2001-07-03,9.4065,9.4255,9.3378,9.345,NOK
