Date,Open,High,Low,Close,Currency
2001-01-02,49.9,51.75,49.9,50.95,PHP
2001-01-03,50.8,51.35,50.3,50.95,PHP
2001-01-04,50.75,51.17,50.65,51.0,PHP
2001-01-05,50.85,51.35,50.8,51.05,PHP
2001-01-08,50.95,51.125,50.65,50.975,PHP
2001-01-09,50.85,51.08,50.6,50.95,PHP
2001-01-10,50.85,51.275,50.6,51.125,PHP
2001-01-11,50.8,51.53,50.8,51.3,PHP
2001-01-12,51.2,51.69,50.85,51.6,PHP
2001-01-15,51.5,52.55,50.8,52.45,PHP
2001-01-16,52.3,53.35,52.0,53.2,PHP
2001-01-17,52.65,55.54,52.4,54.35,PHP
2001-01-18,54.1,55.464,54.1,54.75,PHP
2001-01-19,55.1,57.25,45.82,49.0,PHP
2001-01-22,47.0,50.35,45.5,49.25,PHP
2001-01-23,48.0,50.45,48.0,49.15,PHP
2001-01-24,49.0,49.55,47.73,48.35,PHP
2001-01-25,48.0,49.45,48.0,49.2,PHP
2001-01-26,48.75,50.1,48.05,49.75,PHP
2001-01-29,49.65,50.275,49.0,49.525,PHP
2001-01-30,49.4,50.1,49.0,49.55,PHP
2001-01-31,49.45,49.675,48.56,48.925,PHP
2001-02-01,48.9,50.05,48.41,49.15,PHP
2001-02-02,49.0,49.9,48.6,49.0,PHP
2001-02-05,49.1,49.425,48.8,49.1,PHP
2001-02-06,49.15,49.4,48.21,48.65,PHP
2001-02-07,48.6,49.2,48.06,48.55,PHP
2001-02-08,48.6,48.75,47.5,48.2,PHP
2001-02-09,48.1,48.575,47.7,48.375,PHP
2001-02-12,48.1,48.52,47.32,47.8,PHP
2001-02-13,47.7,48.3,47.41,47.65,PHP
2001-02-14,47.3,48.08,47.3,48.0,PHP
2001-02-15,47.6,48.35,47.1,47.55,PHP
2001-02-16,47.34,47.76,47.1,47.55,PHP
2001-02-19,47.4,48.4,47.37,47.9,PHP
2001-02-20,47.8,48.22,47.26,47.65,PHP
2001-02-21,47.8,48.3,47.45,48.15,PHP
2001-02-22,48.0,48.93,47.59,48.3,PHP
2001-02-23,48.35,48.65,47.96,48.15,PHP
2001-02-26,48.1,48.75,47.95,48.25,PHP
2001-02-27,48.2,48.485,47.91,48.25,PHP
2001-02-28,48.15,48.42,47.94,48.3,PHP
2001-03-01,48.2,48.6,47.77,48.45,PHP
2001-03-02,48.5,48.74,47.8,47.975,PHP
2001-03-05,48.1,48.675,47.12,47.975,PHP
2001-03-06,47.8,47.9,47.0,47.65,PHP
2001-03-07,47.55,48.625,47.357,48.125,PHP
2001-03-08,47.85,48.24,47.32,47.9,PHP
2001-03-09,47.8,48.17,47.54,48.05,PHP
2001-03-12,48.0,48.825,47.52,48.125,PHP
2001-03-13,47.85,48.3,47.19,48.15,PHP
2001-03-14,48.0,48.3,47.14,48.2,PHP
2001-03-15,48.15,48.6,47.87,48.45,PHP
2001-03-16,48.3,48.82,47.85,48.5,PHP
2001-03-19,48.5,49.0,47.87,48.48,PHP
2001-03-20,48.35,48.65,47.87,48.45,PHP
2001-03-21,48.35,48.73,47.97,48.45,PHP
2001-03-22,48.35,49.065,48.34,49.025,PHP
2001-03-23,48.9,49.315,48.14,49.055,PHP
2001-03-26,49.15,49.451,48.51,49.125,PHP
2001-03-27,48.9,49.325,48.56,49.175,PHP
2001-03-28,49.0,49.39,48.61,49.25,PHP
2001-03-29,49.15,49.53,48.79,49.35,PHP
2001-03-30,49.28,49.625,48.86,49.525,PHP
2001-04-02,49.4,50.025,49.15,49.775,PHP
2001-04-03,49.75,50.125,49.1,49.725,PHP
2001-04-04,49.7,50.725,49.05,50.075,PHP
2001-04-05,49.95,50.825,49.55,50.125,PHP
2001-04-06,50.0,50.56,49.5,50.15,PHP
2001-04-09,50.0,50.225,49.45,50.125,PHP
2001-04-10,50.0,50.3,49.4,49.9,PHP
2001-04-11,50.0,50.075,49.3,49.875,PHP
2001-04-12,49.85,50.0,49.35,49.85,PHP
2001-04-13,49.7,49.85,49.7,49.85,PHP
2001-04-16,49.9,50.35,49.83,50.2,PHP
2001-04-17,50.15,50.435,49.61,50.275,PHP
