Date,Open,High,Low,Close,Currency
2001-01-02,4.12,4.1223,4.065,4.0777,PLN
2001-01-03,4.07,4.1425,4.06,4.1225,PLN
2001-01-04,4.12,4.1425,4.1,4.1084,PLN
2001-01-05,4.1059,4.1084,4.058,4.0818,PLN
2001-01-08,4.06,4.1075,4.052,4.103,PLN
2001-01-09,4.11,4.148,4.105,4.146,PLN
2001-01-10,4.13,4.1608,4.128,4.1382,PLN
2001-01-11,4.14,4.174,4.105,4.1125,PLN
2001-01-12,4.1,4.119,4.09,4.0975,PLN
2001-01-15,4.095,4.118,4.095,4.118,PLN
2001-01-16,4.113,4.122,4.0875,4.0935,PLN
2001-01-17,4.085,4.1275,4.085,4.1175,PLN
2001-01-18,4.1,4.1255,4.088,4.0955,PLN
2001-01-19,4.085,4.11,4.07,4.1075,PLN
2001-01-22,4.105,4.16,4.105,4.11,PLN
2001-01-23,4.105,4.1125,4.0844,4.11,PLN
2001-01-24,4.1,4.134,4.095,4.125,PLN
2001-01-25,4.125,4.1695,4.125,4.1325,PLN
2001-01-26,4.135,4.145,4.108,4.1355,PLN
2001-01-29,4.135,4.1435,4.127,4.1355,PLN
2001-01-30,4.135,4.145,4.096,4.1005,PLN
2001-01-31,4.095,4.1,4.075,4.082,PLN
2001-02-01,4.06,4.0705,4.02,4.0325,PLN
2001-02-02,4.03,4.09,4.018,4.071,PLN
2001-02-05,4.015,4.041,4.005,4.037,PLN
2001-02-06,4.035,4.0725,4.032,4.0675,PLN
2001-02-07,4.065,4.092,4.047,4.052,PLN
2001-02-08,4.065,4.1225,4.06,4.1135,PLN
2001-02-09,4.102,4.135,4.094,4.105,PLN
2001-02-12,4.09,4.0995,4.06,4.0625,PLN
2001-02-13,4.065,4.0935,4.06,4.0895,PLN
2001-02-14,4.087,4.1005,4.075,4.0875,PLN
2001-02-15,4.077,4.1235,4.077,4.1095,PLN
2001-02-16,4.11,4.1125,4.08,4.0825,PLN
2001-02-19,4.087,4.1065,4.075,4.0875,PLN
2001-02-20,4.085,4.1175,4.085,4.0975,PLN
2001-02-21,4.1,4.156,4.1,4.156,PLN
2001-02-22,4.155,4.1755,4.145,4.1525,PLN
2001-02-23,4.142,4.1475,4.12,4.1275,PLN
2001-02-26,4.12,4.13,4.1,4.111,PLN
2001-02-27,4.105,4.1075,4.065,4.0825,PLN
2001-02-28,4.075,4.0785,4.03,4.04,PLN
2001-03-01,4.035,4.0375,3.975,3.9775,PLN
2001-03-02,3.983,3.9925,3.955,3.9875,PLN
2001-03-05,3.99,4.0115,3.983,3.9935,PLN
2001-03-06,3.991,4.0025,3.955,3.9675,PLN
2001-03-07,3.965,3.968,3.942,3.957,PLN
2001-03-08,3.954,3.9915,3.952,3.9765,PLN
2001-03-09,3.97,3.987,3.9575,3.965,PLN
2001-03-12,3.968,4.0337,3.965,4.0337,PLN
2001-03-13,4.027,4.0775,4.027,4.0725,PLN
2001-03-14,4.075,4.095,4.06,4.075,PLN
2001-03-15,4.08,4.11,4.065,4.1,PLN
2001-03-16,4.102,4.1625,4.096,4.15,PLN
2001-03-19,4.1475,4.155,4.123,4.145,PLN
2001-03-20,4.13,4.1325,4.069,4.0715,PLN
2001-03-21,4.069,4.128,4.065,4.125,PLN
2001-03-22,4.12,4.1665,4.12,4.1625,PLN
2001-03-23,4.15,4.1525,4.11,4.1355,PLN
2001-03-26,4.13,4.1325,4.092,4.1005,PLN
2001-03-27,4.098,4.117,4.091,4.115,PLN
2001-03-28,4.1,4.1355,4.09,4.0975,PLN
2001-03-29,4.1,4.1125,4.073,4.0755,PLN
2001-03-30,4.075,4.0995,4.064,4.0895,PLN
2001-04-02,4.095,4.1117,4.06,4.063,PLN
2001-04-03,4.07,4.0775,4.045,4.0475,PLN
2001-04-04,4.052,4.0615,4.03,4.035,PLN
2001-04-05,4.0275,4.0395,4.0,4.0225,PLN
2001-04-06,4.02,4.0315,4.006,4.0105,PLN
2001-04-09,4.01,4.019,3.983,3.985,PLN
2001-04-10,3.995,4.0495,3.99,4.0385,PLN
2001-04-11,4.04,4.0495,4.025,4.0355,PLN
2001-04-12,4.032,4.0375,3.995,4.0025,PLN
2001-04-13,4.01,4.0175,4.0,4.015,PLN
2001-04-16,4.01,4.015,4.01,4.015,PLN
2001-04-17,4.01,4.0405,4.01,4.0315,PLN
2001-04-18,4.025,4.0435,3.998,4.0005,PLN
2001-04-19,3.997,4.0195,3.972,3.9975,PLN
2001-04-20,4.005,4.015,3.975,4.01,PLN
2001-04-23,3.995,4.068,3.995,4.06,PLN
2001-04-24,4.065,4.0825,4.015,4.0355,PLN
2001-04-25,4.04,4.0485,4.0075,4.01,PLN
2001-04-26,4.01,4.0225,3.97,3.9725,PLN
2001-04-27,3.985,3.99,3.945,3.98,PLN
2001-04-30,3.985,3.9895,3.96,3.9625,PLN
2001-05-01,3.96,3.965,3.96,3.965,PLN
2001-05-02,3.95,3.97,3.94,3.955,PLN
2001-05-03,3.9525,3.9625,3.94,3.95,PLN
2001-05-04,3.945,3.963,3.93,3.9375,PLN
2001-05-07,3.94,3.9525,3.94,3.9475,PLN
2001-05-08,3.95,3.9595,3.94,3.9455,PLN
2001-05-09,3.95,3.98,3.949,3.965,PLN
2001-05-10,3.955,3.981,3.949,3.965,PLN
2001-05-11,3.957,4.0065,3.953,4.0035,PLN
2001-05-14,4.0,4.036,4.0,4.015,PLN
2001-05-15,4.0075,4.0195,3.9985,4.005,PLN
2001-05-16,3.993,3.9995,3.9675,3.9725,PLN
2001-05-17,3.973,3.9805,3.9595,3.9725,PLN
2001-05-18,3.97,3.9815,3.962,3.9795,PLN
2001-05-21,3.975,3.998,3.965,3.985,PLN
2001-05-22,3.978,3.9975,3.973,3.9905,PLN
2001-05-23,3.992,4.008,3.988,3.997,PLN
2001-05-24,4.001,4.0075,3.991,4.0045,PLN
2001-05-25,4.0,4.03,3.99,4.02,PLN
2001-05-28,4.01,4.0255,4.005,4.0175,PLN
2001-05-29,4.019,4.045,4.019,4.04,PLN
2001-05-30,4.03,4.0325,3.995,3.9995,PLN
2001-05-31,4.005,4.0145,3.979,3.9825,PLN
2001-06-01,3.98,3.9925,3.975,3.9875,PLN
2001-06-04,3.98,3.9975,3.965,3.9925,PLN
2001-06-05,3.9945,3.9982,3.973,3.9837,PLN
2001-06-06,3.97,4.002,3.965,4.002,PLN
2001-06-07,3.993,4.0115,3.98,3.9935,PLN
2001-06-08,3.99,4.01,3.972,3.98,PLN
2001-06-11,3.97,3.9887,3.959,3.9787,PLN
