Date,Open,High,Low,Close,Currency
2001-01-02,2.592,2.5925,2.592,2.5925,RON
2001-01-03,2.589,2.6051,2.589,2.5945,RON
2001-01-04,2.5975,2.601,2.5895,2.6002,RON
2001-01-05,2.6005,2.6033,2.597,2.602,RON
2001-01-08,2.6025,2.6055,2.6,2.6047,RON
2001-01-09,2.6045,2.6083,2.6,2.6077,RON
2001-01-10,2.6065,2.6088,2.606,2.607,RON
2001-01-11,2.6125,2.6165,2.6025,2.6165,RON
2001-01-12,2.61,2.6185,2.61,2.6185,RON
2001-01-15,2.617,2.6215,2.6168,2.6215,RON
2001-01-16,2.6195,2.6235,2.618,2.6235,RON
2001-01-17,2.623,2.624,2.6205,2.6233,RON
2001-01-18,2.623,2.6306,2.62,2.6305,RON
2001-01-19,2.622,2.6325,2.622,2.632,RON
2001-01-22,2.6315,2.6355,2.6238,2.6355,RON
2001-01-23,2.635,2.6375,2.628,2.6375,RON
2001-01-24,2.6373,2.6415,2.63,2.6415,RON
2001-01-25,2.6365,2.6435,2.632,2.643,RON
2001-01-26,2.6445,2.6467,2.636,2.6455,RON
2001-01-29,2.647,2.6487,2.641,2.6478,RON
2001-01-30,2.6493,2.6525,2.645,2.6525,RON
2001-01-31,2.6515,2.657,2.645,2.657,RON
2001-02-01,2.6565,2.6583,2.6485,2.6572,RON
2001-02-02,2.658,2.6595,2.65,2.6595,RON
2001-02-05,2.66,2.6628,2.658,2.6627,RON
2001-02-06,2.6595,2.663,2.656,2.6624,RON
2001-02-07,2.6642,2.6715,2.658,2.6655,RON
2001-02-08,2.665,2.6722,2.661,2.6708,RON
2001-02-09,2.664,2.673,2.664,2.672,RON
2001-02-12,2.662,2.6745,2.662,2.6741,RON
2001-02-13,2.6755,2.6761,2.666,2.6755,RON
2001-02-14,2.6763,2.6835,2.6751,2.677,RON
2001-02-15,2.683,2.6868,2.673,2.6862,RON
2001-02-16,2.686,2.6882,2.68,2.6868,RON
2001-02-19,2.682,2.6901,2.682,2.6901,RON
2001-02-20,2.6905,2.6924,2.6896,2.6915,RON
2001-02-21,2.685,2.6939,2.685,2.6935,RON
2001-02-22,2.698,2.7002,2.6885,2.7,RON
2001-02-23,2.6984,2.701,2.6981,2.7005,RON
2001-02-26,2.702,2.704,2.697,2.704,RON
2001-02-27,2.7035,2.706,2.695,2.706,RON
2001-02-28,2.705,2.711,2.7,2.7061,RON
2001-03-01,2.71,2.7112,2.7,2.7104,RON
2001-03-02,2.712,2.7131,2.7025,2.7125,RON
2001-03-05,2.714,2.7148,2.7055,2.714,RON
2001-03-06,2.7153,2.7206,2.71,2.715,RON
2001-03-07,2.7156,2.7185,2.71,2.7185,RON
2001-03-08,2.7195,2.72,2.712,2.7175,RON
2001-03-09,2.718,2.7197,2.711,2.718,RON
2001-03-12,2.7182,2.7195,2.715,2.7193,RON
2001-03-13,2.719,2.7215,2.7119,2.72,RON
2001-03-14,2.72,2.7228,2.714,2.7223,RON
2001-03-15,2.7239,2.729,2.7165,2.729,RON
2001-03-16,2.7282,2.7302,2.719,2.7287,RON
2001-03-19,2.7306,2.7337,2.723,2.7337,RON
2001-03-20,2.7332,2.7365,2.7308,2.7335,RON
2001-03-21,2.7348,2.7412,2.734,2.7412,RON
2001-03-22,2.7405,2.7428,2.7387,2.741,RON
2001-03-23,2.7421,2.7446,2.7337,2.7428,RON
2001-03-26,2.7445,2.7465,2.7435,2.7447,RON
2001-03-27,2.7465,2.749,2.738,2.749,RON
2001-03-28,2.7485,2.75,2.7465,2.7496,RON
2001-03-29,2.7552,2.7565,2.7447,2.754,RON
2001-03-30,2.7538,2.7588,2.7538,2.7588,RON
2001-04-02,2.758,2.7587,2.75,2.7583,RON
2001-04-03,2.7602,2.7606,2.759,2.76,RON
2001-04-04,2.762,2.7665,2.752,2.7665,RON
2001-04-05,2.768,2.7698,2.758,2.7695,RON
2001-04-06,2.769,2.7723,2.7675,2.772,RON
2001-04-09,2.7695,2.7763,2.763,2.776,RON
2001-04-10,2.775,2.7769,2.7664,2.774,RON
2001-04-11,2.7765,2.78,2.7705,2.7795,RON
2001-04-12,2.7785,2.7855,2.768,2.7855,RON
2001-04-13,2.7845,2.7863,2.7835,2.7855,RON
2001-04-16,2.785,2.7855,2.785,2.7855,RON
2001-04-17,2.787,2.7903,2.7856,2.7882,RON
2001-04-18,2.79,2.7975,2.782,2.7975,RON
2001-04-19,2.797,2.7988,2.786,2.7979,RON
2001-04-20,2.7998,2.801,2.793,2.8005,RON
2001-04-23,2.802,2.8045,2.8,2.8045,RON
2001-04-24,2.8035,2.8072,2.8025,2.8065,RON
2001-04-25,2.8065,2.813,2.805,2.8075,RON
2001-04-26,2.8125,2.8189,2.8027,2.817,RON
2001-04-27,2.817,2.8215,2.81,2.819,RON
