Date,Open,High,Low,Close,Currency
2001-09-14,29.35,29.48,29.35,29.473,RUB
2001-09-17,29.46,29.473,29.44,29.461,RUB
2001-09-18,29.445,29.475,29.44,29.46,RUB
2001-09-19,29.46,29.481,29.43,29.453,RUB
2001-09-20,29.455,29.476,29.403,29.43,RUB
2001-09-21,29.434,29.452,29.4,29.424,RUB
2001-09-24,29.41,29.453,29.406,29.441,RUB
2001-09-25,29.415,29.459,29.412,29.436,RUB
2001-09-26,29.43,29.44,29.392,29.416,RUB
2001-09-27,29.415,29.477,29.398,29.451,RUB
2001-09-28,29.442,29.475,29.427,29.462,RUB
2001-10-01,29.47,29.487,29.441,29.454,RUB
2001-10-02,29.44,29.493,29.4,29.481,RUB
2001-10-03,29.476,29.512,29.45,29.503,RUB
2001-10-04,29.48,29.54,29.455,29.526,RUB
2001-10-05,29.52,29.55,29.455,29.514,RUB
2001-10-08,29.52,29.53,29.483,29.493,RUB
2001-10-09,29.51,29.545,29.455,29.525,RUB
2001-10-10,29.53,29.55,29.455,29.538,RUB
2001-10-11,29.543,29.56,29.455,29.543,RUB
2001-10-12,29.53,29.545,29.455,29.53,RUB
2001-10-15,29.52,29.54,29.498,29.523,RUB
2001-10-16,29.517,29.555,29.505,29.542,RUB
2001-10-17,29.55,29.57,29.524,29.566,RUB
2001-10-18,29.556,29.58,29.529,29.559,RUB
2001-10-19,29.55,29.575,29.537,29.557,RUB
2001-10-22,29.55,29.577,29.55,29.569,RUB
2001-10-23,29.48,29.588,29.48,29.574,RUB
2001-10-24,29.56,29.596,29.56,29.586,RUB
2001-10-25,29.587,29.64,29.559,29.632,RUB
2001-10-26,29.629,29.723,29.556,29.717,RUB
2001-10-29,29.715,29.727,29.46,29.705,RUB
2001-10-30,29.7,29.732,29.664,29.701,RUB
2001-10-31,29.688,29.735,29.46,29.728,RUB
2001-11-01,29.73,29.79,29.704,29.764,RUB
2001-11-02,29.765,29.775,29.46,29.755,RUB
2001-11-05,29.755,29.783,29.46,29.715,RUB
2001-11-06,29.745,29.77,29.48,29.738,RUB
2001-11-07,29.742,29.75,29.74,29.747,RUB
2001-11-08,29.778,29.797,29.67,29.712,RUB
2001-11-09,29.74,29.782,29.67,29.73,RUB
2001-11-12,29.74,29.761,29.72,29.73,RUB
2001-11-13,29.743,29.765,29.72,29.73,RUB
2001-11-14,29.745,29.782,29.72,29.765,RUB
2001-11-15,29.76,29.842,29.739,29.81,RUB
2001-11-16,29.8,29.859,29.736,29.837,RUB
2001-11-19,29.84,29.91,29.81,29.837,RUB
2001-11-20,29.827,29.967,29.81,29.939,RUB
2001-11-21,29.827,29.99,29.67,29.972,RUB
2001-11-22,29.97,29.975,29.904,29.96,RUB
2001-11-23,29.956,29.965,29.898,29.945,RUB
2001-11-26,29.953,29.963,29.937,29.945,RUB
2001-11-27,29.937,29.963,29.937,29.945,RUB
2001-11-28,29.937,29.983,29.92,29.945,RUB
2001-11-29,29.937,30.028,29.92,29.945,RUB
2001-11-30,29.937,29.98,29.93,29.94,RUB
2001-12-03,29.953,29.975,29.94,29.955,RUB
2001-12-04,29.953,29.967,29.93,29.956,RUB
2001-12-05,29.951,29.962,29.94,29.947,RUB
2001-12-06,29.94,29.984,29.93,29.94,RUB
2001-12-07,29.953,30.098,29.93,30.075,RUB
2001-12-10,30.09,30.125,30.06,30.075,RUB
2001-12-11,30.104,30.12,30.06,30.075,RUB
2001-12-12,30.06,30.108,30.06,30.108,RUB
2001-12-13,30.06,30.367,29.739,30.335,RUB
2001-12-14,30.33,30.385,30.3,30.335,RUB
2001-12-17,30.35,30.47,30.33,30.425,RUB
2001-12-18,30.33,30.446,30.29,30.335,RUB
2001-12-19,30.33,30.353,30.28,30.335,RUB
2001-12-20,30.33,30.362,30.245,30.335,RUB
2001-12-21,30.33,30.345,30.14,30.195,RUB
2001-12-24,30.212,30.268,30.12,30.195,RUB
2001-12-25,30.116,30.19,30.116,30.15,RUB
2001-12-26,30.181,30.307,30.13,30.195,RUB
2001-12-27,30.364,30.47,30.134,30.195,RUB
2001-12-28,30.18,30.525,30.18,30.495,RUB
2001-12-31,30.47,30.495,30.47,30.495,RUB
2002-01-02,30.47,30.495,30.47,30.495,RUB
2002-01-03,30.581,30.639,30.178,30.615,RUB
2002-01-04,30.622,30.645,30.48,30.535,RUB
2002-01-07,30.54,30.565,30.52,30.535,RUB
2002-01-08,30.52,30.623,30.52,30.622,RUB
2002-01-09,30.612,30.625,30.52,30.55,RUB
2002-01-10,30.54,30.604,30.47,30.542,RUB
2002-01-11,30.532,30.537,30.4,30.482,RUB
2002-01-14,30.44,30.495,30.435,30.475,RUB
2002-01-15,30.47,30.553,30.47,30.545,RUB
2002-01-16,30.54,30.547,30.44,30.52,RUB
2002-01-17,30.515,30.621,30.515,30.585,RUB
2002-01-18,30.58,30.619,30.58,30.585,RUB
2002-01-21,30.595,30.627,30.58,30.617,RUB
2002-01-22,30.605,30.615,30.57,30.595,RUB
2002-01-23,30.57,30.617,30.55,30.58,RUB
2002-01-24,30.6,30.656,30.57,30.617,RUB
2002-01-25,30.612,30.68,30.612,30.617,RUB
2002-01-28,30.68,30.701,30.57,30.617,RUB
2002-01-29,30.612,30.689,30.56,30.67,RUB
2002-01-30,30.665,30.726,30.665,30.71,RUB
2002-01-31,30.7,30.747,30.69,30.71,RUB
2002-02-01,30.7,30.746,30.7,30.74,RUB
2002-02-04,30.729,30.765,30.725,30.74,RUB
2002-02-05,30.735,30.765,30.735,30.752,RUB
2002-02-06,30.747,30.77,30.746,30.752,RUB
2002-02-07,30.747,30.777,30.745,30.752,RUB
2002-02-08,30.747,30.835,30.747,30.752,RUB
2002-02-11,30.823,30.855,30.747,30.752,RUB
2002-02-12,30.747,30.887,30.747,30.877,RUB
2002-02-13,30.872,30.885,30.84,30.877,RUB
2002-02-14,30.859,30.905,30.82,30.877,RUB
2002-02-15,30.872,30.911,30.872,30.877,RUB
2002-02-18,30.889,30.9,30.872,30.895,RUB
2002-02-19,30.88,30.93,30.872,30.877,RUB
2002-02-20,30.872,30.929,30.872,30.877,RUB
2002-02-21,30.872,30.948,30.872,30.877,RUB
2002-02-22,30.872,30.967,30.872,30.953,RUB
2002-02-25,30.951,30.959,30.948,30.957,RUB
2002-02-26,30.952,30.974,30.92,30.942,RUB
2002-02-27,30.937,30.98,30.92,30.962,RUB
2002-02-28,30.957,31.02,30.957,30.962,RUB
2002-03-01,30.957,31.039,30.957,31.027,RUB
2002-03-04,31.01,31.04,31.005,31.027,RUB
2002-03-05,31.022,31.033,31.009,31.027,RUB
2002-03-06,31.022,31.064,31.01,31.057,RUB
2002-03-07,31.022,31.086,31.022,31.027,RUB
2002-03-08,31.022,31.07,31.022,31.027,RUB
2002-03-11,31.07,31.1,30.92,31.1,RUB
2002-03-12,31.095,31.115,31.075,31.1,RUB
2002-03-13,31.095,31.104,31.076,31.102,RUB
2002-03-14,31.097,31.139,31.04,31.124,RUB
2002-03-15,31.097,31.135,31.07,31.102,RUB
2002-03-18,31.094,31.176,31.025,31.102,RUB
2002-03-19,31.097,31.195,31.097,31.174,RUB
2002-03-20,31.097,31.198,31.097,31.177,RUB
2002-03-21,31.172,31.199,31.146,31.182,RUB
2002-03-22,31.177,31.192,31.13,31.182,RUB
2002-03-25,31.167,31.193,31.14,31.158,RUB
2002-03-26,31.152,31.18,31.13,31.155,RUB
2002-03-27,31.152,31.171,31.093,31.12,RUB
2002-03-28,31.115,31.185,31.107,31.12,RUB
2002-03-29,31.115,31.225,31.115,31.212,RUB
2002-04-01,31.23,31.255,31.186,31.195,RUB
2002-04-02,31.19,31.201,31.16,31.195,RUB
2002-04-03,31.19,31.229,31.19,31.21,RUB
2002-04-04,31.205,31.231,31.205,31.21,RUB
2002-04-05,31.205,31.233,31.205,31.21,RUB
2002-04-08,31.221,31.236,31.2,31.22,RUB
2002-04-09,31.203,31.225,31.194,31.205,RUB
2002-04-10,31.202,31.23,31.17,31.216,RUB
2002-04-11,31.23,31.25,31.21,31.218,RUB
2002-04-12,31.218,31.228,31.2,31.22,RUB
2002-04-15,31.204,31.22,31.174,31.181,RUB
2002-04-16,31.185,31.195,31.149,31.195,RUB
2002-04-17,31.171,31.195,31.159,31.186,RUB
2002-04-18,31.201,31.216,31.178,31.183,RUB
2002-04-19,31.203,31.215,31.171,31.183,RUB
2002-04-22,31.19,31.196,31.165,31.183,RUB
2002-04-23,31.181,31.187,31.161,31.175,RUB
2002-04-24,31.171,31.191,31.158,31.185,RUB
2002-04-25,31.17,31.227,31.168,31.22,RUB
2002-04-26,31.21,31.245,31.19,31.195,RUB
2002-04-29,31.236,31.275,31.194,31.217,RUB
2002-04-30,31.26,31.27,31.212,31.24,RUB
2002-05-01,31.235,31.24,31.235,31.24,RUB
2002-05-02,31.235,31.24,31.23,31.24,RUB
2002-05-03,31.235,31.24,31.23,31.24,RUB
2002-05-06,31.23,31.248,31.2,31.24,RUB
2002-05-07,31.24,31.26,31.209,31.24,RUB
2002-05-08,31.238,31.26,31.23,31.24,RUB
2002-05-09,31.251,31.258,31.235,31.24,RUB
2002-05-10,31.235,31.24,31.235,31.24,RUB
2002-05-13,31.258,31.277,31.235,31.25,RUB
2002-05-14,31.245,31.275,31.235,31.267,RUB
2002-05-15,31.263,31.28,31.25,31.267,RUB
2002-05-16,31.26,31.288,31.259,31.285,RUB
2002-05-17,31.28,31.29,31.25,31.285,RUB
2002-05-20,31.267,31.285,31.259,31.273,RUB
2002-05-21,31.267,31.275,31.26,31.273,RUB
2002-05-22,31.265,31.281,31.231,31.275,RUB
2002-05-23,31.27,31.304,31.27,31.3,RUB
2002-05-24,31.296,31.311,31.29,31.31,RUB
2002-05-27,31.3,31.318,31.29,31.31,RUB
2002-05-28,31.31,31.341,31.305,31.335,RUB
2002-05-29,31.328,31.341,31.325,31.335,RUB
2002-05-30,31.33,31.355,31.325,31.335,RUB
2002-05-31,31.335,31.345,31.327,31.337,RUB
2002-06-03,31.337,31.351,31.332,31.337,RUB
2002-06-04,31.34,31.355,31.332,31.337,RUB
2002-06-05,31.355,31.42,31.332,31.41,RUB
2002-06-06,31.405,31.427,31.39,31.425,RUB
2002-06-07,31.422,31.428,31.39,31.425,RUB
2002-06-10,31.418,31.448,31.41,31.447,RUB
2002-06-11,31.427,31.447,31.41,31.435,RUB
2002-06-12,31.41,31.435,31.41,31.435,RUB
