Date,Open,High,Low,Close,Currency
2001-01-02,9.3988,9.483,9.3833,9.411,SEK
2001-01-03,9.392,9.609,9.3421,9.565,SEK
2001-01-04,9.5702,9.585,9.338,9.371,SEK
2001-01-05,9.36,9.4296,9.29,9.311,SEK
2001-01-08,9.319,9.443,9.2916,9.429,SEK
2001-01-09,9.43,9.535,9.404,9.4363,SEK
2001-01-10,9.452,9.5154,9.3846,9.451,SEK
2001-01-11,9.45,9.457,9.2806,9.313,SEK
2001-01-12,9.298,9.357,9.239,9.3097,SEK
2001-01-15,9.3011,9.451,9.2786,9.435,SEK
2001-01-16,9.432,9.5197,9.4077,9.459,SEK
2001-01-17,9.452,9.5785,9.446,9.523,SEK
2001-01-18,9.506,9.5265,9.4022,9.433,SEK
2001-01-19,9.442,9.4995,9.3693,9.487,SEK
2001-01-22,9.4793,9.645,9.4497,9.5167,SEK
2001-01-23,9.512,9.5526,9.4656,9.519,SEK
2001-01-24,9.526,9.6591,9.518,9.655,SEK
2001-01-25,9.646,9.7812,9.6164,9.642,SEK
2001-01-26,9.642,9.6816,9.5461,9.597,SEK
2001-01-29,9.611,9.659,9.578,9.637,SEK
2001-01-30,9.624,9.6541,9.516,9.535,SEK
2001-01-31,9.5288,9.555,9.4535,9.469,SEK
2001-02-01,9.464,9.499,9.4079,9.473,SEK
2001-02-02,9.47,9.5676,9.4481,9.511,SEK
2001-02-05,9.51,9.533,9.4532,9.521,SEK
2001-02-06,9.52,9.5905,9.502,9.569,SEK
2001-02-07,9.562,9.6073,9.4951,9.563,SEK
2001-02-08,9.5524,9.7055,9.543,9.663,SEK
2001-02-09,9.674,9.7433,9.6193,9.675,SEK
2001-02-12,9.6649,9.6851,9.608,9.649,SEK
2001-02-13,9.648,9.8348,9.61,9.797,SEK
2001-02-14,9.805,9.879,9.7759,9.857,SEK
2001-02-15,9.84,9.941,9.8183,9.893,SEK
2001-02-16,9.892,9.907,9.764,9.8325,SEK
2001-02-19,9.8099,9.8488,9.734,9.763,SEK
2001-02-20,9.766,9.935,9.738,9.855,SEK
2001-02-21,9.852,9.9581,9.8108,9.911,SEK
2001-02-22,9.9048,10.033,9.8641,10.0077,SEK
2001-02-23,10.0038,10.043,9.8429,9.873,SEK
2001-02-26,9.8604,9.9488,9.8525,9.901,SEK
2001-02-27,9.914,9.939,9.81,9.861,SEK
2001-02-28,9.848,9.885,9.7795,9.805,SEK
2001-03-01,9.798,9.8126,9.6765,9.707,SEK
2001-03-02,9.6706,9.7137,9.61,9.687,SEK
2001-03-05,9.6554,9.762,9.6523,9.745,SEK
2001-03-06,9.7431,9.7708,9.646,9.663,SEK
2001-03-07,9.6503,9.775,9.628,9.741,SEK
2001-03-08,9.742,9.7725,9.68,9.719,SEK
2001-03-09,9.71,9.779,9.682,9.747,SEK
2001-03-12,9.7457,9.8765,9.732,9.869,SEK
2001-03-13,9.8733,10.04,9.845,10.009,SEK
2001-03-14,10.0005,10.097,9.964,10.091,SEK
2001-03-15,10.074,10.183,10.0158,10.169,SEK
2001-03-16,10.18,10.2524,10.1144,10.199,SEK
2001-03-19,10.2041,10.2291,10.137,10.191,SEK
2001-03-20,10.178,10.195,10.0735,10.085,SEK
2001-03-21,10.094,10.327,10.0539,10.297,SEK
2001-03-22,10.292,10.48,10.2739,10.399,SEK
2001-03-23,10.382,10.4315,10.244,10.313,SEK
2001-03-26,10.308,10.319,10.1868,10.225,SEK
2001-03-27,10.2194,10.255,10.154,10.199,SEK
2001-03-28,10.1931,10.387,10.18,10.385,SEK
2001-03-29,10.37,10.469,10.3445,10.399,SEK
2001-03-30,10.3861,10.453,10.29,10.411,SEK
2001-04-02,10.406,10.465,10.344,10.437,SEK
2001-04-03,10.4375,10.444,10.219,10.227,SEK
2001-04-04,10.228,10.325,10.193,10.2445,SEK
2001-04-05,10.244,10.249,10.134,10.169,SEK
2001-04-06,10.164,10.2405,10.034,10.0475,SEK
2001-04-09,10.0515,10.197,10.046,10.1795,SEK
2001-04-10,10.1825,10.221,10.114,10.195,SEK
2001-04-11,10.1945,10.247,10.107,10.143,SEK
2001-04-12,10.1446,10.2013,10.088,10.1259,SEK
2001-04-13,10.1153,10.185,10.106,10.1772,SEK
2001-04-16,10.1653,10.228,10.14,10.187,SEK
2001-04-17,10.184,10.3265,10.1501,10.247,SEK
2001-04-18,10.2433,10.378,10.1776,10.2536,SEK
2001-04-19,10.2347,10.2464,10.0907,10.097,SEK
2001-04-20,10.035,10.145,10.0287,10.0592,SEK
2001-04-23,10.0653,10.2285,10.0112,10.2157,SEK
2001-04-24,10.2107,10.277,10.134,10.263,SEK
2001-04-25,10.2525,10.3034,10.182,10.215,SEK
2001-04-26,10.2,10.233,10.078,10.0979,SEK
2001-04-27,10.0884,10.229,10.0781,10.1932,SEK
2001-04-30,10.192,10.289,10.1775,10.2459,SEK
2001-05-01,10.2361,10.2804,10.19,10.2082,SEK
2001-05-02,10.194,10.285,10.1719,10.2074,SEK
2001-05-03,10.2024,10.2773,10.166,10.259,SEK
