Date,Open,High,Low,Close,Currency
2001-01-02,1.733,1.739,1.732,1.737,SGD
2001-01-03,1.736,1.737,1.727,1.7281,SGD
2001-01-04,1.728,1.738,1.727,1.734,SGD
2001-01-05,1.733,1.7383,1.728,1.7292,SGD
2001-01-08,1.7292,1.7325,1.726,1.7275,SGD
2001-01-09,1.727,1.734,1.7267,1.7335,SGD
2001-01-10,1.733,1.7367,1.7308,1.7315,SGD
2001-01-11,1.7315,1.7365,1.7312,1.7352,SGD
2001-01-12,1.7355,1.737,1.7308,1.7335,SGD
2001-01-15,1.735,1.7385,1.7325,1.7365,SGD
2001-01-16,1.7358,1.7373,1.732,1.7335,SGD
2001-01-17,1.7325,1.7353,1.7303,1.7343,SGD
2001-01-18,1.7346,1.7402,1.7328,1.738,SGD
2001-01-19,1.7375,1.7425,1.7348,1.736,SGD
2001-01-22,1.7353,1.738,1.732,1.7368,SGD
2001-01-23,1.736,1.7425,1.7358,1.7408,SGD
2001-01-24,1.739,1.744,1.739,1.742,SGD
2001-01-25,1.741,1.7445,1.7388,1.7421,SGD
2001-01-26,1.7415,1.75,1.739,1.7492,SGD
2001-01-29,1.749,1.75,1.745,1.7465,SGD
2001-01-30,1.747,1.7485,1.7425,1.7445,SGD
2001-01-31,1.744,1.7457,1.74,1.7435,SGD
2001-02-01,1.7435,1.7448,1.735,1.737,SGD
2001-02-02,1.7365,1.7403,1.733,1.738,SGD
2001-02-05,1.7385,1.7426,1.7378,1.7403,SGD
2001-02-06,1.7397,1.7443,1.738,1.7433,SGD
2001-02-07,1.7442,1.749,1.7424,1.7485,SGD
2001-02-08,1.7477,1.7487,1.7425,1.748,SGD
2001-02-09,1.748,1.749,1.7425,1.746,SGD
2001-02-12,1.746,1.7488,1.7445,1.7457,SGD
2001-02-13,1.7455,1.7485,1.743,1.7445,SGD
2001-02-14,1.7438,1.7457,1.74,1.7445,SGD
2001-02-15,1.7441,1.7463,1.7415,1.743,SGD
2001-02-16,1.7432,1.7482,1.736,1.7395,SGD
2001-02-19,1.7413,1.7418,1.7347,1.739,SGD
2001-02-20,1.739,1.7417,1.7375,1.741,SGD
2001-02-21,1.74,1.7455,1.74,1.7445,SGD
2001-02-22,1.7443,1.746,1.7399,1.745,SGD
2001-02-23,1.744,1.7485,1.742,1.7445,SGD
2001-02-26,1.7435,1.7452,1.7413,1.7443,SGD
2001-02-27,1.744,1.746,1.738,1.741,SGD
2001-02-28,1.7406,1.7457,1.74,1.7447,SGD
2001-03-01,1.7445,1.7477,1.7425,1.747,SGD
2001-03-02,1.7471,1.7507,1.743,1.7497,SGD
2001-03-05,1.7498,1.7575,1.7497,1.7568,SGD
2001-03-06,1.7563,1.757,1.752,1.7565,SGD
2001-03-07,1.7562,1.76,1.7525,1.759,SGD
2001-03-08,1.758,1.7601,1.755,1.7565,SGD
2001-03-09,1.757,1.7589,1.7533,1.7557,SGD
2001-03-12,1.7555,1.7625,1.755,1.7615,SGD
2001-03-13,1.761,1.7635,1.757,1.7595,SGD
2001-03-14,1.759,1.768,1.7563,1.7673,SGD
2001-03-15,1.766,1.774,1.762,1.773,SGD
2001-03-16,1.7728,1.7785,1.7687,1.7765,SGD
2001-03-19,1.775,1.777,1.7645,1.7745,SGD
2001-03-20,1.773,1.777,1.768,1.7745,SGD
2001-03-21,1.774,1.7855,1.772,1.7845,SGD
2001-03-22,1.7842,1.791,1.7798,1.79,SGD
2001-03-23,1.7875,1.7905,1.781,1.785,SGD
2001-03-26,1.785,1.795,1.7844,1.7925,SGD
2001-03-27,1.792,1.7943,1.786,1.7885,SGD
2001-03-28,1.788,1.7985,1.7867,1.795,SGD
2001-03-29,1.7957,1.8045,1.795,1.801,SGD
2001-03-30,1.8008,1.8065,1.794,1.8055,SGD
2001-04-02,1.8075,1.8235,1.8055,1.815,SGD
2001-04-03,1.814,1.8175,1.808,1.813,SGD
2001-04-04,1.8117,1.8226,1.8075,1.8173,SGD
2001-04-05,1.8135,1.8165,1.8058,1.808,SGD
2001-04-06,1.8075,1.8189,1.805,1.813,SGD
2001-04-09,1.8105,1.8197,1.8105,1.8155,SGD
2001-04-10,1.8165,1.8205,1.811,1.8121,SGD
2001-04-11,1.8105,1.8115,1.8,1.8085,SGD
