Date,Open,High,Low,Close,Currency
2001-09-14,44.15,44.325,44.0,44.135,THB
2001-09-17,44.1,44.15,43.91,44.0,THB
2001-09-18,44.0,44.33,44.0,44.15,THB
2001-09-19,44.1,44.29,44.07,44.17,THB
2001-09-20,44.15,44.38,44.09,44.14,THB
2001-09-21,44.15,44.29,44.09,44.27,THB
2001-09-24,44.27,44.475,44.235,44.425,THB
2001-09-25,44.42,44.56,44.36,44.45,THB
2001-09-26,44.42,44.59,44.24,44.38,THB
2001-09-27,44.3,44.54,44.275,44.42,THB
2001-09-28,44.4,44.63,44.3,44.45,THB
2001-10-01,44.45,44.605,44.42,44.575,THB
2001-10-02,44.6,44.76,44.53,44.68,THB
2001-10-03,44.65,44.825,44.63,44.675,THB
2001-10-04,44.65,44.695,44.53,44.645,THB
2001-10-05,44.63,44.79,44.585,44.76,THB
2001-10-08,44.7,44.85,44.621,44.78,THB
2001-10-09,44.76,44.89,44.725,44.83,THB
2001-10-10,44.8,44.87,44.64,44.8,THB
2001-10-11,44.76,44.855,44.7,44.765,THB
2001-10-12,44.75,44.77,44.65,44.72,THB
2001-10-15,44.69,44.83,44.5,44.6,THB
2001-10-16,44.55,44.685,44.48,44.625,THB
2001-10-17,44.57,44.845,44.57,44.725,THB
2001-10-18,44.71,44.77,44.6,44.75,THB
2001-10-19,44.74,44.8,44.65,44.75,THB
2001-10-22,44.75,44.825,44.68,44.765,THB
2001-10-23,44.74,44.92,44.7,44.8,THB
2001-10-24,44.77,44.85,44.68,44.79,THB
2001-10-25,44.75,44.935,44.75,44.775,THB
2001-10-26,44.84,44.93,44.74,44.88,THB
2001-10-29,44.85,44.865,44.75,44.795,THB
2001-10-30,44.77,44.82,44.58,44.7,THB
2001-10-31,44.66,44.75,44.605,44.71,THB
2001-11-01,44.7,44.82,44.68,44.73,THB
2001-11-02,44.73,44.815,44.65,44.725,THB
2001-11-05,44.69,44.71,44.61,44.67,THB
2001-11-06,44.675,44.71,44.595,44.675,THB
2001-11-07,44.65,44.685,44.55,44.655,THB
2001-11-08,44.62,44.68,44.4,44.45,THB
2001-11-09,44.43,44.57,44.4,44.45,THB
2001-11-12,44.42,44.465,44.3,44.385,THB
2001-11-13,44.4,44.54,44.295,44.4,THB
2001-11-14,44.41,44.52,44.3,44.43,THB
2001-11-15,44.38,44.48,44.36,44.45,THB
2001-11-16,44.43,44.505,44.39,44.505,THB
2001-11-19,44.49,44.51,44.4,44.49,THB
2001-11-20,44.47,44.53,44.3,44.4,THB
2001-11-21,44.37,44.425,44.315,44.355,THB
2001-11-22,44.35,44.42,44.29,44.35,THB
2001-11-23,44.35,44.4,44.13,44.15,THB
2001-11-26,44.07,44.245,44.025,44.155,THB
