Date,Open,High,Low,Close,Currency
2001-01-02,0.6673,0.668,0.664,0.6651,TRY
2001-01-03,0.6638,0.667,0.6619,0.667,TRY
2001-01-04,0.6703,0.6706,0.6637,0.6654,TRY
2001-01-05,0.6635,0.6666,0.662,0.664,TRY
2001-01-08,0.6635,0.6669,0.6625,0.666,TRY
2001-01-09,0.6673,0.6698,0.666,0.6682,TRY
2001-01-10,0.6682,0.6701,0.6666,0.6698,TRY
2001-01-11,0.6688,0.6696,0.6639,0.6659,TRY
2001-01-12,0.665,0.6682,0.6635,0.6669,TRY
2001-01-15,0.6673,0.6699,0.6673,0.6698,TRY
2001-01-16,0.6701,0.6716,0.6686,0.6704,TRY
2001-01-17,0.6698,0.6744,0.6688,0.6729,TRY
2001-01-18,0.6714,0.6721,0.6687,0.6699,TRY
2001-01-19,0.6687,0.6738,0.6675,0.6736,TRY
2001-01-22,0.6726,0.6762,0.672,0.6726,TRY
2001-01-23,0.672,0.6732,0.6699,0.6727,TRY
2001-01-24,0.673,0.6779,0.6725,0.6775,TRY
2001-01-25,0.6776,0.6812,0.6761,0.6777,TRY
2001-01-26,0.6771,0.6797,0.6747,0.6781,TRY
2001-01-29,0.6776,0.6807,0.6769,0.6806,TRY
2001-01-30,0.6799,0.6817,0.6771,0.6777,TRY
2001-01-31,0.6772,0.6782,0.6745,0.6752,TRY
2001-02-01,0.6728,0.6737,0.6708,0.6728,TRY
2001-02-02,0.673,0.6769,0.6719,0.6756,TRY
2001-02-05,0.674,0.6753,0.6727,0.675,TRY
2001-02-06,0.6752,0.6786,0.6743,0.6778,TRY
2001-02-07,0.6777,0.6798,0.6762,0.6788,TRY
2001-02-08,0.6784,0.683,0.6782,0.6822,TRY
2001-02-09,0.6815,0.684,0.6791,0.6805,TRY
2001-02-12,0.6795,0.6806,0.6783,0.6799,TRY
2001-02-13,0.6788,0.6837,0.6787,0.6827,TRY
2001-02-14,0.6824,0.6837,0.6815,0.6831,TRY
2001-02-15,0.6828,0.6887,0.682,0.6883,TRY
2001-02-16,0.6871,0.6882,0.6845,0.6862,TRY
2001-02-19,0.6854,0.6866,0.6828,0.684,TRY
2001-02-20,0.6829,0.6876,0.6829,0.6875,TRY
2001-02-21,0.6869,0.6877,0.6872,0.6875,TRY
2001-02-22,0.88,1.3,0.88,1.05,TRY
