Date,Open,High,Low,Close,Currency
2001-01-02,32.97,33.12,32.9,32.95,TWD
2001-01-03,33.005,33.092,32.95,32.95,TWD
2001-01-04,33.03,33.03,32.92,32.95,TWD
2001-01-05,32.925,33.015,32.825,32.901,TWD
2001-01-08,32.86,32.86,32.675,32.7,TWD
2001-01-09,32.745,32.745,32.575,32.605,TWD
2001-01-10,32.68,32.71,32.6,32.6,TWD
2001-01-11,32.67,32.7,32.57,32.62,TWD
2001-01-12,32.62,32.749,32.62,32.62,TWD
2001-01-15,32.72,32.775,32.62,32.62,TWD
2001-01-16,32.7,32.736,32.55,32.62,TWD
2001-01-17,32.68,32.7,32.62,32.62,TWD
2001-01-18,32.63,32.665,32.6,32.62,TWD
2001-01-19,32.643,32.643,32.515,32.585,TWD
2001-01-22,32.585,32.588,32.525,32.565,TWD
2001-01-23,32.525,32.585,32.525,32.575,TWD
2001-01-24,32.55,32.6,32.55,32.55,TWD
2001-01-25,32.595,32.595,32.525,32.55,TWD
2001-01-26,32.55,32.575,32.525,32.55,TWD
2001-01-29,32.525,32.595,32.485,32.52,TWD
2001-01-30,32.53,32.53,32.14,32.14,TWD
2001-01-31,32.39,32.401,32.31,32.31,TWD
2001-02-01,32.36,32.428,32.32,32.34,TWD
2001-02-02,32.38,32.38,32.25,32.25,TWD
2001-02-05,32.34,32.411,32.25,32.28,TWD
2001-02-06,32.31,32.315,32.22,32.22,TWD
2001-02-07,32.26,32.34,32.22,32.22,TWD
2001-02-08,32.28,32.335,32.22,32.22,TWD
2001-02-09,32.295,32.355,32.225,32.225,TWD
2001-02-12,32.3,32.368,32.22,32.25,TWD
2001-02-13,32.35,32.385,32.25,32.3,TWD
2001-02-14,32.35,32.437,32.27,32.27,TWD
2001-02-15,32.33,32.43,32.26,32.3,TWD
2001-02-16,32.28,32.35,32.25,32.27,TWD
2001-02-19,32.255,32.305,32.225,32.285,TWD
2001-02-20,32.28,32.331,32.2,32.25,TWD
2001-02-21,32.27,32.338,32.2,32.25,TWD
2001-02-22,32.3,32.405,32.25,32.33,TWD
2001-02-23,32.35,32.4,32.3,32.35,TWD
2001-02-26,32.35,32.415,32.35,32.35,TWD
2001-02-27,32.35,32.445,32.32,32.33,TWD
2001-02-28,32.35,32.4,32.3,32.35,TWD
2001-03-01,32.35,32.432,32.33,32.33,TWD
2001-03-02,32.35,32.408,32.31,32.35,TWD
2001-03-05,32.41,32.411,32.34,32.35,TWD
2001-03-06,32.35,32.4,32.33,32.35,TWD
2001-03-07,32.35,32.42,32.33,32.37,TWD
2001-03-08,32.35,32.43,32.34,32.37,TWD
2001-03-09,32.38,32.452,32.35,32.4,TWD
2001-03-12,32.44,32.52,32.35,32.43,TWD
2001-03-13,32.47,32.558,32.43,32.52,TWD
2001-03-14,32.55,32.596,32.48,32.48,TWD
2001-03-15,32.59,32.6,32.48,32.56,TWD
2001-03-16,32.6,32.733,32.43,32.68,TWD
2001-03-19,32.68,32.842,32.68,32.75,TWD
2001-03-20,32.78,32.83,32.75,32.77,TWD
2001-03-21,32.77,32.913,32.77,32.77,TWD
2001-03-22,32.77,32.915,32.77,32.87,TWD
2001-03-23,32.908,32.908,32.745,32.755,TWD
2001-03-26,32.79,32.85,32.65,32.67,TWD
2001-03-27,32.68,32.73,32.6,32.62,TWD
2001-03-28,32.65,32.7,32.61,32.62,TWD
2001-03-29,32.62,32.805,32.62,32.75,TWD
2001-03-30,32.75,32.89,32.75,32.8,TWD
2001-04-02,32.85,32.988,32.8,32.92,TWD
2001-04-03,32.95,32.95,32.83,32.87,TWD
2001-04-04,32.9,33.02,32.83,32.95,TWD
2001-04-05,33.029,33.029,32.83,32.85,TWD
2001-04-06,32.85,32.97,32.83,32.85,TWD
2001-04-09,32.89,32.975,32.84,32.96,TWD
2001-04-10,32.97,32.97,32.9,32.94,TWD
2001-04-11,32.92,32.95,32.88,32.92,TWD
2001-04-12,32.92,32.94,32.86,32.87,TWD
2001-04-13,32.9,32.92,32.88,32.92,TWD
2001-04-16,32.945,32.976,32.895,32.905,TWD
2001-04-17,32.945,32.998,32.705,32.915,TWD
2001-04-18,32.895,32.97,32.805,32.915,TWD
2001-04-19,32.87,32.924,32.8,32.8,TWD
2001-04-20,32.82,32.92,32.8,32.86,TWD
2001-04-23,32.91,32.948,32.85,32.89,TWD
2001-04-24,32.93,32.93,32.85,32.87,TWD
2001-04-25,32.87,32.957,32.87,32.88,TWD
2001-04-26,32.95,32.967,32.87,32.92,TWD
2001-04-27,32.93,32.977,32.9,32.92,TWD
2001-04-30,32.93,32.95,32.87,32.89,TWD
2001-05-01,32.875,32.875,32.835,32.855,TWD
2001-05-02,32.87,32.928,32.85,32.85,TWD
2001-05-03,32.87,32.92,32.85,32.85,TWD
2001-05-04,32.86,32.934,32.85,32.86,TWD
2001-05-07,32.88,32.88,32.85,32.86,TWD
2001-05-08,32.88,32.924,32.85,32.86,TWD
2001-05-09,32.87,32.93,32.85,32.86,TWD
2001-05-10,32.89,32.93,32.85,32.87,TWD
2001-05-11,32.85,32.926,32.85,32.87,TWD
2001-05-14,32.88,32.93,32.85,32.88,TWD
2001-05-15,32.93,32.98,32.88,32.9,TWD
2001-05-16,32.957,33.007,32.9,32.95,TWD
2001-05-17,32.96,33.0,32.91,32.91,TWD
2001-05-18,32.94,32.99,32.91,32.93,TWD
2001-05-21,33.05,33.506,33.05,33.4,TWD
2001-05-22,33.5,33.5,33.37,33.42,TWD
2001-05-23,33.44,33.48,33.37,33.4,TWD
2001-05-24,33.45,33.508,33.37,33.45,TWD
2001-05-25,33.49,33.55,33.45,33.5,TWD
2001-05-28,33.48,33.544,33.48,33.5,TWD
2001-05-29,34.13,34.18,33.98,34.0,TWD
2001-05-30,34.02,34.095,33.97,33.97,TWD
2001-05-31,34.05,34.05,33.9,33.9,TWD
2001-06-01,33.96,34.119,33.9,34.05,TWD
2001-06-04,34.07,34.161,34.0,34.05,TWD
2001-06-05,34.115,34.116,34.03,34.03,TWD
2001-06-06,34.07,34.124,34.03,34.05,TWD
2001-06-07,34.105,34.124,34.05,34.05,TWD
2001-06-08,34.12,34.13,34.03,34.05,TWD
2001-06-11,34.1,34.127,34.04,34.05,TWD
2001-06-12,34.05,34.115,34.05,34.05,TWD
2001-06-13,34.08,34.49,34.05,34.38,TWD
2001-06-14,34.4,34.445,34.36,34.38,TWD
2001-06-15,34.37,34.48,34.37,34.44,TWD
2001-06-18,34.47,34.47,34.34,34.44,TWD
2001-06-19,34.38,34.44,34.34,34.44,TWD
2001-06-20,34.443,34.443,34.35,34.44,TWD
2001-06-21,34.45,34.538,34.37,34.46,TWD
2001-06-22,34.506,34.541,34.45,34.45,TWD
2001-06-25,34.45,34.484,34.43,34.45,TWD
2001-06-26,34.43,34.46,34.39,34.41,TWD
2001-06-27,34.41,34.506,34.4,34.43,TWD
2001-06-28,34.49,34.515,34.39,34.47,TWD
2001-06-29,34.47,34.485,34.43,34.43,TWD
2001-07-02,34.46,34.5,34.42,34.42,TWD
2001-07-03,34.41,34.477,34.4,34.4,TWD
2001-07-04,34.403,34.44,34.363,34.43,TWD
2001-07-05,34.43,34.51,34.4,34.46,TWD
2001-07-06,34.48,34.52,34.44,34.47,TWD
2001-07-09,34.5,34.625,34.485,34.535,TWD
2001-07-10,34.55,34.711,34.455,34.555,TWD
2001-07-11,34.72,35.1,34.6,34.95,TWD
2001-07-12,35.0,35.07,34.95,34.95,TWD
2001-07-13,34.92,35.03,34.92,34.97,TWD
2001-07-16,35.02,35.113,34.95,34.95,TWD
2001-07-17,35.06,35.104,34.95,35.0,TWD
2001-07-18,35.0,35.13,34.95,35.02,TWD
