Date,Open,High,Low,Close,Currency
2001-01-02,7.585,7.5975,7.5475,7.5675,ZAR
2001-01-03,7.55,7.5875,7.46,7.58,ZAR
2001-01-04,7.575,7.6237,7.46,7.5268,ZAR
2001-01-05,7.5231,7.5633,7.47,7.5148,ZAR
2001-01-08,7.51,7.6017,7.51,7.59,ZAR
2001-01-09,7.605,7.7475,7.58,7.735,ZAR
2001-01-10,7.715,7.9762,7.685,7.9325,ZAR
2001-01-11,7.9,7.985,7.83,7.8425,ZAR
2001-01-12,7.8325,7.8863,7.78,7.825,ZAR
2001-01-15,7.825,7.9225,7.8075,7.84,ZAR
2001-01-16,7.8475,7.885,7.7725,7.79,ZAR
2001-01-17,7.795,7.855,7.735,7.835,ZAR
2001-01-18,7.815,7.925,7.805,7.8675,ZAR
2001-01-19,7.853,7.95,7.845,7.895,ZAR
2001-01-22,7.9,7.945,7.8575,7.87,ZAR
2001-01-23,7.87,7.8825,7.816,7.833,ZAR
2001-01-24,7.845,7.895,7.82,7.88,ZAR
2001-01-25,7.8825,7.915,7.8475,7.875,ZAR
2001-01-26,7.885,7.9488,7.869,7.88,ZAR
2001-01-29,7.875,7.8888,7.8525,7.88,ZAR
2001-01-30,7.87,7.915,7.7725,7.787,ZAR
2001-01-31,7.77,7.8083,7.73,7.7475,ZAR
2001-02-01,7.735,7.77,7.7,7.725,ZAR
2001-02-02,7.725,7.7875,7.705,7.77,ZAR
2001-02-05,7.77,7.8035,7.745,7.765,ZAR
2001-02-06,7.765,7.8073,7.757,7.78,ZAR
2001-02-07,7.78,7.895,7.75,7.8925,ZAR
2001-02-08,7.885,8.01,7.885,7.985,ZAR
2001-02-09,7.97,8.0275,7.85,7.875,ZAR
2001-02-12,7.87,7.875,7.81,7.8225,ZAR
2001-02-13,7.817,7.945,7.805,7.935,ZAR
2001-02-14,7.93,7.965,7.86,7.885,ZAR
2001-02-15,7.88,7.885,7.76,7.875,ZAR
2001-02-16,7.87,7.9162,7.815,7.8339,ZAR
2001-02-19,7.815,7.825,7.715,7.7527,ZAR
2001-02-20,7.73,7.8083,7.7125,7.7425,ZAR
2001-02-21,7.7375,7.825,7.735,7.8125,ZAR
2001-02-22,7.805,7.8738,7.79,7.84,ZAR
2001-02-23,7.83,7.885,7.78,7.815,ZAR
