code,start_time,end_time,volatility,sharpe_ratio,holding_period,,
Portfolio,11-Apr-02,31-Jan-20,0.016030726,1.145533238,21.79083528,,
AUDUSD,15-Apr-02,31-Jan-20,0.007964176,0.310783018,15.44072165,,16.56535798
EURUSD,15-Apr-02,31-Jan-20,0.008287893,0.327295988,14.73766234,,
GBPUSD,15-Apr-02,31-Jan-20,0.008811836,0.004501311,13.31724138,,
NZDUSD,15-Apr-02,31-Jan-20,0.008237463,0.351007049,16.2,,
USDCAD,15-Apr-02,31-Jan-20,0.007907322,0.094771929,14.76883117,,
USDCHF,15-Apr-02,31-Jan-20,0.010743717,-0.065285952,13.83497537,,
USDJPY,15-Apr-02,31-Jan-20,0.008735832,0.172744799,13.46650124,,
USDNOK,15-Apr-02,31-Jan-20,0.008792997,0.403116399,15.65091864,,
USDSEK,15-Apr-02,31-Jan-20,0.008022512,0.21671085,14.75443038,,
USDBRL,12-Apr-02,31-Jan-20,0.012114342,0.493439205,15.9327957,,
USDCLP,12-Apr-02,31-Jan-20,0.010245065,0.629190132,15.37400531,,
USDCOP,11-Apr-02,31-Jan-20,0.009676668,0.8154213,17.53623188,,
USDCZK,12-Apr-02,31-Jan-20,0.007712731,0.342889683,16.4375,,
USDHUF,12-Apr-02,31-Jan-20,0.007840213,0.086011945,14.73209549,,
USDILS,11-Apr-02,31-Jan-20,0.007541805,0.417854829,17.26857143,,
USDINR,15-Apr-02,31-Jan-20,0.009323666,0.7430116,19.64900662,,
USDKRW,11-Apr-02,31-Jan-20,0.011639983,0.307691713,15.10187668,,
USDMXN,12-Apr-02,31-Jan-20,0.009466894,0.179616572,15.00544959,,
USDMYR,15-Apr-02,31-Jan-20,0.152368288,0.282364581,19.31103679,,
USDPHP,12-Apr-02,31-Jan-20,0.006396653,0.120572684,19.09872611,,
USDPLN,15-Apr-02,31-Jan-20,0.008157228,0.184246984,15.39257294,,
USDRON,12-Apr-02,31-Jan-20,0.007897828,0.209816071,17.07309942,,
USDSGD,15-Apr-02,31-Jan-20,0.008111296,0.429178198,17.62880886,,
USDTHB,12-Apr-02,31-Jan-20,0.010005435,0.886851515,25.49606299,,
USDTRY,12-Apr-02,31-Jan-20,0.010196789,0.349746837,15.92915531,,
USDTWD,19-Apr-02,31-Jan-20,0.008660234,1.025583936,23.92277992,,
USDZAR,12-Apr-02,31-Jan-20,0.008643451,-0.058541337,14.20360825,,
