date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value
731317,0,0,0,0,0,0,0,0,0,0,0
731318,0,0,0,0,0,0,0,0,0,0,0
731321,0,0,0,0,0,0,0,0,0,0,0
731322,-8081.8727,-9358.8999,-6684.0336,-8081.8727,-8081.8727,-8081.8727,-8081.8727,0,-16163.7455,-8081.8727,-8081.8727
731323,113364.748,131277.6585,93757.2033,113364.748,297554.3443,113364.748,113364.748,0,226729.4959,113364.748,113364.748
731324,425967.2389,431387.3546,400740.0012,354137.6257,671908.2661,425967.2389,425967.2389,0,552358.3911,425967.2389,425967.2389
731325,1024410.2227,1031008.0902,981964.2746,980637.5224,1351899.5306,1024410.2227,1024410.2227,0,1246794.4341,1024410.2227,1024410.2227
731328,1068038.9078,1124542.5195,1002282.6511,918590.7767,1416430.8832,1068038.9078,1068038.9078,0,1288702.2114,1068038.9078,1068038.9078
731329,781315.3348,840575.658,706568.5357,653037.163,1096340.387,781315.3348,781315.3348,0,1001247.7931,781315.3348,781315.3348
731330,2037655.4043,2086552.0439,1998356.7915,1848724.7838,2382893.6917,2037655.4043,2037655.4043,0,2261001.5796,2037655.4043,2037655.4043
731331,3612492.1181,3652782.1631,3547899.6999,3332179.6635,4122189.8582,3612492.1181,3612492.1181,0,3840385.5987,3612492.1181,3612492.1181
731332,5311346.6288,5250104.0037,5294799.6962,4915649.7352,5784035.7572,5311346.6288,5311346.6288,5211.1407,5542581.564,5311346.6288,5311346.6288
731335,5269395.9424,5232143.2724,5209370.0849,4898174.7889,5702556.4463,5269395.9424,5269395.9424,81822.9012,5503118.6769,5269395.9424,5269395.9424
731336,4634225.1923,4668821.7412,4546691.8464,4321880.0937,5053025.0101,4634225.1923,4634225.1923,-189532.4066,4873196.4145,4634225.1923,4634225.1923
731337,6701196.0536,6631806.0343,6649627.0149,6343961.947,7125049.0818,6701196.0536,6701196.0536,713947.4112,6939608.7495,6701196.0536,6701196.0536
731338,6024769.4393,6069773.5888,5871342.0442,5559811.4093,6529204.5539,6024769.4393,6024769.4393,432569.4096,6270670.2725,6024769.4393,6024769.4393
731339,9343289.3418,9294920.5583,9170421.7686,8725815.3075,9869050.3954,9343289.3418,9360975.446,2578134.336,9623353.4671,9343289.3418,9343289.3418
