code,Start time,End time,Annualized rate of return,System 1,,,System 2,,,volatility,sharpe ratio,holding period
,,,,transactions,trading interval,odds,transactions,trading interval,odds,,,
AUDUSD,15-Apr-02,31-Jan-20,3.49,127,36.57,37.80,68,68.31,32.35,0.01,0.33,15.30
EURUSD,15-Apr-02,31-Jan-20,4.00,127,36.57,35.43,66,70.38,34.85,0.01,0.36,14.90
GBPUSD,15-Apr-02,31-Jan-20,-1.25,146,31.82,28.08,76,61.12,27.63,0.01,-0.02,13.22
NZDUSD,15-Apr-02,31-Jan-20,3.17,124,37.46,37.10,65,71.46,36.92,0.01,0.31,16.14
USDCAD,15-Apr-02,31-Jan-20,0.13,129,36.01,31.01,68,68.31,32.35,0.01,0.07,14.54
USDCHF,15-Apr-02,31-Jan-20,-2.77,134,34.66,33.58,70,66.36,32.86,0.01,-0.06,13.70
USDJPY,15-Apr-02,31-Jan-20,2.08,137,33.91,32.85,65,71.46,33.85,0.01,0.22,13.50
USDNOK,15-Apr-02,31-Jan-20,4.22,122,38.07,37.70,70,66.36,34.29,0.01,0.36,15.50
USDSEK,15-Apr-02,31-Jan-20,1.82,133,34.92,34.59,67,69.33,35.82,0.01,0.21,14.65
USDBRL,12-Apr-02,31-Jan-20,7.83,124,37.46,34.68,65,71.46,33.85,0.01,0.48,15.84
USDCLP,12-Apr-02,31-Jan-20,8.97,133,34.92,37.59,61,76.15,42.62,0.01,0.61,15.27
USDCOP,11-Apr-02,31-Jan-20,10.55,109,42.61,48.62,65,71.46,41.54,0.01,0.75,17.66
USDCZK,12-Apr-02,31-Jan-20,2.60,120,38.71,40.83,69,67.32,39.13,0.01,0.27,16.26
USDHUF,12-Apr-02,31-Jan-20,-0.28,132,35.19,31.06,61,76.15,39.34,0.01,0.04,14.37
USDILS,11-Apr-02,31-Jan-20,4.43,120,38.71,43.33,59,78.73,45.76,0.01,0.43,17.11
USDINR,15-Apr-02,31-Jan-20,10.38,105,44.24,40.00,53,87.64,49.06,0.01,0.74,19.62
USDKRW,11-Apr-02,31-Jan-20,4.29,123,37.76,34.96,69,67.32,27.54,0.01,0.32,14.96
USDMXN,12-Apr-02,31-Jan-20,1.24,129,36.01,35.66,60,77.42,35.00,0.01,0.16,14.80
USDMYR,15-Apr-02,31-Jan-20,11.87,101,45.99,38.61,53,87.64,45.28,0.01,0.78,16.86
USDPHP,12-Apr-02,31-Jan-20,0.73,103,45.10,35.92,55,84.45,41.82,0.01,0.12,19.02
USDPLN,15-Apr-02,31-Jan-20,1.33,127,36.57,34.65,66,70.38,31.82,0.01,0.17,15.19
USDRON,12-Apr-02,31-Jan-20,1.39,113,41.11,31.86,65,71.46,32.31,0.01,0.17,16.45
USDSGD,15-Apr-02,31-Jan-20,4.83,121,38.39,41.32,58,80.09,36.21,0.01,0.43,17.85
USDTHB,12-Apr-02,31-Jan-20,14.51,80,58.06,55.00,52,89.33,53.85,0.01,0.94,25.38
USDTRY,12-Apr-02,31-Jan-20,3.95,120,38.71,38.33,67,69.33,32.84,0.01,0.32,15.59
USDTWD,19-Apr-02,31-Jan-20,13.47,86,54.01,46.51,49,94.80,59.18,0.01,0.99,23.19
USDZAR,12-Apr-02,31-Jan-20,-1.88,131,35.46,30.53,68,68.31,27.94,0.01,-0.07,14.00
