code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,11-Apr-2002,31-Jan-2020,2555.67632683615,0.765442690419766,13.6086589595
AUDUSD,15-Apr-2002,31-Jan-2020,119.168462599841,0.191243589748813,12.5303206937872
EURUSD,15-Apr-2002,31-Jan-2020,163.846122872731,0.176873191176428,12.6093330047856
GBPUSD,15-Apr-2002,31-Jan-2020,95.6295534440172,-0.0304061964445416,11.571421350681
NZDUSD,15-Apr-2002,31-Jan-2020,111.952198066187,0.160335169510171,13.148757898837
USDCAD,15-Apr-2002,31-Jan-2020,150.039776022227,-0.012090305929636,12.0303506616856
USDCHF,15-Apr-2002,31-Jan-2020,199.197398301538,-0.0741769872160107,11.8904628632939
USDJPY,15-Apr-2002,31-Jan-2020,14638.2951338942,0.139813492953876,11.2208396124865
USDNOK,15-Apr-2002,31-Jan-2020,1377.86089503657,0.278834812654946,12.974983853606
USDSEK,15-Apr-2002,31-Jan-2020,1267.0458089776,0.0875622679049005,12.5314192363705
USDBRL,12-Apr-2002,31-Jan-2020,588.968552022025,0.300701965690922,13.4055292073879
USDCLP,12-Apr-2002,31-Jan-2020,212551.691033262,0.339321689487854,12.6195586391678
USDCOP,11-Apr-2002,31-Jan-2020,1277310.42317854,0.386294883071369,14.8895552021979
USDCZK,12-Apr-2002,31-Jan-2020,4029.66881393311,0.139514118635378,13.807971980785
USDHUF,12-Apr-2002,31-Jan-2020,18873.5721088742,-0.099542627195155,11.5010695554589
USDILS,11-Apr-2002,31-Jan-2020,567.251521002424,0.303395951349647,14.0614051246768
USDINR,15-Apr-2002,31-Jan-2020,28035.8315924399,0.339638401398938,16.763057050592
USDKRW,11-Apr-2002,31-Jan-2020,334134.343796527,0.204100507427087,13.2770392525822
USDMXN,12-Apr-2002,31-Jan-2020,822.170570750323,-0.0185341509613179,11.9580161941173
USDMYR,15-Apr-2002,31-Jan-2020,938.139638563409,0.747940869326893,13.9528778572785
USDPHP,12-Apr-2002,31-Jan-2020,4258.06554509894,0.0719272668045633,15.3019375672766
USDPLN,15-Apr-2002,31-Jan-2020,433.551580175257,0.0989587258958529,12.6493443228336
USDRON,12-Apr-2002,31-Jan-2020,330.99535522591,0.0703587214951816,13.8693539152143
USDSGD,15-Apr-2002,31-Jan-2020,203.12118422377,0.276702265456308,13.5380277627161
USDTHB,12-Apr-2002,31-Jan-2020,20687.4733910543,0.698200830253544,20.6736305056254
USDTRY,12-Apr-2002,31-Jan-2020,204.207013827843,0.277001161416755,13.4188276739407
USDTWD,19-Apr-2002,31-Jan-2020,18676.9874007912,0.692627231706122,19.4047562504855
USDZAR,12-Apr-2002,31-Jan-2020,1017.21097672478,-0.101082614998399,11.8339446686291
