date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right
731317,0,0,0,0,0,0,0,0,0,0,0,0
731318,0,0,0,0,0,0,0,0,0,0,0,0
731321,0,0,0,0,0,0,0,0,0,0,0,0
731322,-8.0819,-9.3589,-6.684,-8.0819,-8.0819,-8.0819,-8.0819,0,-16.1637,-8.0819,-8.0819,-5.0249
731323,121.3923,140.5737,100.3963,121.3923,305.5819,121.3923,121.3923,0,242.7846,121.3923,121.3923,75.4753
731324,312.6848,300.205,307.0508,240.8552,374.0758,312.6848,312.6848,0,325.7934,312.6848,312.6848,304.2548
731325,598.3381,599.624,581.0187,626.4499,679.5307,598.3381,598.3381,0,694.9212,598.3381,598.3381,582.9516
731328,44.8428,94.5896,21.6718,-60.7231,65.0994,44.8428,44.8428,0,42.8064,44.8428,44.8428,12.6325
731329,-287.7109,-285.0677,-296.5571,-266.5162,-320.8878,-287.7109,-287.7109,0,-288.5777,-287.7109,-287.7109,-301.1718
731330,1257.1225,1246.9104,1292.391,1196.4274,1286.8493,1257.1225,1257.1225,0,1261.1361,1257.1225,1257.1225,1342.5407
731331,1572.3285,1563.7598,1547.3678,1482.0027,1735.2742,1572.3285,1572.3285,0,1577.6605,1572.3285,1572.3285,1620.2589
731332,1692.5099,1591.9422,1739.7888,1578.2605,1652.5784,1692.5099,1692.5099,5.2111,1696.4641,1692.5099,1692.5099,1750.0215
731335,-42.6466,-18.3571,-86.0021,-18.3339,-82.947,-42.6466,-42.6466,76.6139,-39.7033,-42.6466,-42.6466,-84.916
731336,-625.3915,-553.8351,-652.7423,-567.637,-638.9324,-625.3915,-625.3915,-271.4267,-619.1481,-625.3915,-625.3915,-649.3124
731337,2050.0163,1946.6863,2085.2344,2007.0235,2055.7002,2050.0163,2050.0163,903.9642,2049.3491,2050.0163,2050.0163,2105.8307
731338,-666.407,-552.3159,-769.0311,-774.3429,-587.0478,-666.407,-666.407,-281.8654,-657.4762,-666.407,-666.407,-923.3385
731339,3290.5324,3199.0416,3269.9456,3139.0951,3312.1552,3290.5324,3308.2185,2144.0046,3324.9668,3290.5324,3290.5324,3412.1863
731342,1103.973,1127.5794,1133.6832,1103.1251,1163.9735,1103.973,1018.9998,958.4103,1157.3192,1103.973,1103.973,1165.8349
731343,-444.2198,-495.1868,-383.7662,-425.1122,-505.5722,-444.2198,-458.8554,-175.8916,-383.0895,-444.2198,-444.2198,-500.554
731344,-2883.7629,-2830.7343,-2819.2725,-2870.5693,-2891.0336,-2883.7629,-2956.5667,-2745.5719,-2875.5831,-2883.7629,-2883.7629,-2889.5429
731345,1730.4452,1787.6053,1711.6252,1728.711,1815.1381,1730.4452,1538.7947,1198.7138,1870.2444,1730.4452,1730.4452,1889.287
731346,2032.5968,1977.2915,2036.066,2023.531,1987.2104,2032.5968,1982.5411,1639.9887,2035.6495,2032.5968,2032.5968,2025.4434
731349,98.7944,106.9585,96.9675,120.5813,133.5899,98.7944,189.5456,26.58,112.8364,98.7944,98.7944,-42.1845
731350,-2242.1608,-2165.596,-2333.4739,-2251.2388,-2286.1982,-2411.5238,-2105.4009,-2032.1189,-2252.9593,-2072.7977,-2242.1608,-2469.8331
731351,2236.3233,2170.2045,2206.3573,2216.4045,2181.5205,2386.7011,1645.1027,2132.0473,2336.1314,2085.9455,2236.3233,2404.1401
731352,-7.1382,-0.043304,-59.1985,-20.0414,2.6546,-74.5974,113.9029,22.5886,161.9366,60.321,-7.1382,-95.9728
731353,4148.8661,4006.4554,4124.6556,4122.4979,4151.8372,4167.1363,3568.3367,3629.7927,4336.6272,4130.5959,4148.8661,4125.2582
731356,1421.5817,1425.2208,1314.3853,1408.9954,1424.9865,1434.2303,1368.6432,1228.1058,1421.9339,1408.9331,1421.5817,1266.7241
731357,479.4198,487.1889,443.7176,468.7479,468.2373,501.9062,309.8705,428.5298,468.8049,456.9334,479.4198,512.4775
731358,1389.2126,1421.2494,1286.1181,1376.4062,1452.0141,1375.1586,1063.6889,1408.8821,1393.6595,1403.2666,1389.2126,1433.4067
731359,-1058.3919,-990.3192,-1056.7745,-1050.6506,-1058.9163,-1111.7971,-827.5441,-1115.7059,-1056.7759,-1004.9867,-1058.3919,-1005.7777
731360,-540.7169,-525.3382,-551.1461,-544.1337,-540.3063,-501.3657,-319.8811,-599.6782,-549.3703,-580.0681,-540.7169,-493.6991
731363,441.6351,424.1671,412.6657,432.9434,442.8054,350.4297,410.8218,439.42,430.0212,532.8406,441.6351,406.7975
731364,2857.6127,2800.81,2951.7507,2853.3375,2856.8871,3080.1825,2377.3583,2659.4092,2874.8246,2635.043,2857.6127,3058.3916
731365,1757.0813,1751.5555,1677.2505,1741.6477,1764.834,1810.4865,1543.7978,1722.1898,1773.1069,1703.6761,1757.0813,1661.1895
731366,1660.4914,1687.5621,1606.6926,1640.6316,1659.993,1778.748,1439.3821,1534.4118,1664.9184,1542.2348,1660.4914,1617.6881
731367,-916.4783,-904.321,-973.379,-914.9918,-861.0425,-1197.2135,-725.2745,-821.9519,-921.4437,-635.7431,-916.4783,-1030.0851
731370,2271.9103,2214.9758,2259.0609,2264.1303,2332.924,2327.213,1991.6848,2203.8897,2280.7618,2216.6075,2271.9103,2375.2811
731371,765.6926,748.8268,729.1901,780.4704,772.0808,668.9521,903.5491,761.1129,786.2131,862.4331,765.6926,622.0895
731372,-900.5038,-882.4049,-894.992,-893.8689,-901.1844,-1086.8589,-929.1043,-744.9086,-896.3187,-714.1487,-900.5038,-792.0623
731373,1735.0195,1612.4025,1833.688,1750.0178,1807.3037,1764.8081,1412.7923,1723.2416,1750.4131,1705.2308,1722.5935,1845.0814
731374,-921.1013,-883.0194,-857.6175,-910.3558,-988.2628,-908.4637,-780.6514,-1004.9268,-918.9961,-933.7389,-802.3907,-827.0372
731377,-789.8228,-760.2187,-846.5111,-793.1392,-824.5097,-762.3973,-751.2431,-701.6749,-789.6104,-817.2483,-762.7137,-872.2085
731378,2206.1757,2227.7824,2125.5324,2198.6457,2298.1092,2407.5241,2129.7156,2139.5777,2230.2406,2004.8273,2260.5337,2172.168
731379,1.1086,-1.7204,46.2931,24.2603,56.7413,-57.2716,324.0311,-121.9265,27.3697,49.5146,1.1086,-23.9034
731380,-1206.733,-1183.3872,-1173.4216,-1221.4994,-1139.5642,-1262.3497,-1230.4045,-1152.5338,-1226.563,-1136.668,-1206.733,-1129.0487
731381,827.2014,811.5342,795.9991,825.2059,725.7489,908.5933,728.1332,655.7633,854.7783,807.9779,738.3714,812.5504
731384,-920.6184,-948.2316,-897.8685,-936.0896,-892.5962,-947.4892,-738.0828,-785.348,-925.8307,-863.8253,-900.1968,-941.8642
731385,2550.8504,2458.6279,2468.8455,2548.6508,2504.7265,3091.8055,2169.9171,2468.3755,2556.8764,2154.7323,2592.9144,2630.066
731386,2374.6624,2249.3058,2296.3966,2313.5294,2258.8131,2481.2709,2133.1244,2128.4768,2381.9097,2287.8952,2349.4541,2373.0723
731387,3213.4092,3170.1197,3073.5083,3203.8775,3125.0452,3937.2359,2862.4854,3263.6747,3238.738,2590.3977,3196.6171,3156.9979
731388,3323.9641,3194.2136,3110.122,3314.546,3151.0764,3746.7721,2954.185,3186.8109,3341.0146,2951.5981,3290.4333,3075.9732
731391,-289.7407,-273.1179,-226.7152,-300.0499,-257.8445,-546.2084,-157.5501,-198.2278,-297.6036,-173.9989,-289.7407,-243.6012
731392,1871.041,1813.3512,1773.9659,1873.2508,1845.5063,2349.2918,1585.5898,1893.8523,1885.9999,1670.6344,1871.041,1872.9942
731393,1710.3413,1697.8307,1636.7648,1702.1844,1600.7008,1783.8057,1807.3362,1902.1486,1744.7371,1989.5761,1618.3963,1584.444
731394,1311.8137,1399.8397,1274.3139,1284.918,1412.2136,1678.4795,1016.8065,1303.4658,1290.1278,1154.9659,1250.7461,1583.2088
731395,-604.0768,-555.7667,-435.3577,-597.8811,-508.1036,-699.2549,-484.1332,-431.0289,-611.007,-576.8043,-604.0768,-352.936
731398,984.6522,914.4596,922.0567,994.6967,987.1787,970.1252,791.8069,1022.9047,991.8057,1061.895,966.048,935.4415
731399,433.4689,349.3252,337.8013,431.5838,203.9909,312.9951,309.9629,364.1207,459.676,412.9433,313.5187,121.9256
731400,-1704.1053,-1641.4918,-1668.9343,-1694.9828,-1646.3984,-2038.1836,-1308.1187,-1789.7605,-1703.783,-1533.4001,-1697.1304,-1741.5558
731401,-1179.006,-1141.2999,-1098.4859,-1171.1338,-1190.8063,-1269.2522,-883.8461,-1111.7179,-1177.3059,-1090.2838,-1058.8354,-1093.5936
731402,-290.875,-335.5339,-386.5729,-281.9141,-482.8808,-359.1446,-178.6445,-412.4743,-293.0839,-287.5818,-323.0367,-542.32
731405,5086.961,4980.334,5009.4136,5053.6453,5064.8901,5922.1924,4002.5514,5186.6776,5121.2701,4746.6957,5148.4043,5167.6668
731406,1368.3679,1388.2657,1312.6771,1348.8821,1401.1993,1351.9172,1426.3737,1286.818,1347.9687,1495.147,1267.7836,1334.2158
731407,120.0682,63.7048,147.6543,131.199,105.2811,11.7455,489.4446,-40.6153,128.1777,162.071,222.3003,79.8849
731408,-854.4836,-803.9664,-779.1993,-865.0997,-765.4695,-1009.6754,-520.5765,-860.2888,-864.0136,-772.7692,-903.6761,-844.6078
731409,482.738,449.0346,509.037,487.3554,478.5602,633.4417,361.8653,487.145,478.2662,232.5758,421.5564,486.1563
731412,3056.3126,2948.2961,3031.1687,3053.6928,2993.2247,3429.8983,2360.5126,3312.205,3065.9951,2863.7308,3094.6273,3068.3044
731413,1838.7814,1757.4452,1902.2075,1835.1128,1869.0118,1958.7044,1552.0699,1851.0531,1839.7186,1844.399,1835.8134,1961.7355
731414,-812.9491,-864.171,-811.0728,-808.7555,-850.4743,-1212.7786,-549.984,-825.5156,-818.3954,-545.1345,-782.7239,-932.356
731415,-437.8533,-395.3149,-329.7703,-441.9167,-248.5727,-438.1908,-247.5999,-340.365,-441.2935,-371.4377,-439.3448,-194.3444
731416,626.4771,606.7899,435.4878,622.7225,605.899,694.4679,451.2015,653.5034,630.3752,677.1833,625.6489,457.5013
731419,-1254.621,-1228.1014,-1246.8387,-1252.0294,-1051.6526,-1839.1079,-988.087,-1224.1695,-1251.6303,-729.2181,-1245.9599,-1409.2412
731420,-3202.5795,-3209.9687,-3254.5297,-3187.8506,-3281.4299,-3904.6838,-2390.7605,-3630.9449,-3065.7525,-3175.6374,-3405.0758,-3387.8558
731421,379.5333,357.4126,385.6631,383.027,350.8937,906.1954,138.9866,523.5154,314.6066,134.4818,437.4759,436.2649
731422,2165.9115,2033.9939,2128.0241,2178.9653,1803.4062,2601.1015,1519.2366,2246.0421,2248.5277,2021.271,2426.7025,2167.2087
731423,-4670.721,-4471.9101,-4631.933,-4650.4675,-4390.3826,-5767.7771,-2984.8459,-4795.9823,-4599.5342,-4214.9553,-5226.0376,-4607.2927
731426,434.9053,273.8494,505.3079,483.0917,315.9881,194.8891,-122.9094,235.3723,396.6913,565.2187,90.7925,334.6906
731427,1508.9787,1443.088,1443.1245,1513.3226,1467.9583,1616.9149,1176.2818,1395.6026,1502.5223,1329.282,1980.9864,1390.6866
731428,1241.8998,1225.5666,1095.0771,1248.1932,989.7751,1166.7806,783.4289,1042.9787,1270.143,1123.9584,1052.273,1040.8263
731429,-1994.5893,-1986.3801,-1965.9498,-2045.0966,-1843.2638,-1764.2882,-840.5493,-2087.5675,-2001.3751,-2206.1883,-1980.3568,-1809.8739
731430,-766.397,-720.8378,-703.8595,-782.4074,-706.9762,-294.1013,-241.9813,-625.4147,-772.394,-1068.2744,-926.3787,-620.8671
731433,645.9777,525.9716,709.1663,685.3055,728.3271,-89.0483,286.6394,452.4271,828.8378,1271.9051,362.6329,568.1881
731434,-2390.306,-2532.0548,-2242.9482,-2374.8803,-2344.5852,-3512.805,-2008.3367,-2727.2743,-2404.2418,-1567.9393,-3023.4706,-2291.9941
731435,-851.1712,-823.8896,-808.4741,-861.1536,-860.9253,-757.9818,-740.4995,-805.5129,-923.5647,-945.9339,26.9865,-779.6177
731436,-1833.477,-1681.2672,-1774.0149,-1846.5288,-1751.476,-1862.0275,-1232.7588,-1541.5317,-1839.9693,-1797.9704,-2532.3058,-1693.3592
731437,-434.955,-388.7534,-458.4169,-438.4473,-467.1745,118.0784,-168.557,-208.8195,-464.1841,-1074.8609,-38.0784,-488.1689
731440,2244.8033,2130.9073,2140.8472,2239.7058,2139.5067,3071.9054,1311.4567,1898.3879,2246.9576,1442.2206,2979.4142,2090.9193
731441,457.5669,444.6629,439.7466,411.9858,504.9614,669.2099,384.2367,356.1318,469.5496,262.6318,823.2213,399.7764
