code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,2.8660523479255,116,40.0431034482759,37.9310344827586,68,68.3088235294118,32.3529411764706,131.382112348507,0.178900520037098,15.4688912809473
EURUSD,15-Apr-2002,31-Jan-2020,3.95835428732798,115,40.3913043478261,33.9130434782609,66,70.3787878787879,34.8484848484849,179.974841075737,0.199927862091439,14.9432611167543
GBPUSD,15-Apr-2002,31-Jan-2020,-0.549436257370362,126,36.8650793650794,29.3650793650794,76,61.1184210526316,27.6315789473684,98.6444571044192,-0.0335761891064849,13.632507528171
NZDUSD,15-Apr-2002,31-Jan-2020,2.529633223637,105,44.2380952380952,37.1428571428571,65,71.4615384615385,36.9230769230769,116.300435368517,0.172883200070585,16.8560718474367
USDCAD,15-Apr-2002,31-Jan-2020,0.884336080383141,106,43.8207547169811,33.9622641509434,68,68.3088235294118,32.3529411764706,191.924025809095,0.0500156867507424,15.0550672060305
USDCHF,15-Apr-2002,31-Jan-2020,-3.25929546320336,115,40.3913043478261,33.0434782608696,70,66.3571428571429,32.8571428571429,210.050621223089,-0.1243171154086,13.8105396677625
USDJPY,15-Apr-2002,31-Jan-2020,0.54159171020256,119,39.0336134453782,33.6134453781513,65,71.4615384615385,33.8461538461538,11894.6056514438,0.0399227111412136,13.650906682123
USDNOK,15-Apr-2002,31-Jan-2020,1.78222439626368,110,42.2272727272727,37.2727272727273,70,66.3571428571429,34.2857142857143,944.610842844207,0.121361744271322,15.1900064223752
USDSEK,15-Apr-2002,31-Jan-2020,2.02750553149096,108,43.0092592592593,38.8888888888889,67,69.3283582089552,35.8208955223881,1225.18952170232,0.130050566568972,15.4836224083868
USDBRL,12-Apr-2002,31-Jan-2020,6.72053820532821,108,43.0092592592593,37.962962962963,65,71.4615384615385,33.8461538461538,634.971113705384,0.288809159662222,16.1372437041955
USDCLP,12-Apr-2002,31-Jan-2020,8.31336201454535,109,42.6146788990826,37.6146788990826,61,76.1475409836066,42.6229508196721,209680.034192986,0.355710062654321,15.8222810361343
USDCOP,11-Apr-2002,31-Jan-2020,10.8671725517071,99,46.9191919191919,43.4343434343434,65,71.4615384615385,41.5384615384615,1419622.63690408,0.315084571928039,17.5803413809011
USDCZK,12-Apr-2002,31-Jan-2020,2.46894733734633,107,43.411214953271,37.3831775700935,69,67.3188405797101,39.1304347826087,4456.06713189731,0.149324253552944,16.2679255728125
USDHUF,12-Apr-2002,31-Jan-2020,0.0569481660132043,117,39.7008547008547,33.3333333333333,61,76.1475409836066,39.344262295082,21413.6215616149,0.00463327601346504,14.591758782937
USDILS,11-Apr-2002,31-Jan-2020,4.08877250965745,105,44.2380952380952,45.7142857142857,59,78.728813559322,45.7627118644068,593.056226029005,0.302361967643653,17.9138640977777
USDINR,15-Apr-2002,31-Jan-2020,10.5062332569455,87,53.3908045977011,42.5287356321839,53,87.6415094339623,49.0566037735849,25477.0658387251,0.352827701817822,20.3265054137909
USDKRW,11-Apr-2002,31-Jan-2020,4.12864879097474,108,43.0092592592593,34.2592592592593,69,67.3188405797101,27.536231884058,318774.783333339,0.158547564401337,14.7188935941842
USDMXN,12-Apr-2002,31-Jan-2020,1.64746694312061,109,42.6146788990826,38.5321100917431,60,77.4166666666667,35,1104.447215175,0.0999720497206295,15.5012492469954
USDMYR,15-Apr-2002,31-Jan-2020,12.4821128168229,90,51.6111111111111,40,53,87.6415094339623,45.2830188679245,1255.76652415663,0.813193742878076,17.2401039150726
USDPHP,12-Apr-2002,31-Jan-2020,1.13843219872201,90,51.6111111111111,37.7777777777778,55,84.4545454545455,41.8181818181818,4133.87385198958,0.0983114557527075,19.8533638320775
USDPLN,15-Apr-2002,31-Jan-2020,1.81631941556419,111,41.8468468468468,35.1351351351351,66,70.3787878787879,31.8181818181818,474.48717246402,0.115778840413446,15.837169466935
USDRON,12-Apr-2002,31-Jan-2020,1.52433806212964,98,47.3979591836735,32.6530612244898,65,71.4615384615385,32.3076923076923,327.765731285375,0.11109930504726,16.5846640916862
USDSGD,15-Apr-2002,31-Jan-2020,5.39901605401225,105,44.2380952380952,37.1428571428571,58,80.0862068965517,36.2068965517241,283.592011387443,0.364983186193024,18.5997100647522
USDTHB,12-Apr-2002,31-Jan-2020,14.3296334780863,78,59.5512820512821,56.4102564102564,52,89.3269230769231,53.8461538461538,24229.9268345875,0.675150805875607,24.7290500538213
USDTRY,12-Apr-2002,31-Jan-2020,6.55996629924973,105,44.2380952380952,39.0476190476191,67,69.3283582089552,32.8358208955224,318.807366147983,0.314719710311769,15.8400673936444
USDTWD,19-Apr-2002,31-Jan-2020,12.6383542110366,79,58.7974683544304,48.1012658227848,49,94.7959183673469,59.1836734693878,15445.2200731095,0.624204609547197,23.1114892292529
USDZAR,12-Apr-2002,31-Jan-2020,-3.15797501261863,118,39.364406779661,31.3559322033898,68,68.3088235294118,27.9411764705882,814.577207240301,-0.210569549629382,13.8142296607521
