code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,21-Mar-2017,31-Jan-2020,-2.77434646797925,23,32.5652173913044,30.4347826086957,12,62.4166666666667,33.3333333333333,0.00771878965575943,-0.169892923317605,12.6805555555556
EURUSD,21-Mar-2017,31-Jan-2020,-3.74942680146956,21,35.6666666666667,28.5714285714286,12,62.4166666666667,25,0.00776501499275349,-0.250400876836501,12.9230769230769
AUDUSD,21-Mar-2017,31-Jan-2020,-2.77434646797925,23,32.5652173913044,30.4347826086957,12,62.4166666666667,33.3333333333333,0.00771878965575943,-0.169892923317605,12.6805555555556
EURUSD,21-Mar-2017,31-Jan-2020,-3.74942680146956,21,35.6666666666667,28.5714285714286,12,62.4166666666667,25,0.00776501499275349,-0.250400876836501,12.9230769230769
GBPUSD,21-Mar-2017,31-Jan-2020,2.40258181308699,22,34.0454545454545,31.8181818181818,10,74.9,30,0.00841025103832057,0.24496605216263,14.6
NZDUSD,21-Mar-2017,31-Jan-2020,6.49106058309945,21,35.6666666666667,42.8571428571429,10,74.9,60,0.00700490600391851,0.623931186455491,16.327868852459
USDCAD,21-Mar-2017,31-Jan-2020,-14.0832108944323,24,31.2083333333333,25,15,49.9333333333333,13.3333333333333,0.00722379870484325,-1.27310021463646,11.1558441558442
USDCHF,21-Mar-2017,31-Jan-2020,-0.979960897436638,21,35.6666666666667,38.0952380952381,11,68.0909090909091,45.4545454545455,0.00759860650633136,-0.0221492607660113,13.1666666666667
USDJPY,21-Mar-2017,31-Jan-2020,-4.17830695491047,24,31.2083333333333,33.3333333333333,13,57.6153846153846,23.0769230769231,0.00796526658963359,-0.276497288772369,11.7567567567568
USDNOK,21-Mar-2017,31-Jan-2020,1.08239430310919,21,35.6666666666667,38.0952380952381,9,83.2222222222222,55.5555555555556,0.00747692319451303,0.150095601062978,15.7868852459016
USDSEK,21-Mar-2017,31-Jan-2020,2.55998001909494,20,37.45,45,11,68.0909090909091,18.1818181818182,0.00751550218739437,0.272334926024015,13.6031746031746
USDBRL,21-Mar-2017,31-Jan-2020,-0.902191099626437,22,34.0454545454545,27.2727272727273,13,57.6153846153846,15.3846153846154,0.0108616540145385,0.0334894579496271,12.8676470588235
USDCLP,21-Mar-2017,31-Jan-2020,5.16622160944136,21,35.6666666666667,33.3333333333333,10,74.9,40,0.0100498569387227,0.397000325187935,14.3606557377049
