summary1,summary2,summary3,summary4,summary5,summary6,summary7,summary8,summary9,summary10
code,start time,end time,annualized rate of return,# of transactions of rule 1,trading interval,odds,# of transactions of rule 2,trading interval,odds
AUDUSD,21-Mar-2001,31-Jan-2020,2.6718093233054,134,36.7388059701493,36.5671641791045,72,68.375,30.5555555555556
EURUSD,21-Mar-2001,31-Jan-2020,3.69451620884478,134,36.7388059701493,35.8208955223881,70,70.3285714285714,35.7142857142857
GBPUSD,21-Mar-2001,31-Jan-2020,-1.77197382575808,153,32.1699346405229,27.4509803921569,80,61.525,27.5
NZDUSD,21-Mar-2001,31-Jan-2020,2.50089806089864,130,37.8615384615385,36.9230769230769,68,72.3823529411765,35.2941176470588
USDCAD,21-Mar-2001,31-Jan-2020,-0.638371467297294,138,35.6666666666667,29.7101449275362,72,68.3611111111111,31.9444444444444
USDCHF,21-Mar-2001,31-Jan-2020,-3.08634509203263,142,34.6619718309859,33.0985915492958,74,66.5135135135135,33.7837837837838
USDJPY,21-Mar-2001,31-Jan-2020,2.18495186592871,144,34.1805555555556,32.6388888888889,69,71.3333333333333,33.3333333333333
USDNOK,21-Mar-2001,31-Jan-2020,3.52037869067003,129,38.1550387596899,36.4341085271318,74,66.5135135135135,33.7837837837838
USDSEK,21-Mar-2001,31-Jan-2020,0.976038222299702,140,35.1571428571429,34.2857142857143,72,68.3611111111111,34.7222222222222
USDBRL,21-Mar-2001,31-Jan-2020,7.34590543895424,130,37.8538461538462,35.3846153846154,71,69.3098591549296,33.8028169014084
USDCLP,21-Mar-2001,31-Jan-2020,9.60761973923114,141,34.9007092198582,37.5886524822695,65,75.7076923076923,41.5384615384615
USDCNH,04-Oct-2013,31-Jan-2020,17.9521932296282,41,40.2439024390244,46.3414634146341,21,78.5714285714286,61.9047619047619
USDCOP,21-Mar-2001,31-Jan-2020,9.18304334330695,118,41.6949152542373,46.6101694915254,69,71.304347826087,39.1304347826087
USDCZK,21-Mar-2001,31-Jan-2020,2.39792954624736,124,39.6854838709677,41.9354838709677,72,68.3472222222222,38.8888888888889
USDHUF,21-Mar-2001,31-Jan-2020,-0.865608708823995,137,35.9197080291971,29.9270072992701,65,75.7076923076923,36.9230769230769
USDIDR,06-Dec-2016,31-Jan-2020,10.3817853641717,23,35.8260869565217,30.4347826086957,10,82.4,40
USDILS,21-Mar-2001,31-Jan-2020,5.25909301366914,125,39.36,44,61,80.655737704918,45.9016393442623
USDINR,21-Mar-2001,31-Jan-2020,9.01525380153743,109,45.1559633027523,41.2844036697248,55,89.4909090909091,50.9090909090909
USDKRW,21-Mar-2001,31-Jan-2020,3.15968046468635,130,37.8461538461538,33.8461538461538,74,66.4864864864865,25.6756756756757
USDMXN,21-Mar-2001,31-Jan-2020,1.14848796304408,135,36.4518518518518,35.5555555555556,64,76.890625,34.375
USDMYR,21-Mar-2001,31-Jan-2020,11.1621606399019,101,48.7326732673267,38.6138613861386,53,92.8679245283019,45.2830188679245
USDPHP,21-Mar-2001,31-Jan-2020,0.949062521242694,105,46.8666666666667,36.1904761904762,57,86.3333333333333,42.1052631578947
USDPLN,21-Mar-2001,31-Jan-2020,1.37165968520554,134,36.7313432835821,35.0746268656716,70,70.3142857142857,31.4285714285714
USDRON,21-Mar-2001,31-Jan-2020,5.27485388185143,115,42.7913043478261,32.1739130434783,65,75.7076923076923,33.8461538461538
USDRUB,03-Dec-2001,31-Jan-2020,18.5912171662966,115,40.9130434782609,47.8260869565217,68,69.1911764705882,42.6470588235294
USDSGD,21-Mar-2001,31-Jan-2020,4.92755985487441,128,38.453125,41.40625,63,78.1269841269841,38.0952380952381
USDTHB,03-Dec-2001,31-Jan-2020,13.235787817192,85,55.7411764705882,51.7647058823529,55,86.1454545454545,50.9090909090909
USDTRY,21-Mar-2001,31-Jan-2020,3.73481427384752,123,40.0081300813008,38.2113821138211,69,71.3188405797101,33.3333333333333
USDTWD,21-Mar-2001,31-Jan-2020,13.5165288846706,89,55.3483146067416,47.1910112359551,51,96.5882352941177,60.7843137254902
USDZAR,21-Mar-2001,31-Jan-2020,-0.227246364767542,136,36.1838235294118,30.8823529411765,70,70.3,28.5714285714286
